sample_id,quote_id,quote_text
top2017:4108,q02051,"Sorrow is food swallowed too quickly, caught in the throat, making it nearly impossible to breathe."
top2017:4108,q02052,"Sometimes the world don’t give you what you need, no matter how hard you look. Sometimes it withholds."
top2017:4108,q02053,"Some days later, I understood what he was trying to say, that getting grown means learning how to work that current: learning when to hold fast, when to drop anchor, when to let it sweep you up."
top2017:4108,q02054,"I hope I fed you enough. While I'm here. So you carry it with you. Like a camel.' I can hear the smile in her voice, faint. A baring of teeth. 'Maybe that ain't a good way of putting it. Like a well, Jojo. Pull that water up when you need it."
top2017:4108,q02055,"Growing up out here in the country taught me things. Taught me that after the first fat flush of life, time eats away at things: it rusts machinery, it matures animals to become hairless and featherless, and it withers plants [...] since Mama got sick, I learned pain can do that too. Can eat a person until there’s nothing but bone and skin and a thin layer of blood left. How it can eat your insides and swell you in wrong ways."
top2017:4108,q02056,"It stays with me, a bruise in the memory that hurts when I touch it."
top2017:4108,q02057,"I washed my hands every day, Jojo. But that damn blood ain't never come out. Hold my hands up to my face, I can smell it under my skin. Smelled it when the warden and sergeant cam up on us, the dogs yipping and licking blood from they muzzles. They'd torn his throat out, hamstringed him. Smelled it when the warden told me I'd done good. Smelled it the day they let me out on account I'd led the dog that caught and killed Richie. Smelled it when I finally found his mama after weeks of searching, just so I could tell her Richie was dead and she could look at me with a stone face and shut the door on me. Smelled it when I made it home in the middle of the night, smelled it over the sour smell of the bayou and the salt smell of the sea, smelled it years later when I climbed into bed with Philomene, put my nose in your grandmother's neck, and breathed her in like the scent of her could wash the other away. But it didn't. When Given died, I thought I'd drown in it. Drove me blind, made me so crazy I couldn't speak. Didn't nothing come close to easing it until you came along."
top2017:4108,q02058,Home is about the earth. Whether the earth open up to you. Whether it pull you so close the space between you and it melt and y’all one and it beats like your heart. Same time. Where
top2017:4108,q02059,"Can't nothing bother me when I got my hands in the dirt, he said. Like I'm talking to God with my fingers."
top2017:4108,q02060,Ain't no good in using anger just to lash. You pray for it to blow up a storm that's going to flush out the truth.
top2017:4108,q02061,"It’s like a snake that sheds its skin. The outside look different when the scales change, but the inside always the same."
top2017:4108,q02062,"There's so many,' Richie says. His voice is molasses slow. 'So many of us,' he says. 'Hitting. The wrong keys. Wandering against. The song."
top2017:4108,q02063,"I don’t want to be empty breath. Bitter at the marrow of my bones. I don’t want that, Leonie."
top2017:4108,q02064,"After, Mam,' I say. 'What happens when you pass away?""I couldn't bear her being a ghost. Couldn't take her sitting in the kitchen, invisible. Couldn't take seeing Pop walk around her without touching her cheek, without bending to kiss her on her neck.'It's like walking through a door, Jojo.''But you won't be no ghost, huh, Mam?' I have to ask even though I know the telling hurts her. Even though I feel like speaking's bringing her leaving closer. Death, a great mouth set to swallow.'Can't say for sure. But I don't think so. I think that only happens when the dying's bad. Violent. The old folks always told me that when someone dies in a bad way, sometimes it's so awful even God can't bear to watch, and then half your spirit stays behind and wanders, wanting peace the way a thirsty man seeks water.' She frowns: two fishhooks dimpling down. 'That ain't my way.''That don't mean I won't be here, Jojo. I'll be on the other side of the door. With everybody else that's gone before. Your uncle Given, my mama and daddy, Pop's mama and daddy.''How?''Because we don't walk no straight lines. It's all happening at once. All of it. We all here at once. My mama and daddy and they mamas and daddies.' Mam looks to the wall, closes her eyes. 'My son."
top2017:4108,q02065,"The memory is a living thing – it too is in transit. But during its moment, all that is remembered joins, and lives – the old and the young, the past and the present, the living and the dead. –from One Writer’s Beginnings, by Eudora Welty"
top2017:4108,q02066,"But another part of me wants to shake Jojo and Michaela awake, to lean down and yell so they startle and sit up so I don't have to see the way they turn to each other like plants following the sun across the sky. They are each other's light."
top2017:4108,q02067,The sky has turned the color of sandy red clay: orange cream. The heat of the day at its heaviest: the insects awoken from their winter slumber. I cannot bear the world.
top2017:4108,q02068,I stand until there is no sun. I stand until I smell pine through the salt and sulfur. I stand until the moon rises and their mouths close and they are a murder of silver crows. I stand until the forest is a black-knuckled multitude.
