sample_id,quote_id,quote_text
"top2021:BEAUTIFUL WORLD, WHERE ARE YOU|Sally Rooney",q06358,"Maybe we're just born to love and worry about the people we know, and to go on loving and worrying even when there are more important things we should be doing. And if that means the human species is going to die out, isn't it in a way a nice reason to die out, the nicest reason you can imagine? Because when we should have been reorganising the distribution of the world's resources and transitioning collectively to a sustainable economic model, we were worrying about sex and friendship instead. Because we loved each other too much and found each other too interesting. And I love that about humanity, and in fact it's the very reason I root for us to survive - because we are so stupid about each other."
"top2021:BEAUTIFUL WORLD, WHERE ARE YOU|Sally Rooney",q06359,"And we hate people for making mistakes so much more than we love them for doing good that the easiest way to live is to do nothing, say nothing, and love no one."
"top2021:BEAUTIFUL WORLD, WHERE ARE YOU|Sally Rooney",q06360,"When I try to picture for myself what a happy life might look like, the picture hasn't changed very much since I was a child - a house with flowers and trees around it, and a river nearby, and a room full of books, and someone there to love me, that's all. Just to make a home there, and to care for my parents when they grow older. Never to move, never to board a plane again, just to live quietly and then be buried in the earth."
"top2021:BEAUTIFUL WORLD, WHERE ARE YOU|Sally Rooney",q06361,"I was tired, it was late, I was sitting half-asleep in the back of a taxi, remembering strangely that wherever I go, you are with me, and so is he, and that as long as you both live the world will be beautiful to me."
"top2021:BEAUTIFUL WORLD, WHERE ARE YOU|Sally Rooney",q06362,"If God wanted me to give you up, he wouldn't have made me who I am."
"top2021:BEAUTIFUL WORLD, WHERE ARE YOU|Sally Rooney",q06363,"What if the meaning of life on earth is not eternal progress toward some unspecified goal—the engineering and production of more and more powerful technologies, the development of more and more complex and abstruse cultural forms? What if these things just rise and recede naturally, like tides, while the meaning of life remains the same always—just to live and be with other people?"
"top2021:BEAUTIFUL WORLD, WHERE ARE YOU|Sally Rooney",q06364,And isn’t death just the apocalypse in the first person?
"top2021:BEAUTIFUL WORLD, WHERE ARE YOU|Sally Rooney",q06365,"But if you think there’s any chance that I could make you happy, I wish you would let me try. Because it’s the only thing I really want to do with my life."
"top2021:BEAUTIFUL WORLD, WHERE ARE YOU|Sally Rooney",q06366,"Presumably, remembered suffering never feels as bad as present suffering, even if it was really a lot worse - we can't remember how much worse it was, because remembering is weaker than experiencing."
"top2021:BEAUTIFUL WORLD, WHERE ARE YOU|Sally Rooney",q06367,"At times I think of human relationships as something soft like sand or water, and by pouring them into particular vessels we give them shape."
"top2021:BEAUTIFUL WORLD, WHERE ARE YOU|Sally Rooney",q06368,I will probably continue to make poor life decisions and suffer recurrent depressive episodes
"top2021:BEAUTIFUL WORLD, WHERE ARE YOU|Sally Rooney",q06369,"Walking around, even on a bad day, I would see things – I mean just the things that were in front of me. People’s faces, the weather, traffic. The smell of petrol from the garage, the feeling of being rained on, completely ordinary things. And in that way even the bad days were good, because I felt them and remembered feeling them. There was something delicate about living like that – like I was an instrument and the world touched me and reverberated inside me.After a couple of months, I started to miss days. Sometimes I would fall asleep without remembering to write anything, but then other nights I’d open the book and not know what to write – I wouldn’t be able to think of anything at all. When I did make entries, they were increasingly verbal and abstract: song titles, or quotes from novels, or text messages from friends. By spring I couldn’t keep it up anymore. I started to put the diary away for weeks at a time – it was just a cheap black notebook I got at work – and then eventually I’d take it back out to look at the entries from the previous year. At that point, I found it impossible to imagine ever feeling again as I had apparently once felt about rain or flowers. It wasn’t just that I failed to be delighted by sensory experiences – it was that I didn’t actually seem to have them anymore. I would walk to work or go out for groceries or whatever and by the time I came home again I wouldn’t be able to remember seeing or hearing anything distinctive at all. I suppose I was seeing but not looking – the visual world just came to me flat, like a catalogue of information. I never looked at things anymore, in the way I had before."
"top2021:BEAUTIFUL WORLD, WHERE ARE YOU|Sally Rooney",q06370,"I feel very embarrassed by all that now, but I was lonely and unhappy, and I didn’t understand that these feelings were ordinary, that there was nothing singular about my loneliness, my unhappiness."
"top2021:BEAUTIFUL WORLD, WHERE ARE YOU|Sally Rooney",q06371,"When I look back at those years, I feel touched and almost pained by the simplicity of the life I was living, because I knew what I had to do, and I did it, that was all."
"top2021:BEAUTIFUL WORLD, WHERE ARE YOU|Sally Rooney",q06372,"I tell myself that I want to live a happy life, and that the circumstances for happiness just haven't arisen. But what if that's not true? What if I'm the one who can't let myself be happy? Because I'm scared, or I prefer to wallow in self-pity, or I don't believe I deserve good things, or some other reason. Whenever something good happens to me I always find myself thinking: I wonder how long it will be until this turns out badly. And I almost want the worst to happen sooner, sooner rather than later, and if possibile straight away, so at least I don't have to feel anxious about it anymore."
"top2021:BEAUTIFUL WORLD, WHERE ARE YOU|Sally Rooney",q06373,"If you weren't my friend I wouldn't know who I was, she said."
"top2021:BEAUTIFUL WORLD, WHERE ARE YOU|Sally Rooney",q06374,"I suppose I think that having a child is simply the most ordinary thing I can imagine doing. And I want that- to prove that the most ordinary thing about human beings is not violence or greed but love and care. To prove it to whom, I wonder. Myself, maybe."
"top2021:BEAUTIFUL WORLD, WHERE ARE YOU|Sally Rooney",q06375,"People who intentionally become famous - I mean people who, after a little taste of fame, want more and more of it - are, and I honestly believe this, deeply psychologically ill. The fact that we are exposed to these people everywhere in our culture, as if they are not only normal but attractive and enviable, indicates the extent of our disfiguring social disease."
