sample_id,quote_id,quote_text
top2021:MALIBU RISING|Taylor Jenkins Reid,q05830,"Nina understood, maybe for the first time, that letting people love you and care for you is part of how you love and care for them."
top2021:MALIBU RISING|Taylor Jenkins Reid,q05831,How were you supposed to change- in ways both big and small- when your family was always there to remind you of exactly the person you apparently signed an ironclad contract to be?
top2021:MALIBU RISING|Taylor Jenkins Reid,q05832,"Family is found...whether it be blood or circumstance or choice, what binds us does not matter. All that matters is that we are bound."
top2021:MALIBU RISING|Taylor Jenkins Reid,q05833,Must be nice. To be able to be weak. I wouldn’t know.
top2021:MALIBU RISING|Taylor Jenkins Reid,q05834,"Our family histories are simply stories. They are myths we create about the people who came before us, in order to make sense of ourselves."
top2021:MALIBU RISING|Taylor Jenkins Reid,q05835,"Just because it is in Malibu's nature to burn, so was it in one particular person's nature to set fire and walk away."
top2021:MALIBU RISING|Taylor Jenkins Reid,q05836,"She was a woman, after all. Living in a world created by men. And she had long known that assholes protect their own. They are faithful to no one but surprisingly protective of each other."
top2021:MALIBU RISING|Taylor Jenkins Reid,q05837,"She had to choose what, of the things she inherited from the people who came before her, she wanted to bring forward. And what, of the past, she wanted to leave behind."
top2021:MALIBU RISING|Taylor Jenkins Reid,q05838,There’s no room for you in my life anymore. And I don’t owe it to you to make any space.
top2021:MALIBU RISING|Taylor Jenkins Reid,q05839,"Maybe our parents' lives are imprinted within us, maybe the only fate there is is the temptation of reliving their mistakes. Maybe, try as we might, we will never be able to outrun the blood that runs through our veins. Or. Or maybe we are free the moment we are born. Maybe everything we've even done is by our own hands."
top2021:MALIBU RISING|Taylor Jenkins Reid,q05840,"Alcoholism is a disease with many faces, and some of them look beautiful."
top2021:MALIBU RISING|Taylor Jenkins Reid,q05841,"She knew it was up to her to say what had to be said. To do what had to be done. When there is only you, you do not get to choose which jobs you want, you do not get to decide you are incapable of anything. There is no room for distaste or weakness. You must do it all. All of the ugliness, the sadness, the things most people can't stand to even think about, all must live inside of you. You must be capable of everything."
top2021:MALIBU RISING|Taylor Jenkins Reid,q05842,There was finally enough air within her for a fire to ignite.
top2021:MALIBU RISING|Taylor Jenkins Reid,q05843,"But a good life is knowing people care about you, knowing you can take care of the people that count on you."
top2021:MALIBU RISING|Taylor Jenkins Reid,q05844,"Too much self-sufficiency was sort of mean to the people who loved you, Kit thought. You robbed them of how good it feels to give, of their sense of value."
top2021:MALIBU RISING|Taylor Jenkins Reid,q05845,"Our parents live inside us, whether they stick around or not... They express themselves through us in the way we hold a pen or shrug our shoulders, in the way we raise our eyebrow. Our heritage lingers in our blood."
top2021:MALIBU RISING|Taylor Jenkins Reid,q05846,Nina didn’t hate Carrie Soto for stealing her husband because husbands can’t be stolen. Carrie Soto wasn’t a thief; Brandon Randall was a traitor.
top2021:MALIBU RISING|Taylor Jenkins Reid,q05847,"That is the thing about the water, it is not yours to control. You are at the mercy of nature. That’s what makes surfing feel like more than sport: It requires destiny to be on your side, the ocean must favor you."
top2021:MALIBU RISING|Taylor Jenkins Reid,q05848,"Small boundaries broken, snapped like tiny twigs, so many that June barely noticed he was coming for the whole tree."
top2021:MALIBU RISING|Taylor Jenkins Reid,q05849,"Accept accept accept. For so long, Nina had believed it was her greatest strength—that she could withstand, that she could endure, that she would accept it all and keep going. It was so foreign to her, the idea of declaring that something was unacceptable."
top2021:MALIBU RISING|Taylor Jenkins Reid,q05850,"But they were in love, the kind of love that hurts. They hit highs so high neither of them could quite stand it, and lows so low they weren't sure they'd survive them."
top2021:MALIBU RISING|Taylor Jenkins Reid,q05851,"Your whole world can be falling apart, she thought, but then Springsteen will start playing on the radio."
top2021:MALIBU RISING|Taylor Jenkins Reid,q05852,"What a gift it was to know so clearly what you were not, who you did not want to be. Nina wasn’t sure she’d ever asked herself that question."
top2021:MALIBU RISING|Taylor Jenkins Reid,q05853,"She missed the parents who had never truly understood her, missed the man who had never truly loved her, missed the future she thought she had been building for herself, missed the young girl she used to be."
top2021:MALIBU RISING|Taylor Jenkins Reid,q05854,Why take a chance on another book when I already know I like this one?
top2021:MALIBU RISING|Taylor Jenkins Reid,q05855,"And I’ve been really sad,” Nina added. “That I…that I meant so little to someone who had made me believe I meant so much."
