sample_id,quote_id,quote_text
top2021:PROJECT HAIL MARY|Andy Weir,q05751,Human beings have a remarkable ability to accept the abnormal and make it normal.
top2021:PROJECT HAIL MARY|Andy Weir,q05752,"I penetrated the outer cell membrane with a nanosyringe.""""You poked it with a stick?""""No!"" I said. ""Well. Yes. But it was a scientific poke with a very scientific stick."
top2021:PROJECT HAIL MARY|Andy Weir,q05753,He puts his claw against the divider. “Fist my bump.”“Fist-bump. It’s just ‘fist-bump.’” “Understand.
top2021:PROJECT HAIL MARY|Andy Weir,q05754,"Work fast.""""Yeah."" I point at the screen. ""First I have to wait for my computer to wake up.""""Hurry.""""Okay, I'll wait faster.""""Sarcasm."
top2021:PROJECT HAIL MARY|Andy Weir,q05755,"Usually you not stupid. Why stupid, question?"
top2021:PROJECT HAIL MARY|Andy Weir,q05756,Once again I’m struck by melancholy. I want to spend the rest of my life studying Eridian biology! But I have to save humanity first. Stupid humanity. Getting in the way of my hobbies.
top2021:PROJECT HAIL MARY|Andy Weir,q05757,Good. Proud. I am scary space monster. You are leaky space blob.” He points to the breeder tanks. “Check tanks!
top2021:PROJECT HAIL MARY|Andy Weir,q05758,"Oh thank God. I can’t imagine explaining “sleep” to someone who had never heard of it. Hey, I’m going to fall unconscious and hallucinate for a while. By the way, I spend a third of my time doing this. And if I can’t do it for a while, I go insane and eventually die. No need for concern."
top2021:PROJECT HAIL MARY|Andy Weir,q05759,I spend a lot of time un-suiciding this suicide mission.
top2021:PROJECT HAIL MARY|Andy Weir,q05760,We’re as smart as evolution made us. So we’re the minimum intelligence needed to ensure we can dominate our planets.
top2021:PROJECT HAIL MARY|Andy Weir,q05761,"Knock-knock-knockNo, that's not creepy at all. Being in a spaceship twelve light-years from home and having someone knock on the door is totally normal."
top2021:PROJECT HAIL MARY|Andy Weir,q05762,"I gasped. ""Wait a minute! Am I a guinea pig? I'm a guinea pig!""""No, it's not like that,"" she said.I stared at her.She stared at me.I stared at her.""Okay, it's exactly like that,"" she said."
top2021:PROJECT HAIL MARY|Andy Weir,q05763,"I’m a scientist! Now we’re getting somewhere! Time for me to use science. All right, genius brain: come up with something! …I’m hungry. You have failed me, brain."
top2021:PROJECT HAIL MARY|Andy Weir,q05764,"When stupid ideas work, they become genius ideas."
top2021:PROJECT HAIL MARY|Andy Weir,q05765,"I pull the sheet off the bed and wrap it around my torso a couple of times. I pull one corner over my shoulder from behind my back and tie it to another from the front. Instant toga.""Self-ambulation detected,"" says the computer. ""What's your name?""""I am Emperor Comatose. Kneel before me.""""Incorrect."
top2021:PROJECT HAIL MARY|Andy Weir,q05766,I’m smart enough now to know I’m stupid. That’s progress.
top2021:PROJECT HAIL MARY|Andy Weir,q05767,"I leaned to Dimitri. “Are all Russians crazy?” “Yes,” he said with a smile. “It is the only way to be Russian and happy at the same time.” “That’s…dark.” “That’s Russian!"
top2021:PROJECT HAIL MARY|Andy Weir,q05768,"Besides, if I had a nickel for every time I wanted to smack a kid’s parents for not teaching them even the most basic things…well…I’d have enough nickels to put in a sock and smack those parents with it."
top2021:PROJECT HAIL MARY|Andy Weir,q05769,"Do you believe in God? I know it’s a personal question. I do. And I think He was pretty awesome to make relativity a thing, don’t you? The faster you go, the less time you experience. It’s like He’s inviting us to explore the universe, you know?"
top2021:PROJECT HAIL MARY|Andy Weir,q05770,"This is happy! Your face opening is in sad mode. Why, question?"
