sample_id,quote_id,quote_text
top2022:THE PARIS APARTMENT|Lucy Foley,q06962,It’s not about where you came from. What kind of shit might have happened to you in the past. It’s about who you are. What you do with the opportunities life presents to you.
top2022:THE PARIS APARTMENT|Lucy Foley,q06963,But that’s what being poor does to you; it shortens your childhood. It hardens your ambition.
top2022:THE PARIS APARTMENT|Lucy Foley,q06964,"I could not explain that I simply wanted someone to love. Wholehearted, unreserved, requited."
top2022:THE PARIS APARTMENT|Lucy Foley,q06965,There’s this expression in French. Être bien dans sa peau. To feel good in your own skin.
top2022:THE PARIS APARTMENT|Lucy Foley,q06966,"You know, I read somewhere that sixty percent of us can’t go more than ten minutes without lying. Little slippages: to make ourselves sound better, more attractive, to others. White lies to avoid causing offence. So it’s not like I’ve done anything out of the ordinary. It’s only human."
top2022:THE PARIS APARTMENT|Lucy Foley,q06967,We can do our family members down as much as we like. But the second an outsider insults them our blood seethes. At the end of the day I don’t like him – but I love him. And I see my own failures in him.
top2022:THE PARIS APARTMENT|Lucy Foley,q06968,"It’s a beautiful building, but there’s something rotten at its heart. Now he’s discovered it he can smell the stench of it everywhere."
top2022:THE PARIS APARTMENT|Lucy Foley,q06969,"I only hope she knows what she's doing. Climbing so high, so quickly: it only makes for further to fall."
top2022:THE PARIS APARTMENT|Lucy Foley,q06970,"When I married Jacques I understood it as an exchange. My youth and beauty for his wealth. Over the years, as is the way with this particular kind of contract, my worth only diminished as his increased."
top2022:THE PARIS APARTMENT|Lucy Foley,q06971,To others gardening is a form of creative abandon. To me it is a way of exerting control upon my surroundings.
top2022:THE PARIS APARTMENT|Lucy Foley,q06972,"didn’t realise at the time how cheaply I had been bought. I didn’t free myself when I married my husband, as I’d thought. I didn’t elevate myself. I did the exact opposite. I married my pimp: I chained myself to him for life. Perhaps my daughter did the very thing I hadn’t had the courage to do."
top2022:THE PARIS APARTMENT|Lucy Foley,q06973,For so many years my insignificance and invisibility have been a mask I can hide behind. And in the process I have avoided raking up the past. Raking up the shame.
top2022:THE PARIS APARTMENT|Lucy Foley,q06974,She looks rich. Not flashy rich. The French equivalent of posh. You don’t have hair that perfect unless you spend your days doing basically nothing.
top2022:THE PARIS APARTMENT|Lucy Foley,q06975,"It was the worst, most shameful thing I had ever done. It was the best thing that had ever happened to me."
top2022:THE PARIS APARTMENT|Lucy Foley,q06976,"I find myself gripping the pendant of my necklace. It’s a St. Christopher: Mum gave us both one, to keep us safe—even if that was her job, not something to be outsourced to a little metal saint."
top2022:THE PARIS APARTMENT|Lucy Foley,q06977,La voix du sang est la plus forte. (The voice of blood is strongest.)
top2022:THE PARIS APARTMENT|Lucy Foley,q06978,I've never let a door stay closed for long: I suppose you could say that's my main problem in life.
top2022:THE PARIS APARTMENT|Lucy Foley,q06979,"It’s so very like you, isn’t it? The elegant exterior, the cheap grubby reality inside."
top2022:THE PARIS APARTMENT|Lucy Foley,q06980,He laughed. ‘She could eye-fuck a statue. And it was convenient for me to be able to distract your husband from the fact that I was lusting after his wife.
top2022:THE PARIS APARTMENT|Lucy Foley,q06981,An ageing wife is one thing; a fat wife is another.
top2022:THE PARIS APARTMENT|Lucy Foley,q06982,"A pathetic thing to hope, but there you have it. I’ve always had to hunt for scraps where paternal affection’s concerned."
