sample_id,quote_id,quote_text
top2023:TOM LAKE|Ann Patchett,q07880,"There is no explaining this simple truth about life: you will forget much of it. The painful things you were certain you’d never be able to let go? Now you’re not entirely sure when they happened, while the thrilling parts, the heart-stopping joys, splintered and scattered and became something else. Memories are then replaced by different joys and larger sorrows, and unbelievably, those things get knocked aside as well, until one morning you’re picking cherries with your three grown daughters and your husband goes by on the Gator and you are positive that this is all you’ve ever wanted in the world."
top2023:TOM LAKE|Ann Patchett,q07881,"We clump together in our sorrow. In joy we may wander off in our separate directions, but in sorrow we prefer to hold hands."
top2023:TOM LAKE|Ann Patchett,q07882,"The rage dissipates along with the love, and all we’re left with is a story."
top2023:TOM LAKE|Ann Patchett,q07883,The stories that are familiar will always be our favorites.
top2023:TOM LAKE|Ann Patchett,q07884,"It’s not that I’m unaware of the suffering and the soon-to-be-more suffering in the world, it’s that I know the suffering exists beside wet grass and a bright blue sky recently scrubbed by rain. The beauty and the suffering are equally true."
top2023:TOM LAKE|Ann Patchett,q07885,Good marriages are never as interesting as bad affairs.
top2023:TOM LAKE|Ann Patchett,q07886,we remember the people we hurt so much more clearly than the people who hurt us.
top2023:TOM LAKE|Ann Patchett,q07887,"It’s about falling so wildly in love with him—the way one will at twenty-four—that it felt like jumping off a roof at midnight. There was no way to foresee the mess it would come to in the end, nor did it occur to me to care."
top2023:TOM LAKE|Ann Patchett,q07888,"I look at my girls, my brilliant young women. I want them to think I was better than I was, and I want to tell them the truth in case the truth will be useful. Those two desires to not neatly coexist, but this is where we are in the story."
top2023:TOM LAKE|Ann Patchett,q07889,Days are endless and the weeks fly by.
top2023:TOM LAKE|Ann Patchett,q07890,What was it like?” she asks me again. It was like being a leaf in a river. I fell in and was carried along.
top2023:TOM LAKE|Ann Patchett,q07891,"I don’t see why you have to give up one for the other,” she says. “You don’t have to,” I tell my daughter. “You want to. You wake up one day and you don’t want the carnival anymore. In fact, you can’t even believe you did that."
top2023:TOM LAKE|Ann Patchett,q07892,turned out to be the thing that saved me: the knowledge that I could get back by myself.
top2023:TOM LAKE|Ann Patchett,q07893,"I want to tell her she will never be hurt, that everything will be fair, and that I will always, always be there to protect her."
top2023:TOM LAKE|Ann Patchett,q07894,Secrets are at times a necessary tool for peace.
top2023:TOM LAKE|Ann Patchett,q07895,The number of things I’d failed to grasp back then was as limitless as the stars in the night sky.
top2023:TOM LAKE|Ann Patchett,q07896,"I don’t remember ever looking at my mother this way, like I could eat her down to the bone then wipe my bloody mouth on her hair."
top2023:TOM LAKE|Ann Patchett,q07897,I am fifty-seven. I am twenty-four.
top2023:TOM LAKE|Ann Patchett,q07898,"Ask that girl who left Tom Lake what she wanted out of life and she would never in a million years have said the Nelson farm in Traverse City, Michigan, but as it turned out, it was all she wanted."
top2023:TOM LAKE|Ann Patchett,q07899,"Work for the good of the collective, root for the team, get over yourself."
top2023:TOM LAKE|Ann Patchett,q07900,"When I go down the hall and find Maisie and Nell asleep in their twin beds, I see them both as they are and as they were: grown women and little girls."
top2023:TOM LAKE|Ann Patchett,q07901,"Sapphire sky, diamond clouds, emerald leaves, ruby cherries. The magic with which Nell understands overwhelms me at times."
top2023:TOM LAKE|Ann Patchett,q07902,"It is sentimental and useless to tell someone you would gladly give them your past because the past is nontransferable, and anyway, I would have wanted to give her only the good days."
top2023:TOM LAKE|Ann Patchett,q07903,"You can’t pretend this [Covid] isn’t happening,” Maisie said. I couldn’t, and I don’t. Nor do I pretend that all of us being together doesn’t fill me with joy. I understand that joy is inappropriate these days and still, we feel what we feel."
top2023:TOM LAKE|Ann Patchett,q07904,"Like every other mother in the history of time, I wondered if I would ever be able to love another child as much as I loved her."
top2023:TOM LAKE|Ann Patchett,q07905,We could listen to podcasts until the hour of our death and not make a dent in the stories that are available to us.
top2023:TOM LAKE|Ann Patchett,q07906,She could get more information across with an eyebrow than other people could with a microphone.
top2023:TOM LAKE|Ann Patchett,q07907,"Maisie’s phone rings. The house rule is no phones at the table but we’ve made an exception for Maisie who keeps getting calls from neighbors asking for help, and we made an exception for Emily so that Benny can text her and tell her what time he’ll be back at the house, and so of course we extended the exception to Nell, because why would we let her sisters answer their phones at the table and make her turn hers off? Joe and I turn off our phones because everyone we want to talk to is here"
top2023:TOM LAKE|Ann Patchett,q07908,"Hazel, listen to me. I'm going to tell you something important, you need to be brave.' I then explained to the dog how I have told myself for so many years that my career fell apart because I wasn't any good, but now I'm starting to think it all fell apart because I had ceased to be brave. 'If this were a movie, I'd be drowning in regret now. But I'm telling you, Hazel, it doesn't feel anything like regret. It feels like I just missed getting hit by a train."
top2023:TOM LAKE|Ann Patchett,q07909,You think the thing that hurt you is going to hurt you forever but it doesn’t.
top2023:TOM LAKE|Ann Patchett,q07910,"It's as if someone bought all the diamonds at Tiffany's, and crushed them into dust, then spread that dust across the water so that it sifts down evenly, filtering through the shards of light that cut into the depth. We are swimming through eternity, my daughters' bright mermaid legs, kicking out, towards deeper water. I stay beneath the surface and marvel for as long as lungs can hold. ""Swimming is the reset button,"" Pallas used to say, ""swimming starts the day again."
top2023:TOM LAKE|Ann Patchett,q07911,"Hazel heads up the hill to the cemetery where generations of my husband’s people are buried behind a low iron fence, and for whatever reason I follow the dog. A plush vegetation is knitted over all the graves, and I think of how meticulously Joe’s aunt had kept things here, but this is not the summer for weeding. The cemetery is the highest point on the property and would have been the logical site for a house, the way it overlooks the trees and the barn and all the way to the edge of the lake, but those first settlers gave the best land to their dead, the very first a two-year-old named Mary. One by one they followed her up the hill until twenty-nine of them were resting beneath the mossy slabs, and there they wait for us to join them. That’s what life was like back in the day, you buried your children, your husband, your parents right there on the farm. They had never been anywhere else. They had never wanted to be anywhere else."
top2023:TOM LAKE|Ann Patchett,q07912,But he was teaching you a lesson you’d be wise to learn: you can’t save them that won’t save themselves.
top2023:TOM LAKE|Ann Patchett,q07913,The past need not be so all-encompassing that it renders us incapable of making egg salad.
top2023:TOM LAKE|Ann Patchett,q07914,Every generation believes the world is going to end.
top2023:TOM LAKE|Ann Patchett,q07915,"The past, were I to type it up, would look like a disaster, but regardless of how it ended we all had many good days. In that sense the past is much like the present because the present—this unparalleled disaster—is the happiest time of my life:"
top2023:TOM LAKE|Ann Patchett,q07916,"You could spend years in a New York apartment never knowing the people who live two feet away from you, but live on an orchard in Michigan and you will use the word neighbor to refer to every person for miles. You will rely on them and know their children and their harvest and their machinery and their dogs."
top2023:TOM LAKE|Ann Patchett,q07917,Nell is a girl without secrets. Watching her face is like going to a movie.
