sample_id,quote_id,quote_text
top2024:FUNNY STORY|Emily Henry,q08995,"All those moments throughout the days, weeks, months that don't get marked on calendars with hand-drawn stars or little stickers.Those are the moments that make a life.Not grand gestures, but mundane details that, over time, accumulate until you have a home, instead of a house.The things that matter.The things I can't stop longing for."
top2024:FUNNY STORY|Emily Henry,q08996,"You can't force a person to show up, but you can learn a lesson when they don't"
top2024:FUNNY STORY|Emily Henry,q08997,"Trust people's actions, not their words. Don't love anyone who isn't ready to love you back. Let go of the people who don't hold on to you. Don't wait on anyone who's in no rush to get to you."
top2024:FUNNY STORY|Emily Henry,q08998,I’m a cynic. And a cynic is a romantic who’s too scared to hope.
top2024:FUNNY STORY|Emily Henry,q08999,The same universe that dispassionately takes things away can bring you things you weren't imaginative enough to dream up.
top2024:FUNNY STORY|Emily Henry,q09000,"It’s a library, Daphne. If you can’t be a human here, where can you?"
top2024:FUNNY STORY|Emily Henry,q09001,"Life’s short enough without us talking ourselves out of hope and trying to dodge every bad feeling. Sometimes you have to push through the discomfort, instead of running."
top2024:FUNNY STORY|Emily Henry,q09002,"It’s easy to be loved by the ones who’ve never seen you fuck up. The ones you’ve never had to apologize to, and who still think all your ‘quirks’ are charming."
top2024:FUNNY STORY|Emily Henry,q09003,You make the people you care about feel like … He pauses. Like you want all of them. Not just the good parts. And that’s terrifying to someone who’s spent a lifetime avoiding those other pieces of themselves.
top2024:FUNNY STORY|Emily Henry,q09004,"And I know I'm not who you pictured yourself with, but I think I could be, eventually. If you'll let me. So don't go. Because I don't want you to. Because you're my best friend, and I'm in love with you."
top2024:FUNNY STORY|Emily Henry,q09005,But no one person can be everything we need.
top2024:FUNNY STORY|Emily Henry,q09006,You're the reason for the word wonderful. It really shouldn't be used for anything else.
top2024:FUNNY STORY|Emily Henry,q09007,"Things go smoother if you don’t let people get a rise out of you,” he says. “If you give them control over how you feel, they’ll always use it."
top2024:FUNNY STORY|Emily Henry,q09008,"I want to know myself, to test my edges and see where I stop and the rest of the world begins."
top2024:FUNNY STORY|Emily Henry,q09009,You can’t untell someone your secrets. You can’t unsay those delicate truths once you learn you can’t trust the person you handed them to.
top2024:FUNNY STORY|Emily Henry,q09010,"Life, I’d learned, is a revolving door. Most things that come into it only stay awhile."
top2024:FUNNY STORY|Emily Henry,q09011,I was never the one just having fun. I was the one anticipating consequences.
top2024:FUNNY STORY|Emily Henry,q09012,"So many decisions I made were based on the fear of what could go wrong, instead of my hopes for what might go right."
top2024:FUNNY STORY|Emily Henry,q09013,"I don't think there's a right way to feel,' I say. 'And you can't control it, anyway. Feelings are like weather. They just happen, and then they pass."
top2024:FUNNY STORY|Emily Henry,q09014,"Kissing him is so different now that I know him. Now I understand that the breezy, carefree Miles I first met is only his topmost layer, that his nonchalant way of moving through the world is a product of self-control, but beneath that surface, he wants.The last bite of cheesecake.The final sip of wine.The bracing cool of the lake.To be kissed.To be held.To be protected.He wants it all, even the things he’d never let himself ask for, or won’t let himself have."
top2024:FUNNY STORY|Emily Henry,q09015,"His hands fly up to cradle my jaw. ""I won't hurt you, Daphne."" ""You don't know that,"" I whisper. ""I know how hard I'll try,"" he says. ""Just stay. I love you. I want you. Stay."
top2024:FUNNY STORY|Emily Henry,q09016,"And you did panic. Even though you didn't want to. And I did expect something, even though I tried not to."" ""Good!"" he half shouts. ""Expect something! You want to put me on a hook? Put me on the hook. I freaked out, Daphne, but that doesn't mean I don't love you."
top2024:FUNNY STORY|Emily Henry,q09017,"You always assume I’m being so selfless. Like it hasn’t occurred to you I might want to hang out with you. So when you turn me down, I have to figure out if you just don’t feel the same way, or if you think you’re doing me some kind of favor. And I never can."
top2024:FUNNY STORY|Emily Henry,q09018,"It makes me feel brave, being loved by him. It makes me feel safe enough to do the things I never could."
top2024:FUNNY STORY|Emily Henry,q09019,"Or maybe, he says, eyes crinkled against the sun, everything worth doing comes with some risk."
top2024:FUNNY STORY|Emily Henry,q09020,"Sometimes complaining about stuff, just having someone to empathize with you takes the sting out of it"
top2024:FUNNY STORY|Emily Henry,q09021,"He loves me. Present tense. And I love him. He knows me, and I see him."
top2024:FUNNY STORY|Emily Henry,q09022,"Things were allowed to be complicated. They were allowed to be messy. We were allowed to disagree and argue and even hurt each other, on occasion, and it didn’t mean it was time to let the revolving door of life carry us away from each other. Sometimes things are hard. They just are."
top2024:FUNNY STORY|Emily Henry,q09023,"I believe you should and will have everything you've ever wanted, if you're not too scared to go after it."
top2024:FUNNY STORY|Emily Henry,q09024,"I spent so much time accustoming myself to one kind of surprise –the kind hinging on disappointments, hurts, small abandonments, and emotional bartering– that I'd stopped considering there might be any other. A surprise, it turns out, is different when it comes from someone who knows and loves you."
top2024:FUNNY STORY|Emily Henry,q09025,There was no point clinging to something that wasn’t really yours.
top2024:FUNNY STORY|Emily Henry,q09026,"Funny story . . .” he says, but he doesn’t go on, just watches me and waits. He knows how much I love to tell it."
top2024:FUNNY STORY|Emily Henry,q09027,"A part of me is just waiting,” I rasp, “for the moment when you see whatever it is that drives people away. And I don’t want that. I don’t want you to stop wanting me around. I think it might break my heart to be someone you don’t like."
top2024:FUNNY STORY|Emily Henry,q09028,"The more important thing, though, was that she was too happy with the life she’d built for herself to change it for anyone who didn’t set her world on fire."
top2024:FUNNY STORY|Emily Henry,q09029,"You mean so much to me, Miles,"" I say. ""So much. But you can't be everything. You were right that I'd love it here. I do. And you're a huge part of why I want to build a life here. But I can't build it around you."
top2024:FUNNY STORY|Emily Henry,q09030,"Daphne,” he tuts. “Daphne, Daphne, Daphne.” “Let me guess: I’m a clueless fool,” I say. He starts the car. “No, just a sweet, naive, beautiful little innocent, raised in captivity by a man who loves wheatgrass."
top2024:FUNNY STORY|Emily Henry,q09031,"Now there’s no good way to get out of it. I mean, when we ‘break up,’ Peter will get to feel smug and superior about that.” “That’s no problem,” Miles says, pouring a taste of white wine for each of us. “All we have to do is get married, and then stay together until they split up. And if they have kids, just have one more than them. If they get a dog, we get a cuter dog. If they buy a new house, we get a mansion.” “A perfect plan,” I say. “Why didn’t I think of it?"
top2024:FUNNY STORY|Emily Henry,q09032,"Miles is the other kind. The kind that’s disarming enough that you don’t feel nervous talking to him, or like you need to show your best angle, until—wham! Suddenly, he’s smiling at you with his messy hair and impish smirk, and you realize his hotness has been boiling around you so slowly you missed it."
top2024:FUNNY STORY|Emily Henry,q09033,"She was my best friend and favorite person in the world, but she wasn’t a soft woman. I’d always thought of her as completely invulnerable."
top2024:FUNNY STORY|Emily Henry,q09034,"She can hold her own"" he says ""So can I"" I argueHe draws back to look into my face. ""I know,"" he says. ""I just don't want you to have to""."
top2024:FUNNY STORY|Emily Henry,q09035,"Life isn’t a competition, and neither is love, but I’m still the loser."
top2024:FUNNY STORY|Emily Henry,q09036,"You're so nice and so hot and so fun and funny, and you smell really good, and the brownies you made for last night were amazing."" ""And you love me,"" he says softly. ""So much,"" I agree, ""I feel like, why would anyone who can't date you even bother dating? And somehow, you like me."" ""Love,"" he corrects. ""Somehow you love me."" ""I do,"" I tell him. I do. I am. Right now. Every muscle in my body is busy loving him."
top2024:FUNNY STORY|Emily Henry,q09037,"I want to kiss you all the time, Daphne,"" he says. ""Sometimes it's just easier to find an excuse."
top2024:FUNNY STORY|Emily Henry,q09038,"He told you to trust him, and that's what you did,' he insists. 'That's what you're supposed to be able to do with people you love. They just don't always live up to it."
top2024:FUNNY STORY|Emily Henry,q09039,Sometimes the job of a librarian is to simply not ask.
top2024:FUNNY STORY|Emily Henry,q09040,"To me, libraries have always represented the best of humanity. The way we all share knowledge and space, and . . . and how we find ways to look after each other. It’s not a perfect system, but it’s powerful."
top2024:FUNNY STORY|Emily Henry,q09041,"But you—you make love so easy, Daphne. You make me think I already deserve it, exactly how I am."
top2024:FUNNY STORY|Emily Henry,q09042,"But after a while, someone either finally sees you or they don’t, and either way it fucking sucks. Because if they see you, and it’s not what they signed up for, then they’re out of there. And if they never see you… it’s worse. Because you’re just alone."
top2024:FUNNY STORY|Emily Henry,q09043,"If a person lets you down, it’s time to reconsider what you’re asking of them."
top2024:FUNNY STORY|Emily Henry,q09044,"Can I do anything?"" I ask. Now his smile softens. He touches my chin again. ""Nah,"" he says. ""This is enough."" ""I'm not doing anything,"" I point out. The corner of his mouth twitches. ""Then why do I feel better?"
top2024:FUNNY STORY|Emily Henry,q09045,"I cast my mind back, to before grad school, before undergrad even, all the way to the first moment I remember loving a story. Feeling like I was living it. Being, even as a child, bowled over by how something imaginary could become real, could wring every emotion from me or make me homesick for places I'd never been"
top2024:FUNNY STORY|Emily Henry,q09046,"No, I’ve heard of it,” he corrects me. “As a kid, I never read for fun. I’m dyslexic, and it took too long.” “What about audiobooks?” I say. “Does that count?” he asks. “Of course it counts,” I say. His eyes narrow. “Are you sure?” “I’m a librarian,” I say. “If anyone gets to decide whether it counts or not, it’s me."
top2024:FUNNY STORY|Emily Henry,q09047,"So I stopped showing it when I was upset, just went along with whatever she said and did. And eventually, I just sort of...stopped getting upset. Stopped feeling the bad stuff."
top2024:FUNNY STORY|Emily Henry,q09048,"Miles grins and high-fives me. ""Are we evil or just immature?"" he says. ""I think maybe just bitter,"" I reply."
top2024:FUNNY STORY|Emily Henry,q09049,"if I’ve learned anything from parenting, it’s that it matters way more that you’re present than that you’re perfect."
top2024:FUNNY STORY|Emily Henry,q09050,"I don't want to play this game anymore,"" I say. ""I don't want you to say things you don't mean and do things you don't want to do. It's confusing."" ""Who says I did anything I don't want to do?"" he asks. ""You did,"" I fire back. ""You're the one who told me you don't want anything to happen between us–"" ""I never said that,"" he argues, stepping closer. ""–and I don't want to be a prop to make your ex jealous, and I know I started it–"" ""You're not a prop,"" he says, looking hurt. ""That's exactly what I just was,"" I counter. ""You only want to kiss me when they're there to see it. And I know I started it, but things are different now."" Miles's gaze drops on a hoarse laugh, a shake of his head. He steps in closer, our hips brushing. Then he looks back up, takes my face in both hands, and kisses me again. Rough, deep, messy, breathless. With no on to see it. Nothing to stop us."
top2024:FUNNY STORY|Emily Henry,q09051,"I have been thinking about getting a cat, though,"" he says. ""One more reason I should move to Maryland,"" I say. ""I'm allergic."" ""That cat's out,"" he says."
top2024:FUNNY STORY|Emily Henry,q09052,This is as close as I get to life on the edge: a milky tea and a near-white rug.
top2024:FUNNY STORY|Emily Henry,q09053,"I'd tempered my expectations, packed them tight into bricks. built a fortress to protect me. But keeping every glimmer of hope out has isolated me too, and I want to be seen. I want to be loved. I want to live with the hope that things can get better, even if, in the end, they don't."
top2024:FUNNY STORY|Emily Henry,q09054,"To him, he's the brother who ran away. To her, he's the one who stays, even when he shouldn't."
top2024:FUNNY STORY|Emily Henry,q09055,"The first 'we' was my mom and me, then it was Sadie and me, then Peter. I've always cleaned to the people I love, tried to orient my orbit around them. Maybe, I realize, I've been trying to make myself un-leave-able. But it hasn't worked. ""I don't want to just be a part of we,"" I say. ""I want to be an 'I"
top2024:FUNNY STORY|Emily Henry,q09056,"We should RSVP,"" I say. ""They're not the bigger people. Fuck that!"" ""Fuck that!"" he agrees. ""Fuck that!"" I half shout. Mr. Dorner pounds on the wall. Miles presses a pointer finger to my lips. ""Fuck that,"" he whispers. ""Fuck that,"" I whisper back."
top2024:FUNNY STORY|Emily Henry,q09057,"For a few seconds, I'm nothing but a body seeking more of his."
top2024:FUNNY STORY|Emily Henry,q09058,"I feel a pang of longing. Nostalgia, I guess, for every library I’ve ever loved, and the little girl who dreamed of this: being the first person in and the last out of a building brimming with books. And feeling like it belonged to me in a way, and I to it. A home, when nowhere else felt right. Harvey takes a deep breath. “Don’t you love the way it smells?” “So, so much,” I say. “That right there,” he says, “is why I can’t retire. If I could live in this feeling, I would."
top2024:FUNNY STORY|Emily Henry,q09059,"Can I help you find something?”“I was hoping you could spell out every word of a love poem to me,” he deadpans."
top2024:FUNNY STORY|Emily Henry,q09060,"Okay, here's what we're going to do. I'm going to be your tour guide."" ""I'm not doing acid with you, Miles,"" I say. ""Good to know,"" he replies, ""but not the kind of tour guide I'm talking about."
top2024:FUNNY STORY|Emily Henry,q09061,I’d been so relieved when I finally fell in love with someone who actually wanted to love me back.
top2024:FUNNY STORY|Emily Henry,q09062,"Hell, I'm old enough to have a daughter named Renesmee on one of those U-5 soccer teams where the kids take turns kicking the ball the wrong way, then sitting down midfield to take off their shoes"
top2024:FUNNY STORY|Emily Henry,q09063,"Yeah, well,” I say, “I thought about taking a video of myself giving you a lap dance, but I don’t have anything to mount your phone on, so this was the next best thing.”“I will happily go back into the woods, find some sticks, and build you a tripod, Daphne,” he says."
top2024:FUNNY STORY|Emily Henry,q09064,"And I’m not sure why I wasted all that time and energy, because when I think about family—that thing I’d always longed for—it’s never been a Norman Rockwell painting that I picture. It’s me and Mom, on the couch, eating microwaved corn dogs while Dial M for Murder plays on TV. It’s running out from the library at night to her car, a greasy box of Little Caesars pizza in the passenger seat, her joking, I thought we’d do Italian. It’s being pulled away from watching the frost melt on the living room window to make stovetop hot cocoa from a packet, and that last tight hug at the end of the airport security line, and packing up cardboard boxes, knowing I’ll always have what I need, no matter how much I leave behind."
top2024:FUNNY STORY|Emily Henry,q09065,"Onscreen is the image of a thirty-year-old Renée Zellweger, sporting red pajamas and belting a song into a rolled-up magazine. ""Oh my god, Miles,"" I say. ""What?"" He says. ""You're watching Bridget Jones's Diary?"" ""It's a good movie!"" he cries, a little defensive."
top2024:FUNNY STORY|Emily Henry,q09066,You’re obsessed with your job. Sometimes I catch you just staring at spreadsheets like they’re winning lottery tickets.
top2024:FUNNY STORY|Emily Henry,q09067,"This is how time works. The things you wait months for blink past, like the flash of a strobe, huge swaths lost in the dark beats between."
top2024:FUNNY STORY|Emily Henry,q09068,"There’s just something about a movie where shit gets blown up during a car chase,” he says, “that makes me feel like everything’s going to be okay."
top2024:FUNNY STORY|Emily Henry,q09069,"Miles smiles tentatively, an apology of a smile. Should I be here right now? You should always be here, my heart answers."
top2024:FUNNY STORY|Emily Henry,q09070,"I want him, I like him, and I care about him enough to push those first two thoughts aside."
top2024:FUNNY STORY|Emily Henry,q09071,"Maybe we should date,"" Miles says. I choke. He watches me coughing, an impish grin forming on his impish mouth. ""Yes,"" I finally manage. ""A shared cuckolding is the most fertile ground from which love could ever spring."" ""Yeah, that,"" he says, ""and it would piss them off."
top2024:FUNNY STORY|Emily Henry,q09072,"I didn't have you pegged for a wine guy."" He stares at me. ""What?""His tipsy-squinting eyes narrow further. ""Can't tell if you're kidding."" ""No?"" I say. ""I work at a winery, Daphne,"" he says. ""Since when?"" I say, disbelieving. ""For the last seven years,"" he says."
