sample_id,quote_id,quote_text
top2024:INTERMEZZO|Sally Rooney,q08831,Sometimes you need people to be perfect and they can’t be and you hate them forever for not being even though it isn’t their fault and it’s not yours either. You just needed something they didn’t have in them to give you.
top2024:INTERMEZZO|Sally Rooney,q08832,what if life is just a collection of essentially unrelated experiences? Why does one thing have to follow meaningfully from another?
top2024:INTERMEZZO|Sally Rooney,q08833,Yes I would like he thinks to live in such a way that I could vanish into thin air at any time without affecting anyone and in fact I feel that for me this would constitute the perfect and perhaps the only acceptable life. At the same time I want desperately to be loved.
top2024:INTERMEZZO|Sally Rooney,q08834,"Well, if that's suffering, he thinks, let me suffer. Yes. To love whoever I have left. And if ever I lose someone, let me descend into a futile and prolonged rage, yes, despair, wanting to break things, furniture, appliances, wanting to get into fights, to scream, to walk in front of a bus, yes. Let me suffer, please. To love just these few people, to know myself capable of that, I would suffer every day of my life."
top2024:INTERMEZZO|Sally Rooney,q08835,"It doesn't always work, but I do my best. See what happens. Go on in any case living."
top2024:INTERMEZZO|Sally Rooney,q08836,"How often in life he has found himself a frustrated observer of apparently impenetrable systems, watching other people participate effortlessly in structures he can find no way to enter or even understand. So often that it’s practically baseline, just normal existence for him. And this is not only due to the irrational nature of other people, and the consequent irrationality of the rules and processes they devise; it’s due to Ivan himself, his fundamental unsuitedness to life. He knows this. He feels himself to have been formed, somehow, with something other than life in mind."
top2024:INTERMEZZO|Sally Rooney,q08837,"Yes, the world makes room for goodness and decency, he thinks: and the task of life is to show goodness to others, not to complain about their failings."
top2024:INTERMEZZO|Sally Rooney,q08838,You can drive yourself crazy thinking about different things you could have done in the past.
top2024:INTERMEZZO|Sally Rooney,q08839,"Nonetheless, it is better to feel hopeful and optimistic about one’s life on earth while engaged in the never-ending struggle to pay rent, than to feel despondent and depressed while engaged in the same non-optional struggle anyway."
top2024:INTERMEZZO|Sally Rooney,q08840,"And yet, accepting the premise, allowing life to mean nothing for a moment, doesn’t it simply feel good"
top2024:INTERMEZZO|Sally Rooney,q08841,"I just want to say, I’m on your side. I know I’ve never done anything to help you, Ivan, but in principle, in spirit. I’ve been on your side all along."
top2024:INTERMEZZO|Sally Rooney,q08842,"We’re being hard on ourselves in a way, he remarks, because both our lives involve some voluntary exposure to what other people might call defeat. Which I think requires a certain degree of courage."
top2024:INTERMEZZO|Sally Rooney,q08843,"She lets out a trembling kind of laugh. Well, if there is a God, she says, I'm sure he loves you very much. He lowers his eyes. Yeah, I can feel that sometimes, he says. Like when I'm with you, I can. If you don't mind me saying that."
top2024:INTERMEZZO|Sally Rooney,q08844,"But I’m very happy that I met you. And even knowing that you’re alive, I feel like my life will be a lot better. Just being able to remember – being with you, and having such a nice experience together."
top2024:INTERMEZZO|Sally Rooney,q08845,"But it is a pleasure, isn't it, on a crisp September night in Dublin to walk with long free strides along a quiet street. In the prime of his life. Incumbent on him now to enjoy such fleeting pleasures. Next minute might die. Happens every day to someone."
top2024:INTERMEZZO|Sally Rooney,q08846,"Once you meet your soulmate, there’s no point pretending, is there? Feeling of solace you get when she’s near you. To live the right life."
top2024:INTERMEZZO|Sally Rooney,q08847,"The demands of other people do not dissolve; they only multiply. More and more complex, more difficult. Which is another way, she thinks, of saying: more life, more and more of life."
top2024:INTERMEZZO|Sally Rooney,q08848,"She has been contained before, contained and directed, by the trappings of ordinary life. Now she no longer feels contained or directed by anything at all. Life has slipped free of its netting. She can do very strange things now, she can find herself a very strange person. Young men can invite her into holiday cottages for sexual reasons. It means nothing. That isn't true: it means something, but the meaning is unfamiliar."
top2024:INTERMEZZO|Sally Rooney,q08849,"Because a living person has their own reality, he says. The person who's gone has no reality anymore, except in thoughts. And once they're gone from thoughts, they actually are completely gone. If I don't think about him, literally, I'm ending his existence."
top2024:INTERMEZZO|Sally Rooney,q08850,"The inexchangeable pleasure of her conversation. Just to walk the streets saying things, anything, just the act itself, walking together at the same speed, and talking, purely to amuse and please one another, to make each other stupidly laugh, for no further accomplishment, no higher purpose, to let their words rise and disperse forever in the damp brackish air."
top2024:INTERMEZZO|Sally Rooney,q08851,"Didn’t human sexuality at its base always involve a pathetic sort of throbbing insecurity, awful to contemplate?"
top2024:INTERMEZZO|Sally Rooney,q08852,"To remember that God is not the nice man Jesus, who liked everybody and went around healing the sick; that God is, on the contrary, the one who makes people sick, who condemns people to death, for incomprehensible reasons. Jesus the healer, the listener, teacher, friend of sinners, seems in Margaret’s mind to be practically on the brink of murmuring: Sorry about my dad… Jesus is easy to love and God much harder."
top2024:INTERMEZZO|Sally Rooney,q08853,"Nobody when they're rejected believes it's really for extraneous reasons. And it almost never is for extraneous reasons, because mutual attraction — which even makes sense from an evolutionary perspective — is simply the strangest reason to do anything, overriding all the contrary principles and making them fall away into nothing."
top2024:INTERMEZZO|Sally Rooney,q08854,"There is more to life than great chess. Okay, great chess is still a part of life, and it can be a very big part, very intense, satisfying, and pleasant to dwell on in the mind's eye: but nonetheless, life contains many things. Life itself, he thinks, every moment of life, is as precious and beautiful as any game of chess ever played, if only you know how to live."
top2024:INTERMEZZO|Sally Rooney,q08855,"From that so firmly suppressed feeling, present all along, that when he looks at her, when he speaks to her, he is addressing not only the superficial but also the deep concealed parts of her personality – without meaning to, without knowing how not to."
top2024:INTERMEZZO|Sally Rooney,q08856,"To do what little good he can with his life. To ask for nothing more, to bow his head, pitifully grateful, God’s humble and grateful servant. Can he imagine anything less like himself? And yet here he is, defeated, relieved, forgiving everything, praying only to be forgiven."
