sample_id,quote_id,quote_text
top2024:THE SPELLSHOP|Sarah Beth Durst,q09538,It wasn’t that she didn’t like people. It was only that she liked books more.
top2024:THE SPELLSHOP|Sarah Beth Durst,q09539,"It wasn't that she didn't like people. It was that she liked books more. They didn't fuss or judge or mock or reject.They invited you in, fluffed up the pillows on the couch, offered you tea and toast, and shared their hearts with no expectation that you'd do anything more than absorb what they had to give."
top2024:THE SPELLSHOP|Sarah Beth Durst,q09540,Books should be shared with everyone who wants to open their minds and hearts to them.
top2024:THE SPELLSHOP|Sarah Beth Durst,q09541,Of course knowledge is dangerous. But ignorance is even more dangerous
top2024:THE SPELLSHOP|Sarah Beth Durst,q09542,We can only control what we do and hope that other people make the right choice.
top2024:THE SPELLSHOP|Sarah Beth Durst,q09543,"There's no such thing as a weed,"" Cas said. ""That's a cruel term made up by people who label some plants as 'unwanted' and some as 'valuable,' as if the worth of a living thing is measured by how useful it is to another living thing. As if a plant can't gave its own intrinsic worth."
top2024:THE SPELLSHOP|Sarah Beth Durst,q09544,"You know, plants aren't nearly as emotionally exhausting as humans. You should try to be more plant"
top2024:THE SPELLSHOP|Sarah Beth Durst,q09545,"I want to know you better.""""No, you don't. I'm not friendly. I like to be alone.""""You can be alone with me."
top2024:THE SPELLSHOP|Sarah Beth Durst,q09546,Bookshelves! That was the most perfect thing anyone had ever offered her. Better than jewels or feast or a palace.
top2024:THE SPELLSHOP|Sarah Beth Durst,q09547,"Caz? Are you ever lonely?""""How can I be? I have books."
top2024:THE SPELLSHOP|Sarah Beth Durst,q09548,I can’t lose books; I’d lose me.
top2024:THE SPELLSHOP|Sarah Beth Durst,q09549,"I’m just an honest person, but if I’m truly being honest, sometimes blunt is just mean. Honesty can be an excuse for bullying."
top2024:THE SPELLSHOP|Sarah Beth Durst,q09550,"I read and I forget anything else exists. And I don’t forgive anyone who isn’t careful with books. I hate people who tear out pages, who bend corners, who break the spines."
top2024:THE SPELLSHOP|Sarah Beth Durst,q09551,"She didn’t really know anything about running a shop or magic or jam… But I do know books - and that meant there was nothing she couldn’t know, eventually. That was magic in and of itself."
