sample_id,quote_id,quote_text
top2025:ATMOSPHERE|Taylor Jenkins Reid,q09786,"Bravery is being unafraid of something other people are afraid of. Courage is being afraid, but strong enough to do it anyway."
top2025:ATMOSPHERE|Taylor Jenkins Reid,q09787,Happiness is so hard to come by. I don't understand why anyone would begrudge anyone else for managing to find some of it.
top2025:ATMOSPHERE|Taylor Jenkins Reid,q09788,"Because the world had decided that to be soft was to be weak, even though in Joan’s experience being soft and flexible was always more durable than being hard and brittle. Admitting you were afraid always took more guts than pretending you weren’t. Being willing to make a mistake got you further than never trying. The world had decided that to be fallible was weak. But we are all fallible. The strong ones are the ones who accept it."
top2025:ATMOSPHERE|Taylor Jenkins Reid,q09789,"Well, we are the stars"", Joan said. ""And the stars are us. Every atom in our bodies was once out there. Was once a part of them. To look at the night sky is to look at pars of who you once were, who you may one day be."
top2025:ATMOSPHERE|Taylor Jenkins Reid,q09790,"Listen to me,” Joan said. “I was circling two hundred miles above the Earth, and all I wanted was to get home and see you. Do you understand that? Do you understand that I don’t care how big or small this world is, that you are the center of mine? Do you understand that, to someone, you are everything that matters on this entire planet?"
top2025:ATMOSPHERE|Taylor Jenkins Reid,q09791,To look up at the nighttime sky is to become a part of a long line of people throughout human history who looked above at that same set of stars. It is to witness time unfolding.
top2025:ATMOSPHERE|Taylor Jenkins Reid,q09792,"In all of her time spent watching others, she hadn't picked up on this part of falling in love, that someone could look at you as if you were the very center of everything. And even though you knew better, you'd allow yourself a moment to believe you were worthy of being revolved around, too."
top2025:ATMOSPHERE|Taylor Jenkins Reid,q09793,I feel like I could know you forever and still be curious about what you're going to say next.
top2025:ATMOSPHERE|Taylor Jenkins Reid,q09794,Just the act of falling in love was to agree to a broken heart.
top2025:ATMOSPHERE|Taylor Jenkins Reid,q09795,"You make my life worth something. And I can promise you with my entire body that you will never be alone. Every day, you can wake up and go to bed knowing there is someone whose heart is bursting, barely able to contain how much they love you. I know you’re my niece, Frances. But you have always, too, been mine."
top2025:ATMOSPHERE|Taylor Jenkins Reid,q09796,"If you’re in bed next to me, I will take your hand. If you are not, I will go find you. I will spend the rest of my life, if I get that lucky, seeking you out. Not because I promised you or because you’re there. But because I will want to. I will want to be beside you. Every day. Forever.” “You will?” Vanessa tucked a strand of Joan’s hair behind her ear. “Every morning, I wake up and I think, ‘God, yes, her.’ ” Joan smiled and dried her tears. “If that can be enough for you,” Vanessa said, “it’s yours until the day I die."
top2025:ATMOSPHERE|Taylor Jenkins Reid,q09797,But to love Frances was to be always saying goodbye to the girl Frances used to be and falling in love again with the girl Frances was becoming.
top2025:ATMOSPHERE|Taylor Jenkins Reid,q09798,"I want to spend my energy thinking not of how my actions might be frowned upon by a man in the sky, but how my actions affect every living and non-living thing around me. Life is God. My life is tied to yours, and to everyone’s on this planet. How does that not instantly make us more in debt to one another? And also offer us the comfort that we are not alone?"
top2025:ATMOSPHERE|Taylor Jenkins Reid,q09799,"Do you know why I kept saying the best song was ‘Space Oddity’?” Vanessa asks. “Because of your favorite part.” “When he says, ‘Tell my wife I love her very much…"
top2025:ATMOSPHERE|Taylor Jenkins Reid,q09800,"But I think it is also the relief I feel that those stars are immovable. Nothing you or I could do will ever alter them. They are so much bigger than us. And they will not change within our lifetime. We can succeed or fail, get it right or get it wrong, love and lose the ones we love, and still the Summer Triangle will point south. And in that way, I know everything will be some type of okay—as impossible as that can seem sometimes."
top2025:ATMOSPHERE|Taylor Jenkins Reid,q09801,"Astronomy was history. Because space was time. And that was the thing she loved most about the universe itself. When you look at the red star Antares in the southern sky, you are looking over thirty-three hundred trillion miles away. But you are also looking more than five hundred and fifty years into the past. Antares is so far away that its light takes five hundred and fifty years to reach your eye on Earth. Five hundred and fifty light-years away. So when you look out at the sky, the farther you can see, the further back you are looking in time. The space between you and the star is time."
top2025:ATMOSPHERE|Taylor Jenkins Reid,q09802,"Vanessa smiled. “I’m not nervous, no.” Joan’s cheeks started to burn. “I’m excited,” Vanessa said, closing the gap between them. “I want to take you everywhere. And do everything with you. And ask you every single question that’s been on my mind for months. And I want to know when you knew what was happening between us and I want to tell you when I knew. And I want to hold your hand in a quiet corner and I want to lie in bed and hear your heartbeat through your chest. I want to bring you coffee in bed. And I want to hear you tell me anything you’ve always wanted to tell someone. Because you know that you’ve met someone who desperately wants to listen."
top2025:ATMOSPHERE|Taylor Jenkins Reid,q09803,Being human was such a lonely endeavor.
top2025:ATMOSPHERE|Taylor Jenkins Reid,q09804,"my mom said that if I was going to be proud of myself for being generous, that I had to do it even when it meant I might lose something. She said, ‘You have to have something on the line, for it to be called character.’"
top2025:ATMOSPHERE|Taylor Jenkins Reid,q09805,"Look,” Vanessa said, pointing up toward the western edge of the sky. “Hercules.” Joan did not speak. “The whole sky makes sense to me now,” Vanessa said. “Because of you.” And Joan thought, Oh no. Oh no. Oh no. Oh no."
top2025:ATMOSPHERE|Taylor Jenkins Reid,q09806,"Space belonged to no one, but Earth belonged to all of them."
