sample_id,quote_id,quote_text
top2025:KATABASIS|R.F. Kuang,q10560,This was the key to flourishing in graduate school. You could do anything if you were delusional.
top2025:KATABASIS|R.F. Kuang,q10561,"How wonderful, truly, to have a friend whose silence you adored."
top2025:KATABASIS|R.F. Kuang,q10562,"And if falling in love was discovery, was letting yourself be discovered the equivalent to being loved?"
top2025:KATABASIS|R.F. Kuang,q10563,"She gazed at Peter and thought, 'I wish I were the night, so that I might watch your sleep with a thousand eyes."
top2025:KATABASIS|R.F. Kuang,q10564,Surely no one else lived like this - burdened by the tiniest details they assumed had enormous consequences. Surely no one else was so anchored by anxiety. Other people could stumble and shake their heads and move on. How she envied their lightness.
top2025:KATABASIS|R.F. Kuang,q10565,"Christ,” said Peter. “Hell is a campus."
top2025:KATABASIS|R.F. Kuang,q10566,"Her memory did that sometimes; she confused memories and reality, her imagination was too vivid, she couldn’t help it."
top2025:KATABASIS|R.F. Kuang,q10567,Those who had nothing substantial to brag about bragged the loudest.
top2025:KATABASIS|R.F. Kuang,q10568,"What Alice needed most then was a nice long holiday, and then perhaps institutionalization at some remote facility near the sea."
top2025:KATABASIS|R.F. Kuang,q10569,"Fortunately graduate school had prepared her for this, the constant managing of despair."
top2025:KATABASIS|R.F. Kuang,q10570,"Hell’s lonely,” said Peter. “You’ll want company.” “Hell is other people, I’ve heard."
top2025:KATABASIS|R.F. Kuang,q10571,I feel sometimes it is so difficult to be conscious.
top2025:KATABASIS|R.F. Kuang,q10572,"Now all that was gone. This was the unbelievable fact of death. This was a paradox her mind could not accept, that someone could be in the world one moment and simply be gone the next."
top2025:KATABASIS|R.F. Kuang,q10573,"What you must realize, Alice, is that you cannot just take refuge in feminism when it suits you."
top2025:KATABASIS|R.F. Kuang,q10574,"Sometimes I am very clever but most of the time I am not. I have been a good person sometimes, and a bad person at others. Sooner or later I will die. But before I do, I will try—I will try very hard—to make it count."
top2025:KATABASIS|R.F. Kuang,q10575,"But of course it was worth it. It was the only thing that was worth it. She had been fortunate to find a vocation that made irrelevant everything else, and anything that made you forget to eat, drink, sleep, or maintain basic relationships—anything that made you so inhumanly excited—had to be pursued with single-minded devotion."
top2025:KATABASIS|R.F. Kuang,q10576,"And so perhaps it was entirely possible - common, even - for you to look into the eyes of someone you'd been falling in love with, someone you had spent every waking moment with, whose breathing sounded as familiar as your own - and fail to recognize them at all."
top2025:KATABASIS|R.F. Kuang,q10577,"Everyone knew that the nicer a library was, the better the work you did within it."
top2025:KATABASIS|R.F. Kuang,q10578,"Perhaps human intelligence was a mistake, and everyone who celebrated the escape from the Garden of Eden was wrong. Perhaps the gift of rationality did not outweigh the debilitating agony that came with it."
top2025:KATABASIS|R.F. Kuang,q10579,"Being an idiot!” All four Shades shuddered; a quivering mass of jelly. “Oh, the horror! Oh, to not be clever!” And one of them wailed, “What if you never learn to read!"
top2025:KATABASIS|R.F. Kuang,q10580,"You might say karma is like a seed. Seeds grow into fruit. Karma is a natural consequence. Badness accrues. It affects the way you live your life, how you perceive the world. When you do evil things, you see the world as petty and selfish and cruel. And what you experience in Hell is just the final ripple effect of your original evil. You get precisely what you asked for. And I think the whole point of Hell is to show you the full extent of what you wanted."
top2025:KATABASIS|R.F. Kuang,q10581,"The world is not a complete system; there is always an exception. No explanation for its existence; no reason why one might expect it to have existed before or to ever exist again. The world was simply unknowable; exceptions cropped up all the time, and all you had to do to beat the odds was just look."
top2025:KATABASIS|R.F. Kuang,q10582,She was not alone. She was safe. There was at least a single other soul in this universe who vibrated at her same frequency.
top2025:KATABASIS|R.F. Kuang,q10583,"You’ve got that look about you.” “What look?” “Well, not to be rude, but you’re all fucked up, aren’t you?"
top2025:KATABASIS|R.F. Kuang,q10584,"Good jobs were vanishingly rare in academia. Alice very much wanted one. She wouldn't know what to do with herself otherwise. She had trained her entire life to do this one thing, and if she could not do it, then she had no reason to live."
top2025:KATABASIS|R.F. Kuang,q10585,"She thought she’d learned to inhabit the impossible ideal: the girl who was eminently fuckable but unreachable, and therefore virtuous and perfect. The girl who was everything all at once."
top2025:KATABASIS|R.F. Kuang,q10586,"Believe the lie - trust the lie - it is the only thing you have. Stay in the cage and paint the walls. If you do not, then you must quit; but if you can delude yourself long enough, then your delusions might very well come true."
top2025:KATABASIS|R.F. Kuang,q10587,"You thought people were giants, and they disappointed you by being so human."
top2025:KATABASIS|R.F. Kuang,q10588,"She was of course underpaid and overworked, but this condition was common among graduate students and no one cared much about it."
top2025:KATABASIS|R.F. Kuang,q10589,All the ghost stories were wrong; hauntings were so rarely malicious. The dead only wanted to feel included.
top2025:KATABASIS|R.F. Kuang,q10590,"Crying fits are to be conducted in private, that’s library rules."
top2025:KATABASIS|R.F. Kuang,q10591,"This was love, a love she had never known; At last, she thought, this is the real thing -- this gradual unfolding of another soul, charting one's course into priviliged inner territory, making discoveries of which you felt you were the first. Alice loved her work for just this reason, so why wouldn't she fall in love with people, too?"
top2025:KATABASIS|R.F. Kuang,q10592,"How good it felt when she seemed to abandon her body altogether— when she became fully incorporeal, drifting happily in a universe of ideas. She was very proud of the days that she forgot to eat. Not because she had any revulsion for food, but because it was some proof that she had transcended some basic cycle of need. That she was not just an animal after all, held captive by her desires. That she was above all a mind, and the mind was capable of miraculous things."
top2025:KATABASIS|R.F. Kuang,q10593,"It was the absolute farce of it all, said Elspeth. One day it all seemed so silly to me, and I couldn't stop laughing about it. The symbolic system collapsed. You write a good paper, and it's rejected because your reviewer was having a bad day. You're a perfect fit for a job, and you lose to the committee chair's godson. Once you have a job it doesn't get better-do you know how many people are passed over for tenure because someone somewhere once felt they were rude at a party? I mean what's the fucking point? I couldn't keep up the charade, but I also couldn't see the value in anything else, so I put a stop to it all. I could not care anymore."
top2025:KATABASIS|R.F. Kuang,q10594,"academia respected discipline, rewarded effort, but even more, it adored genius that didn’t have to try."
top2025:KATABASIS|R.F. Kuang,q10595,"Oh, he took a job in industry,” they would say, as if “industry” here was a euphemism like a farm for old sick dogs. And they said it with a kind, patronizing lilt that betrayed what they truly meant: alt academia meant failure. The life of the mind, unfettered from commerce, was the only kind worth living."
top2025:KATABASIS|R.F. Kuang,q10596,"All the stories were wrong - no siren's call was as alluring as the sea itself, and the quiet dark beyond the shore."
top2025:KATABASIS|R.F. Kuang,q10597,"And if you could constantly reinvent yourself, cut away the parts of you that ashamed or hurt you, then how could you ever come to really know someone else? Were people all just living paradoxes, keeping up an illusion just long enough to survive contact with others? Were people then all a series of lies in the end?"
top2025:KATABASIS|R.F. Kuang,q10598,Loss of identity was a terrifying prospect.
top2025:KATABASIS|R.F. Kuang,q10599,"Alice found it a bit difficult to breathe just then. Her cheeks burned, and her head felt uncomfortably light. She’d hoped, as an undergraduate, that this intense physiological reaction to jealousy might eventually go away, but as she progressed through graduate school it only grew worse. Every published paper, every conference invitation, elicited a panicked, fight-or-flight response, one that she’d never gotten good at concealing."
top2025:KATABASIS|R.F. Kuang,q10600,"No, what hurt was how easily he could reduce her to a thing. No longer a student, a mind, an inquisitive being growing and learning and becoming under him - but just the barest identity she had been afraid to be all along, which was a mere woman."
top2025:KATABASIS|R.F. Kuang,q10601,"She knew only a version of him, at a brief moment in time."
top2025:KATABASIS|R.F. Kuang,q10602,"You want me to pretend that I love you.” “It’s easy,” he said. “Just assume our wills are united.” “What does that mean?” “Well, that we want all the same things. That we want what’s best for each other. That we take one another’s ends as our own, and that our ideal outcome is one in which we’re together. Haven’t you ever been in love?"
top2025:KATABASIS|R.F. Kuang,q10603,"Hell’s lonely,” said Peter. “You’ll want company.”“Hell is other people, I’ve heard."
