sample_id,quote_id,quote_text
top2025:SAY YOU'LL REMEMBER ME|Abby Jimenez,q10340,"There is nothing more beautiful than being a witness to someone's life. To know them inside and out and be with them through everything, share the same memories. Memories are everything, I want that."
top2025:SAY YOU'LL REMEMBER ME|Abby Jimenez,q10341,"The small memories are the fabric of your life, the ones so inconsequential that you don't even remember them. You just remember how you felt when you were making them"
top2025:SAY YOU'LL REMEMBER ME|Abby Jimenez,q10342,"I'd like to look back on my life and remember every single thing. But if I don't, I hope I remember that it was a love story. And that the love story was about you."
top2025:SAY YOU'LL REMEMBER ME|Abby Jimenez,q10343,The best moments don't have to be big to be forever.
top2025:SAY YOU'LL REMEMBER ME|Abby Jimenez,q10344,Love is the brightest color in a gray world.
top2025:SAY YOU'LL REMEMBER ME|Abby Jimenez,q10345,"It’s weird knowing what’s going to be in your end-of-life montage, as it’s happening. But I already knew when my life flashed before my eyes, the best parts of it were going to be about her."
top2025:SAY YOU'LL REMEMBER ME|Abby Jimenez,q10346,"I don’t like most people,” I said. “Well, most people don’t like themselves. So the feeling is mutual,"
top2025:SAY YOU'LL REMEMBER ME|Abby Jimenez,q10347,Because if you were my wife you would be my world. Everything starts with you and ends with you. Anything else is just the stuff that happens in the middle.
top2025:SAY YOU'LL REMEMBER ME|Abby Jimenez,q10348,"I want a lifetime of that. I want to be able to talk about my family and they know what I mean without me having to go into the backstory. To just say ‘Tristan’ and they nod and roll their eyes. I want someone who knows all my petty vendettas and they honor them no matter how out of pocket they are.” “So, mustard stuff.” She laughed. Then her smile fell a little. “You can’t fake that kind of thing,” she said, softly. “It’s the result of a parallel life. A shared collection of experiences, like a snowball rolling downhill, getting bigger as it goes. And then you get to a point where you’re so far in, you can never replace that person. Not really. No one else can ever be the same kind of witness because you’ve lived through so much. It really is a once in a lifetime thing.” Her eyes went a little sad. “Can you imagine losing that? One memory at a time?"
top2025:SAY YOU'LL REMEMBER ME|Abby Jimenez,q10349,"None of this matters. None of it. It’s just stuff. You can build another clinic somewhere else, but that? What you have with her? That is not easy to find. The universe doesn’t just hand out true love. And I know that’s what this is because I see you’re willing to kill yourself over it. So if you have that, if you’re one of the lucky ones, why in God’s green earth would you give it up?"
top2025:SAY YOU'LL REMEMBER ME|Abby Jimenez,q10350,"She couldn’t make more memories with me. But I could still make memories with her. I would be a witness to her life, even though she was done witnessing mine."
top2025:SAY YOU'LL REMEMBER ME|Abby Jimenez,q10351,"They say that you won’t remember what someone said, but you’ll always remember how they made you feel. I don’t think this moment would be the same if it wasn’t for how it felt."
top2025:SAY YOU'LL REMEMBER ME|Abby Jimenez,q10352,think we grow up and we either get harder or we get softer on our parents. We realize how fucked up they actually were or we give them a pass because adulting is hard and now we get it. They’re people and they make mistakes.
top2025:SAY YOU'LL REMEMBER ME|Abby Jimenez,q10353,I didn’t get to shut my brain off very often. Most women don’t. The constant situational awareness that we have to practice is exhausting. But Xavier made me feel like I could mentally check out.
top2025:SAY YOU'LL REMEMBER ME|Abby Jimenez,q10354,"Memories were like that, sometimes they bent reality."
top2025:SAY YOU'LL REMEMBER ME|Abby Jimenez,q10355,Because life wouldn’t be worth living if I didn’t remember you.
top2025:SAY YOU'LL REMEMBER ME|Abby Jimenez,q10356,"It was so natural being with her, I wondered if loving her was a contract that I'd signed in a former life."
top2025:SAY YOU'LL REMEMBER ME|Abby Jimenez,q10357,"Yeah. I want someone who knows everything there is to know about me, and I want to know everything about them. I want to be able to say one out-of-context comment to someone and they get what it means and they laugh and it’s just some stupid joke from like eleven years ago that means nothing to anyone else."
top2025:SAY YOU'LL REMEMBER ME|Abby Jimenez,q10358,Loneliness in a relationship is the deepest loneliness of all.
top2025:SAY YOU'LL REMEMBER ME|Abby Jimenez,q10359,"It was that moment in the Keira Knightley version of Pride & Prejudice where she rolls up to Mr. Darcy’s estate and it’s this enormous mansion and she’s like, OH, FOR FUCK’S SAKE."
top2025:SAY YOU'LL REMEMBER ME|Abby Jimenez,q10360,This is why I hated humans. They were the worst animals on the planet.
top2025:SAY YOU'LL REMEMBER ME|Abby Jimenez,q10361,"The people who raise us have a hold on us. I still think about the things my parents did and didn’t do—we’re built that way, you know. We’re supposed to care what they think, it’s a survival instinct. But parents are human and not all humans should have children. Sometimes you just get bad ones."
top2025:SAY YOU'LL REMEMBER ME|Abby Jimenez,q10362,I loved waking up with her in the morning and that I would get to come home to her tonight. I loved going out to eat and talking about our days and making plans for tomorrow. I loved that she was going to use my shower and my pillow would smell like her hair.
top2025:SAY YOU'LL REMEMBER ME|Abby Jimenez,q10363,"What are you thinking about when you look at me like that?” I asked.“Lots of things,” he said quietly.“Like?”He regarded me with those crystal-blue eyes. “I’m thinking that I’m in love with you.”The words were so unexpected, I lost my breath.“Xavier…”“You don’t have to say it back. I just didn’t want to lie.”“But… but you’ve always looked at me like that,” I said.“I know. I’ve always loved you,” he said simply. “I think I couldn’t forget you because I remember you from a different lifetime. And I loved you then too."
top2025:SAY YOU'LL REMEMBER ME|Abby Jimenez,q10364,"I don’t know why they still get to me,” I said. “Because they’re your first bullies. For some reason you never grow out of the way you feel about the people who hurt you when you were a kid,"
top2025:SAY YOU'LL REMEMBER ME|Abby Jimenez,q10365,"love with. The ones who are a good fit. Their lifestyle matches yours, you share the same values and beliefs, you find them attractive and you like spending time with them. It’s good. Great even. You can live your whole life with this person and be madly in love and never want anything different… unless you’ve already met the other type of person you fall in love with. The One."
top2025:SAY YOU'LL REMEMBER ME|Abby Jimenez,q10366,Even bad memories are sacred in their own way.
top2025:SAY YOU'LL REMEMBER ME|Abby Jimenez,q10367,"It was like he was always thinking about me. A crow, bringing me shiny things. But really, all I wanted him to bring me was him."
top2025:SAY YOU'LL REMEMBER ME|Abby Jimenez,q10368,"My father was trapped in my mother’s illness. He was her person. Every day she woke up and fell in love with him all over again. Every day he woke up living a nightmare. And this is what he got for leaving it, even for an hour."
