sample_id,quote_id,quote_text
top2025:THE CORRESPONDENT|Virginia Evans,q10252,"I know you think of me as your mother only, but please remember, inside I am also just a girl."
top2025:THE CORRESPONDENT|Virginia Evans,q10253,"I didn't know it was happiness at the time, because it felt like busyness and exhaustion and financial stress and self doubt."
top2025:THE CORRESPONDENT|Virginia Evans,q10254,"I know you know this, but I want to repeat that when someone(s) treats you poorly, it is a reflection of him or herself and the misery within the heart of them. It doesn’t help a bit to hear that when you’re young, but later it will."
top2025:THE CORRESPONDENT|Virginia Evans,q10255,"knowing you has been like coming in from the cold, lonely road to find a warm fire and a table laid,"
top2025:THE CORRESPONDENT|Virginia Evans,q10256,"Imagine, the letters one has sent out into the world, the letters received back in turn, are like the pieces of a magnificent puzzle, or, a better metaphor, if dated, the links of a long chain, and even if those links are never put back together, which they will certainly never be, even if they remain for the rest of time dispersed across the earth like the fragile blown seeds of a dying dandelion, isn’t there something wonderful in that, to think that a story of one’s life is preserved in some way, that this very letter may one day mean something, even if it is a very small thing, to someone?"
top2025:THE CORRESPONDENT|Virginia Evans,q10257,"I have found it to be absolutely astounding, all the trouble living has turned out to be. Things nobody ever warned me about."
top2025:THE CORRESPONDENT|Virginia Evans,q10258,"we are thirty in our hearts, before all the disappointment, all the ways it turned out to be so much more painful than we thought it would be, but then again, it has also been magic."
top2025:THE CORRESPONDENT|Virginia Evans,q10259,"Grief shared, I think, can produce two outcomes. Either you bind yourselves together and hold on for dear life, or you let go and up goes a wall too high to be crossed."
top2025:THE CORRESPONDENT|Virginia Evans,q10260,"We are born and grow through childhood in spring. We live those glorious, lively, interesting years of our twenties, thirties, forties in summer. We settle into ourselves in autumn, that cool but not yet cold time, rich and aromatic. And in winter we age (brutally) and die."
top2025:THE CORRESPONDENT|Virginia Evans,q10261,"The grief that must fill the world is incomprehensible. Our small dose felt as large as the sun, didn’t it?"
top2025:THE CORRESPONDENT|Virginia Evans,q10262,"How cruel life is only this long. Now that I see clearly, I’d like more time."
top2025:THE CORRESPONDENT|Virginia Evans,q10263,"I wonder, was I always lonely? I’m not sure I’ve ever felt at home in the world, but I’m not sure that’s unique."
top2025:THE CORRESPONDENT|Virginia Evans,q10264,"But I think of life rather like a long road we walk in one direction. By and large a lonesome walk out in the wildness of hills and wind. Mountains. Snow. And sometimes there is someone to come along and walk with you for a stretch, and sometimes (this is what I’m getting to) sometimes you see in the distance some lights and it heartens you, the lone house or maybe a village and you come into the warmth of that stopover and go inside."
top2025:THE CORRESPONDENT|Virginia Evans,q10265,"You get the one life. It’s awfully unfair, isn’t it?"
top2025:THE CORRESPONDENT|Virginia Evans,q10266,"with age I have learned my feelings and my experience are, sadly, not unique. Terrible things happen. We make choices. Time cannot be rewound. The good that comes out of the bad can be unbearable."
top2025:THE CORRESPONDENT|Virginia Evans,q10267,"Imagine all that you have said to another, all the commentary you have exchanged with friends over drinks, over the phone with colleagues and distant relatives, all the prattle sent quickly, mindlessly over e-mail, messages typed into your cellular phone, and really, the sum of this interpersonal communication is the substance of your life, relationships being, as we know by now in our old ages, the meat of our lives;"
top2025:THE CORRESPONDENT|Virginia Evans,q10268,Grief (the biggest grief in the world) is like—What? What is it that happens to a person? I’ve always felt it is like a scream living inside me. It’s gotten a bit softer over time
top2025:THE CORRESPONDENT|Virginia Evans,q10269,"And yes, I will go into the year as you said: boldly, unapologetically, head up and not taking bullshit from anyone with a penis. You seem a worthy person to offer such advice."
top2025:THE CORRESPONDENT|Virginia Evans,q10270,"Perhaps if you have children, they will remember you; if you have grandchildren, they, God allowing, may also retain a few fragments of memory including you, but their children will not. They may keep some old photos in a book on a shelf, and perhaps two or three times in a lifetime may turn the page and find your face"
top2025:THE CORRESPONDENT|Virginia Evans,q10271,"I write slowly. A letter might take me an hour or more. I do not rush. I think through each sentence. My hand does not get tired. You mustn’t rush. When you rush you pen things you didn’t mean and you tire. It takes patience to say exactly what one means, to think of the right word. Sometimes I write a draft and mark it up, then write a clean copy to send. I believe one ought to be precious with communication. Remember: words, especially those written, are immortal. Sometimes, Caroline, the easiest inroad is to begin with a thank you, for a gift or a kindness or a letter, you know, and then take it from there. Answer every question they’ve asked, and ask your own, and you will have created a never-ending circuit of curiosity and learning. You’re most welcome to write me back if you’d like, but my suggestion would be to think of someone who is far away, someone you don’t see frequently or speak to often on the phone but dearly wish you could, and write to them instead. I wish you the very best."
top2025:THE CORRESPONDENT|Virginia Evans,q10272,"Gilbert has never left me, and the circumstances of his death have never for one day diminished, and as I age it feels so strange that the majority of people with whom I come in contact don’t have the slightest inkling that he ever lived. I had him for so much less time than I’ve lived without him, and yet his presence is enormous, though I keep it to myself."
top2025:THE CORRESPONDENT|Virginia Evans,q10273,"What I have made for myself is personal, but is not exactly peace…. Most of us live less theatrically, but remain the survivors of a peculiar and inward time. Joan Didion, “On the Morning After the Sixties,” The White Album"
top2025:THE CORRESPONDENT|Virginia Evans,q10274,Someone I loved very much said once to me there is no parallel universe; there is no ‘what could have been if only.’ How I wish there was.
top2025:THE CORRESPONDENT|Virginia Evans,q10275,am an old woman and my life has been some strange balance of miraculous and mundane.
top2025:THE CORRESPONDENT|Virginia Evans,q10276,it’s taken me some time to recognize how knowing you has been like coming in from the cold
top2025:THE CORRESPONDENT|Virginia Evans,q10277,Now that I’m dying it seems much simpler than it ever did before. Living
top2025:THE CORRESPONDENT|Virginia Evans,q10278,there are complexities of human life that cannot be boiled down to black and white.
top2025:THE CORRESPONDENT|Virginia Evans,q10279,"You are a wonderful, interesting woman, full of love and kindness, but you are so damn stubborn and determined you know exactly what is right in every situation."
top2025:THE CORRESPONDENT|Virginia Evans,q10280,"all this time, of course, but the fact is that I got every moment of you there was."
top2025:THE CORRESPONDENT|Virginia Evans,q10281,"I guess I was considered somewhat odd. I wasn’t a cheerful, frivolous little girl interested in dolls and drawing. I was serious and rather grave. Watchful, wary. I was a skeptic. I didn’t have many friends. I read a great deal. I was reading all the time."
top2025:THE CORRESPONDENT|Virginia Evans,q10282,"I am finding I have nowhere to put all of this. I’m sorry, but do you know what I mean? It’s like I’ve come home from the grocery store overburdened with bags, but the cupboards, the refrigerator, the pantry, the countertop are all already full. A mother and father? But I had a mother and father. Siblings? I have a sibling. It feels a betrayal to even acknowledge you exist! No vacancy. No room at the inn. We’re all full up, and yet the thing I always thought was so small now seems as enormous as a galaxy, this thing I have felt my whole life, and that is, a sense of something missing, this curiosity of why my mother let me go. I haven’t the tools for it"
top2025:THE CORRESPONDENT|Virginia Evans,q10283,I have missed you all this time
top2025:THE CORRESPONDENT|Virginia Evans,q10284,"what is left of you, nearly erased, in fewer than three generations, and your life, the life you see from the inside, right now, as monumental, will be reduced to the blood in their veins and perhaps, if you are lucky, a distant namesake,"
top2025:THE CORRESPONDENT|Virginia Evans,q10285,"perhaps you are asking how the grief wears over time partly from a place of kindness and partly, on the other hand, from a place of self-preservation, and understandably so, wondering what you should expect in your own situation of hell."
top2025:THE CORRESPONDENT|Virginia Evans,q10286,"The first letter I ever wrote was in 1948 to P. L. Travers regarding her book Mary Poppins. I loved this book and read it numerous times. I loved that Mary Poppins conducted her own life, and the lives of the children Jane and Michael, in such a controlled, even military, manner. This appealed to me terribly, that level of strict control—it seemed very safe. But also, somehow, there was such a great deal of creativity, adventure, color, surprise! And there was something about—Mary Poppins wasn’t their mother, and you knew (even as a child) she couldn’t rightly stay there forever, but as a child I imagined this lovely secret, that Mary Poppins was my real mother and that one day she would float down into my yard on the handle of an umbrella and declare I was her daughter, and she would explain the whole reason for having farmed me out, and then she would settle, and take me back and mind me with that perfect combination of wonder and predictability, though I knew obviously the book was a work of fiction and she would not, and also, didn’t I know, Colt, that as much as I wanted this, I also didn’t want it. I knew the moment she settled in to become"
top2025:THE CORRESPONDENT|Virginia Evans,q10287,I look in the mirror and how can it be? I am an old woman. What has my life been
top2025:THE CORRESPONDENT|Virginia Evans,q10288,An e-mail can in no way replace a written letter. It does concern me that one day all the advancement of technology will do away with the post
top2025:THE CORRESPONDENT|Virginia Evans,q10289,"we always trying to get back to the happier times? I think that is what it feels like, with Gill. I’ve spent my life trying to get back to having him even though I know I cannot."
top2025:THE CORRESPONDENT|Virginia Evans,q10290,"I had a bad feeling in my bowels and I realized it’s because after a quarter-century drought, at the age of seventy-seven, I find myself courted by two men at the same time!"
top2025:THE CORRESPONDENT|Virginia Evans,q10291,"There is an articulation of life one hears again and again. People will say, ‘oh, this is only a season.’ You know what I am referring to, don’t you? I mean how if someone is in difficulty they’ll say ‘it’s only a season.’ Or if someone is having a new baby and in the sleepless nights, an older woman will comfort with this idea that the expanse of time is a season—a winter, I suppose? (rather, a hurricane season!)—and the season will change eventually to something sunnier. I take issue with this. There are, by definition, four seasons that repeat in measured pattern year after year. As there is no such rhythm in the human life, I have to think that when it comes to seasons we all get one"
top2025:THE CORRESPONDENT|Virginia Evans,q10292,here is a secret: my letters have been far more meaningful to me than anything I did with the law. The letters are the mainstay of my life
top2025:THE CORRESPONDENT|Virginia Evans,q10293,I guess there’s no bottom to a person
top2025:THE CORRESPONDENT|Virginia Evans,q10294,I thought I would need someone to find me bearable
top2025:THE CORRESPONDENT|Virginia Evans,q10295,It was agonizing because it felt so true to the experiences of my own life
top2025:THE CORRESPONDENT|Virginia Evans,q10296,"It appears the matter is not one of policy, but of your caprice."
top2025:THE CORRESPONDENT|Virginia Evans,q10297,"Golf, drinking, staying in one’s pajamas until late in the morning, stretching oneself to find ways in which to pass the days is the way we were meant to spend our vacation weeks, not decades of our lives."
top2025:THE CORRESPONDENT|Virginia Evans,q10298,You are right about what you said—we are thirty in our hearts
top2025:THE CORRESPONDENT|Virginia Evans,q10299,Second postscript: I am watching this Donald Trump for the presidency in disbelief. The thing has legs
top2025:THE CORRESPONDENT|Virginia Evans,q10300,He said he wants to take me shooting (imagine) and to his golf club for “the best crab cakes I’ve ever had”—in TEXAS—and I told him that was downright offensive. Anyway
top2025:THE CORRESPONDENT|Virginia Evans,q10301,"I dread it, but you know, I get to feeling sorry for myself, and then I think of you and remember it could be worse."
top2025:THE CORRESPONDENT|Virginia Evans,q10302,was quiet and watchful. I remember always finding it odd the way people had of speaking around and around a thing rather than directly to the thing
top2025:THE CORRESPONDENT|Virginia Evans,q10303,he was well liked because he only ever said the things people wanted to hear. He taught me that
top2025:THE CORRESPONDENT|Virginia Evans,q10304,Of course you are bored. The mind was not created for idleness. Golf
top2025:THE CORRESPONDENT|Virginia Evans,q10305,"If you do find anything, Harry, please refrain from sending me an e-mail with long strings of characters in blue I’m meant to click."
top2025:THE CORRESPONDENT|Virginia Evans,q10306,Did I ever tell you that when I was about nine years old my parents gave me a short letter that had been written by my birth mother when she handed me off?
top2025:THE CORRESPONDENT|Virginia Evans,q10307,"I despise the notion of Texas with every atom in my being, a hot, barren wasteland of tumbleweed and people carrying guns and wearing cowboy boots,"
top2025:THE CORRESPONDENT|Virginia Evans,q10308,"In any case, I wish I could say after all this time it's easier, but it's not easier"
top2025:THE CORRESPONDENT|Virginia Evans,q10309,"I remember when you said in an email that when you find a place for yourself in the world, it feels like music."
top2025:THE CORRESPONDENT|Virginia Evans,q10310,There is a quote from one of my friend Joan Didion’s essays. It’s from the last essay in The White Album. The quote is: “What I have made for myself is personal
top2025:THE CORRESPONDENT|Virginia Evans,q10311,"too. To say what people want to hear, not necessarily the truth, because most people tell you they want to hear the truth, but they do not, and if you tell the truth it will come back to bite you like a snake finding its own tail to swallow. I remember how he would say this to my brother and me and I didn’t like the way it sounded because my mother taught the opposite, that if we do not say the truth we have nothing. We are nothing."
top2025:THE CORRESPONDENT|Virginia Evans,q10312,I think neither of us was able to shepherd them in those first crucial months
top2025:THE CORRESPONDENT|Virginia Evans,q10313,run on the unrealistic hopes of gullible schmucks desperate for family.
top2025:THE CORRESPONDENT|Virginia Evans,q10314,will be what is left of you
top2025:THE CORRESPONDENT|Virginia Evans,q10315,Postscript: A good punch line is a good punch line regardless if delivered by a man or a woman. You sound like an old fool with comments like that one.
