sample_id,quote_id,quote_text
top2002:2318,q00131,The great thing about unrequited love is it's the only kind that lasts.
top2002:2318,q00132,"In death, we are not defined by what we did or who we were but by what we meant to others. How well we loved and were loved in return."
top2002:2318,q00133,People say that time is a great healer. Which people? What are they talking about? I think some feelings you experience in your life are written in indelible ink and the best you can hope for is that they fade a little over the years.
top2002:2318,q00134,A father is the template of a man Nature gives a girl
top2002:2318,q00135,"Children are the proof we've been here . . . they're where we go to when we die. They're the best thing and the most impossible thing, but there's nothing else . . . Life is a riddle and they are the answer. If there's any answer, it has to be them."
top2002:2318,q00136,"Oh, where is the Fairy Godmother of explanations when you need her?"
top2002:2318,q00137,"When you're young your mother shields you from the world because she thinks you're too young to understand, and when she's old you shield her because she's too old to understand - or to have any more understanding inflicted upon her. The curve of life goes: want to know, know, don't want to know."
top2002:2318,q00138,"Women used to have time to make mince pies and had to fake orgasms. Now we can manage the orgasms, but we have to fake the mince pies. And they call this progress."
top2002:2318,q00139,"The way I look at it, women in the City are like first-generationimmigrants. You get off the boat, you keep your eyes down, work ashard as you can and do your damnest to ignore the taunts of ignorantnatives who hate you because you look different and you smelldifferent and because one day you might take their job. And you hope. You know it's probably not going to get that much better in your ownlifetime, but just the fact that you occupy the space, the fact thatthey had to put a Tampax dispenser in the toilet - all that makes iteasier for the women who come after you.... The females who comeafter us will scarcely give us a second thought, but they will walk onour bones."
top2002:2318,q00140,One of the best things about having children is that it enables you to have the same loving memories as another person - you can summon the same past. Two flashbacks but with a single image.
top2002:2318,q00141,". . . to serve so selflessly, you have to subdue something in yourself."
top2002:2318,q00142,"‎""There is an easy standoff between the two kinds of mother which sometimes makes it hard for us to talk to each other. I suspect that the non-working mother looks at the working mother with envy and fear because she thinks that the working mum has got away with it. And the working mum looks back with fear and envy because she knows that she has not. In order to keep going in either role, you have to convince yourself that the alternative is bad. The working mother says, because I am more fulfilled as a person I can be a better mother to my children. And sometimes, she may even believe it. The mother who stays home knows that she is giving her kids an advantage, which is something to cling to when your toddler has emptied his beaker of juice over you last clean t-shirt."
top2002:2318,q00143,"My mother thinks some disaster has happened if I don't return a phone call from her within twenty-four hours. It's hard to explain that the only chance to return the call will be when a disaster ISN'T happening, stormy being the prevailing climate with surprise outbreaks of calm."
top2002:2318,q00144,"Unfortunately, the case for equal opportunities, long established inliberal Western society, cuts no ice in the fundamentalist regime ifthe five-year old. There is no God but Mummy, and Daddy is herprophet."
top2002:2318,q00145,"Being your slave, what should I do but tendUpon the hours and times of your desire?I have no precious time at all to spend,Nor services to do till you require.Nor dare I question with my jealous thoughtWhere you may be or your affairs suppose,But like a sad slave stay and think of noughtSave where you are, how happy you make those."
top2002:2318,q00146,Dying is totally out of the question.
top2002:2318,q00147,"There are some men who will always prefer to deal with another man, any man, rather than a woman ... I can see him struggling to place me: I'm not married to him, clearly I'm not his mother, I didn't go to school with his sister and I'm sure as hell not going to go to bed with him. So what, he must be asking himself as he chews on his pigeon, is this girl doing here? What is she for?"
top2002:2318,q00148,"...Emily hit the Terrible Twos and I bought a book called Toddler Taming. It was a revelation. The advice on how to deal with small angry immature people who have no idea of limits and were constantly testing their mother applied perfectly to my boss. Instead of treating him as a superior, I began handling him as though he were a tricky small boy. Whenever he was about to do something naughty, I would do my best to distract him; if I wanted him to do something, I always made it look like it was his idea."
top2002:2318,q00149,"Men without wives might as well be men without mothers; they are more orphans than widowers. Men without wives, they lose their spines, their ability to walk tall in the world, even to wipe the shaving foam from their ears. Men need women more than women need men; isn’t that the untold secret of the world?"
top2002:2318,q00150,Becoming a parent was like trying to build a boat while you were at sea.
top2002:2318,q00151,"Even the moon gets to put its feet up once a month. Man in the Moon, of course. If it was a Woman in the Moon, she’d never sit down. Well, would she? I"
