sample_id,quote_id,quote_text
top2008:164,q00454,I dream a dream that dreams back at me
top2008:164,q00455,"She learned the intricacy of loneliness: the horror of color, the roar of soundlessness and the menace of familiar objects lying still."
top2008:164,q00456,To be given dominion over another is a hard thing; to wrest dominion over another is a wrong thing; to give dominion of yourself to another is a wicked thing.
top2008:164,q00457,We never shape the world . . . the world shapes us.
top2008:164,q00458,Here I am not the one to throw out. No one steals my warmth and shoes because I am small. No one handles my backside. No one whinnies like sheep or goat because I drop in fear and weakness. No one screams at the sight of me. No one watches my body for how it is unseemly. With you my body is pleasure is safe is belonging. I can never not have you have me.
top2008:164,q00459,"There is no protection. To be female in this place is to be an open wound that cannot heal. Even if scars form, the festering is ever below."
top2008:164,q00460,"I am nothing to you. You say I am wilderness. I am. Is that a tremble on your mouth, in your eye? Are you afraid? You should be."
top2008:164,q00461,"More than fear of loving bears or birds bigger than cows, I fear pathless nights. How, I wonder, can I find you in the dark?"
top2008:164,q00462,"Their drift away from others produced a selfish privacy and they had lost the refuge and the consolation of a clan. Baptists, Presbyterians, tribe, army, family, some encircling outside thing was needed. Pride, she thought. Pride alone made them think that they needed only themselves, could shape life that way, like Adam and Eve, like gods from nowhere beholden to nothing except their own creations. She should have warned them, but her devotion cautioned against impertinence. As long as Sir was alive it was easy to veil the truth: that they were not a family-not even a like-minded group. They were orphans, each and all."
top2008:164,q00463,I welcomed the circling sharks but they avoided me as if knowing I preferred their teeth to the chains around my neck my waist my ankles
top2008:164,q00464,"But then Job was a man. Invisibility was intolerable to men. What complaint would a female Job dare to put forth? And if, having done so, and He deigned to remind her of how weak and ignorant she was, where was the news in that? What shocked Job into humility and renewed fidelity was the message a female Job would have known and heard every minute of her life."
top2008:164,q00465,"I said you. Take you, my daughter. Because I saw the tall man see you as a human child, not pieces of eight."
top2008:164,q00466,"He lay wracked with pain and in moral despair; they told him about themselves, and when he felt even worse, he got an answer from God saying, Who on earth do you think you are? Question me? Let me give you a hint of who I am and what I know. But a peek into Divine knowledge was less important than gaining, at last, the Lord's attention. Which...was all Job ever wanted. Not proof of His existence-- he never questioned that. Nor proof of His power- everyone accepted that. He simply wanted to catch His eye. To be recognized not as worthy or worthless, but to be noticed as a life-form by the One who made and unmade it."
top2008:164,q00467,"Don't be afraid. My telling can't hurt you in spite of what I have done and I promise to lie quietly in the dark - weeping perhaps or occasionally seeing the blood once more - but I will never again unfold my limbs to rise up and bare teeth. I explain. You can think what I tell you a confession, if you like, but one full of curiosities familiar only in dreams and during those moments when a dog's profile plays in the steam of a kettle. Or when a corn-husk doll sitting on a shelf is soon splaying in the corner of a room and the wicked of how it got there is plain. Stranger things happen all the time everywhere. You know. I know you know. One question is who is responsible? Another is can you read?"
top2008:164,q00468,You are my shaper and my world as well. It is done. No need to choose.
top2008:164,q00469,What a man leaves behind is what a man is.
top2008:164,q00470,"You are nothing but wilderness. No constraint. No mind.You shout the word—mind, mind, mind—over and over and then you laugh, saying as I live and breathe, a slave by choice."
top2008:164,q00471,I don't want to be free of you because I am alive only with you.
top2008:164,q00472,The freezing in hell that comes before the everlasting fire where sinners bubble and singe forever.
top2008:164,q00473,"He relished never knowing what lay in his path, who might approach with what intention."
top2008:164,q00474,She wants you here as much as I do. For her it is to save her life. For me it is to have one.
top2008:164,q00475,"They settled into the long learning of one another: preferences, habits altered, others acquired; disagreement without bile; trust and that wordless conversation that years of companionship rest on."
top2008:164,q00476,"He couldn't stay there surrounded by a passel of slaves whose silence made him imagine an avalanche seen from a great distance. No sound, just the knowledge of a roar he could not hear."
