sample_id,quote_id,quote_text
top2001:1369,q00005,"Had he, during the course of his ministry, changed a single life? He recalled the words of a woman overheard when he was leaving his last parish. 'Father Martin is a priest of whom no one ever speaks ill.' It seemed to him now the most damning of indictments."" (p. 243). Random House Publishing Group. Kindle Edition."
top2001:1369,q00006,Henry James’s definition of the purpose of a novel: “To help the human heart to know itself.
top2001:1369,q00007,"Death is like birth, painful, messy and undignified. Most of the time anyway."
top2001:1369,q00008,What it was he had chiefly gained: a fascination with the complexity of the intellectual bastions which men could construct to withstand the tides of disbelief. His own disbelief had remained unshaken.
top2001:1369,q00009,"If you stood apart long enough, weren’t you in danger of stifling, perhaps even losing, that quickening spirit which the priests here would call the soul?"
top2001:1369,q00010,Pascal. ‘Men never do evil so completely and cheerfully as when they do it from religious conviction.’
top2001:1369,q00011,"I can’t help feeling that there are things which it’s unwise to put down on paper. When secrets are unspoken and unwritten they are lodged safely in the mind, but writing them down seems to let them loose and give them the power to spread like pollen on the air and enter into other minds."
top2001:1369,q00012,"I suppose that for the police every relationship, even the most sacred, can be classified. You should hand out a marriage questionnaire, it would save everyone time. Tick the appropriate box: Very happy. Happy. Reasonably happy. A little unhappy. Unhappy. Very unhappy. Murderous."
top2001:1369,q00013,Maybe we’d do better if we tried to behave more like good animals and less like gods.
top2001:1369,q00014,"us. Is the sacristy door locked, Father?” “Yes. Yes it is. I locked it after me.” “Will you give me the keys, please.” Father Martin fumbled in the pocket of his cloak and handed over a bunch. It took a little time for his shaking fingers to find the right keys. Dalgliesh said again, “I won’t be long. I’ll lock the door behind me. Will you be all right until I come back?” Emma said, “I don’t think Father Martin ought to stay here long.” “He won’t have to.” It should, thought Dalgliesh, take only a matter of minutes to fetch Roger Yarwood. Whichever force took"
top2001:1369,q00015,"The apparent suicide, the certified natural death, the brutal murder - there was a cord which connected them. Its strength might be tenuous and its path convoluted, but when he had traced it, it would lead him to the heart of the mystery."
top2001:1369,q00016,Delightful and sensitive boys have a habit of growing into insensitive and far-from-agreeable men.
