sample_id,quote_id,quote_text
top1947:1978,q00109,"THE CITY WAS ASLEEP. New York, the nervous, keyed-up city, was almost at rest two hours past midnight. Watching the sleeping stone under the quiet sky, the mind might know that there were still people laughing in night clubs, trucks and taxis still speeding through streets and avenues, swift subways underground still thundering into lighted stations."
top1947:1978,q00110,"Slow and unarguable, the old desire for love, for a close-shared life, struck at him, not with Kathy, not with Anne, not with any one woman. It was concept only, urgency in the blood."
top1947:1978,q00111,"Either make the tree good, and his fruit good; or else make the tree corrupt, and his fruit corrupt: for the tree is known by his fruit.” There it was, uncompromising, noble— Jesus addressing the Pharisees. It was the everlasting choice for wholeness and soundness in a man or in a nation."
top1947:1978,q00112,"It’s just that I’ve come to see that lots of nice people who aren’t are their unknowing helpers and connivers. People who’d never beat up a Jew or yell kike at a child. They think antisemitism is something way off there, in a dark crackpot place with low-class morons. That’s the biggest thing I’ve discovered about the whole business."
top1947:1978,q00113,"He was a hoarder of books—he never could bring himself to throw any book away, so one or two of the ones he remembered owning ought to be somewhere in this conglomeration."
top1947:1978,q00114,"He who could write so easily, who could spend a thousand words down along his plunging fingers on the green-rubber keyboard of his machine, had stumbled like a first-grader over this single paragraph. A dozen times he had begun it and written into it a naked desperation; a dozen times he had begun it and written into it the frosted mathematics of logic. Finally he'd written out quickly the sentences that kept cropping up in all the versions. Those must be, to whatever censor there was in him, the most acceptable ones. He sealed it without rereading it and went out to mail it. An hour later he despised himself for having sent it."
top1947:1978,q00115,"There was something mysterious in the process of quarreling. You said one wrong thing and then tried to justify it and said a further thing. That in turn needed explaining or defense. All the time you helplessly knew that if you could only step off the treadmill of dissension and start anew--but something held you where you were with demoniac persistence. Then it was too late. Emotions came in; his face showed disapproval and surprise; anger spat in you that he should misread your motives. Or pride reared up and you'd be damned if you'd risk seeming abject and always at fault. The sense of crisis deepened, and your helplessness with it."
top1947:1978,q00116,"When the book comes, Dad, will the game stop?” “I’ve stopped it already. About three weeks ago.” He’d never thought to tell Tom. “Why did you? You get tired of it?” “No, it just ended.” “Are you ever going to play it again?” “Not really.” Detailed explanation was beyond him. “Maybe in a different sort of way, though.” “If you just skip a game for a while,” Tom said as if to comfort him, “and then play it again, it’s just as good as if it was brand-new.” “I guess that’s right with ordinary games.” “But not with this one?” “No. If everybody knows it’s a game, you can’t go on with it because then they know you’re just imagining it and they stop playing."
top1947:1978,q00117,"Kathy waited for the waves of heat to stop running through her. She turned to the left and picked up the oversize serving spoon and fork. She put food on her plate and knew she could not eat it. Illness was in her, and shame for all of them. They despised him and they kept quiet. They were well bred and polite, so they kept quiet. Just as she did. Not making fusses was also part of the gentleman’s agreement. To rise and leave the room was not in her knees and muscles; to call him to account was not in her vocal cords and larynx."
top1947:1978,q00118,"But, darling, if they’d been two Irish-Catholic girls, all you’d have thought would have been how vulgar all that make-up is in sport clothes.” She gulped. “You wouldn’t even have thought, Kathy, ‘All Irish-Catholics aren’t vulgar and overdressed.’ You wouldn’t have defended all the Irish any more than all the Hindus. Because you would have thought of them only as two girls."
