sample_id,stratum,title,author,year,isbn,gr_book_id,gr_work_id,gr_title,gr_author,gr_year,gr_ratings,resolve_method,resolve_confidence,resolve_notes,pages_fetched,quotes_raw,quotes_dedup,fetched_at
1990-1999:1939,1990-1999,FROM POTTER'S FIELD,Patricia Cornwell,1995,0684195984,6537,1455041,From Potter's Field,Patricia Cornwell,1995,65761,isbn,high,,1,7,7,2026-08-03T21:11:30
1990-1999:2746,1990-1999,LONDON,Edward Rutherfurd,1997,0517591812,12407442,3139753,London,Edward Rutherfurd,1997,34889,isbn,high,,1,18,18,2026-08-03T21:54:25
1990-1999:4830,1990-1999,THE CHRISTMAS BOX,Richard Paul Evans,1995,0684814994,161361,2493019,The Christmas Box,Richard Paul Evans,1993,33527,isbn,high,,1,6,6,2026-08-03T21:56:24
1990-1999:5778,1990-1999,THE MATARESE COUNTDOWN,Robert Ludlum,1997,0553106678,573202,3246881,The Matarese Countdown,Robert Ludlum,1997,6781,isbn,high,,1,3,3,2026-08-03T21:56:24
1990-1999:3553,1990-1999,POLGARA THE SORCERESS,David and Leigh Eddings,1997,,11204952,968051,Polgara the Sorceress: A Masterful Epic Fantasy of Humour and Wizardry,David Eddings,1997,31352,title_author,high,,1,7,7,2026-08-03T21:56:24
1990-1999:1390,1990-1999,DECIDER,Dick Francis,1993,0399138714,8532,11478,Decider,Dick Francis,1993,5819,isbn,high,,1,3,3,2026-08-03T21:56:24
1990-1999:78,1990-1999,A CUP OF CHRISTMAS TEA,Tom Hegg,1993,,1989394,1993011,A Cup of Christmas Tea,Tom Hegg,1982,885,title_author,medium,year_off(1982vs1993),0,0,0,2026-08-03T21:56:24
2000-2009:4833,2000-2009,THE CHRISTMAS LIST,Richard Paul Evans,2009,9781439150009,6517407,6709262,The Christmas List,Richard Paul Evans,2009,15337,isbn,high,,1,4,4,2026-08-03T21:56:24
2000-2009:434,2000-2009,AN INCOMPLETE REVENGE,Jacqueline Winspear,2008,9780805082159,1468706,2476793,An Incomplete Revenge,Jacqueline Winspear,2008,31626,isbn,high,,1,10,10,2026-08-03T21:56:24
2000-2009:1091,2000-2009,CODE TO ZERO,Ken Follett,2000,0525945636,5052,2879976,Code to Zero,Ken Follett,2000,29643,isbn,high,,1,11,11,2026-08-03T21:56:24
2000-2009:2823,2000-2009,LOVER AVENGED,J. R. Ward,2009,9780451225856,5098079,5164827,Lover Avenged,J.R. Ward,2009,121384,isbn,high,,3,72,72,2026-08-03T21:56:24
2000-2009:1533,2000-2009,DRAGONS OF A LOST STAR,Margaret Weis and Tracy Hickman,2001,,,,,,,0,failed,review,no_candidate,0,0,0,2026-08-03T21:56:24
2010-2015:2128,2010-2015,HAZARDOUS DUTY,W.E.B. Griffin and William E. Butterworth IV,2014,,,,,,,0,failed,review,no_candidate,0,0,0,2026-08-03T21:56:24
2010-2015:959,2010-2015,CAT OF THE CENTURY,Rita Mae Brown and Sneaky Pie Brown,2010,,136098222,6903054,Cat of the Century by Rita Mae Brown & Sneaky Pie Brown Unabridged MP3 CD Audiobook,Rita Mae Brown,2010,2349,title_author,high,,1,2,2,2026-08-03T21:56:24
2010-2015:6272,2010-2015,THE SHADOW PATROL,Alex Berenson,2012,9780399158292,11890812,16849814,The Shadow Patrol,Alex Berenson,2012,7151,isbn,high,,1,2,2,2026-08-03T21:56:24
2010-2015:773,2010-2015,BLUE HORSES,Mary Oliver,2014,,20821239,40167110,Blue Horses,Mary Oliver,2014,12903,title_author,high,,2,38,38,2026-08-03T21:56:24
2010-2015:1891,2010-2015,FOREIGN AFFAIRS,Stuart Woods,2015,9780399174674,24611462,44222635,Foreign Affairs,Stuart Woods,2015,6661,isbn,high,,1,2,2,2026-08-03T21:56:24
2016:3745,2016,REDEMPTION ROAD,John Hart,2016,9780312380366,26883206,45785424,Redemption Road,John Hart,2016,23196,isbn,high,,1,20,20,2026-08-03T21:56:24
2016:441,2016,AN OBVIOUS FACT,Craig Johnson,2016,9780525426943,27774703,47750787,An Obvious Fact,Craig Johnson,2016,14984,isbn,high,,1,19,19,2026-08-03T21:56:24
2016:6728,2016,THE WOMAN IN CABIN 10,Ruth Ware,2016,,234979532,48209164,The Woman in Cabin 10,Ruth Ware,2016,811217,title_author,high,,2,48,48,2026-08-03T21:56:24
2016:637,2016,BEFORE THE FALL,Noah Hawley,2016,9781455561780,40670008,42901355,Before the Fall,Noah Hawley,2016,134862,isbn,high,,2,45,45,2026-08-03T21:56:24
2016:4653,2016,THE BLACK WIDOW,Daniel Silva,2016,9780062320230,27213121,47255119,The Black Widow,Daniel Silva,2016,38702,isbn,high,,1,23,23,2026-08-03T21:56:24
2017:6139,2017,THE RIGHT TIME,Danielle Steel,2017,9781101883945,33613129,54036943,The Right Time,Danielle Steel,2017,13815,isbn,high,,1,11,11,2026-08-03T21:56:24
2017:5434,2017,THE HOUSE OF UNEXPECTED SISTERS,Alexander McCall Smith,2017,9781101871379,34371605,55453972,The House of Unexpected Sisters,Alexander McCall Smith,2017,12744,isbn,high,,2,37,37,2026-08-03T21:56:24
2017:2016,2017,GOLDEN PREY,John Sandford,2017,9780399184574,31379212,52068093,Golden Prey,John Sandford,2017,26878,isbn,high,,1,8,8,2026-08-03T21:56:24
2017:2588,2017,KISS CARLO,Adriana Trigiani,2017,9780062319227,30531819,51057154,Kiss Carlo,Adriana Trigiani,2017,8448,isbn,high,,1,8,8,2026-08-03T21:56:24
2017:3852,2017,ROGUE ONE: A STAR WARS STORY,Alexander Freed,2017,9780399178450,30008713,50417096,Rogue One: A Star Wars Story,Alexander Freed,2016,10168,isbn,high,,1,26,26,2026-08-03T21:56:24
2018:7239,2018,WHERE THE CRAWDADS SING,Delia Owens,2018,,245286238,58589364,Where the Crawdads Sing,Delia Owens,2018,3765650,title_author,high,,1,25,25,2026-08-03T21:56:24
2018:5770,2018,THE MARS ROOM,Rachel Kushner,2018,9781476756554,36373648,57520253,The Mars Room,Rachel Kushner,2018,49361,isbn,high,,2,42,42,2026-08-03T21:56:24
2018:6729,2018,THE WOMAN IN THE WINDOW,A.J. Finn,2018,,40389527,52941950,The Woman in the Window,A.J. Finn,2018,910386,title_author,high,,2,53,53,2026-08-03T21:56:24
2018:4430,2018,TAILSPIN,Sandra Brown,2018,9781455572168,37277042,58988217,Tailspin,Sandra Brown,2018,22611,isbn,high,,1,5,5,2026-08-03T21:56:24
2018:6867,2018,TIME'S CONVERT,Deborah Harkness,2018,,45162277,60022893,Time's Convert,Deborah Harkness,2018,78099,title_author,high,,2,30,30,2026-08-03T21:56:24
2019:2560,2019,KILLER INSTINCT,James Patterson and Howard Roughan,2019,,,,,,,0,failed,review,no_candidate,0,0,0,2026-08-03T21:56:24
2019:3883,2019,RUN AWAY,Harlan Coben,2019,9781538748466,44781614,58800691,Run Away,Harlan Coben,2019,84412,isbn,high,,1,23,23,2026-08-03T21:56:24
2019:4888,2019,THE CORNWALLS ARE GONE,James Patterson and Brendan DuBois,2019,,,,,,,0,failed,review,no_candidate,0,0,0,2026-08-03T21:56:24
2019:7311,2019,WINDOW ON THE BAY,Debbie Macomber,2019,,42583938,66273965,Window on the Bay,Debbie Macomber,2019,14873,title_author,high,,1,2,2,2026-08-03T21:56:24
2019:3183,2019,NEON PREY,John Sandford,2019,9780525536581,40982957,63872958,Neon Prey,John Sandford,2019,25294,isbn,high,,1,8,8,2026-08-03T21:56:24
2020:6892,2020,TO SLEEP IN A SEA OF STARS,Christopher Paolini,2020,,48829708,63664903,To Sleep in a Sea of Stars,Christopher Paolini,2020,73159,title_author,high,,1,24,24,2026-08-03T21:56:24
2020:5622,2020,THE LAST TRIAL,Scott Turow,2020,9781538748138,51897368,73298673,The Last Trial,Scott Turow,2020,12825,isbn,high,,1,19,19,2026-08-03T21:56:24
2020:2226,2020,HOME BEFORE DARK,Riley Sager,2020,9781524745172,50833559,73695354,Home Before Dark,Riley Sager,2020,338715,isbn,high,,1,21,21,2026-08-03T21:56:24
2020:5080,2020,THE EXILES,Christina Baker Kline,2020,9780062356345,49397137,73236056,The Exiles,Christina Baker Kline,2020,67360,isbn,high,,1,20,20,2026-08-03T21:56:24
2020:89,2020,A DEADLY EDUCATION,Naomi Novik,2020,,50548197,75543174,A Deadly Education,Naomi Novik,2020,230710,title_author,high,,3,60,60,2026-08-03T21:56:24
