sample_id,stratum,title,author,year,isbn,gr_book_id,gr_work_id,gr_title,gr_author,gr_year,gr_ratings,resolve_method,resolve_confidence,resolve_notes,pages_fetched,quotes_raw,quotes_dedup,fetched_at
top1931:5304,top1931,THE GOOD EARTH,Pearl S. Buck,1931,9780743272933,1078,2346070,The Good Earth,Pearl S. Buck,1931,264297,isbn,high,,1,29,27,2026-08-13T21:33:57
top1931:2878,top1931,MAID IN WAITING,John Galsworthy,1931,,1729347,1726812,Maid in Waiting,John Galsworthy,1931,486,title_author,high,,1,6,6,2026-08-13T21:33:57
top1931:7209,top1931,WESTWARD PASSAGE,Margaret Ayer Barnes,1931,,46228253,71206171,Westward Passage,Margaret Ayer Barnes,1931,2,title_author,medium,low_ratings,0,0,0,2026-08-13T21:33:57
top1932:5193,top1932,THE FOUNTAIN,Charles Morgan,1932,,36127,36036,The Fountain,Charles Morgan,1932,57,title_author,high,,1,1,1,2026-08-13T21:33:57
top1932:2916,top1932,MARY'S NECK,Booth Tarkington,1932,,13550632,19117544,Mary's Neck,Booth Tarkington,1932,24,title_author,high,,0,0,0,2026-08-13T21:33:57
top1932:1865,top1932,FLOWERING WILDERNESS,John Galsworthy,1932,,1380929,1726810,Flowering Wilderness,John Galsworthy,1932,439,title_author,high,,1,7,7,2026-08-13T21:33:57
top1933:481,top1933,ANTHONY ADVERSE,Hervey Allen,1933,,1755883,1753744,Anthony Adverse,Hervey Allen,1933,221,title_author,high,,0,0,0,2026-08-13T21:33:57
top1933:472,top1933,ANN VICKERS,Sinclair Lewis,1933,,703003,689295,Ann Vickers,Sinclair Lewis,1994,182,title_author,medium,year_off(1994vs1933),0,0,0,2026-08-13T21:33:57
top1933:518,top1933,AS THE EARTH TURNS,Gladys Hasty Carroll,1933,,1059921,1046505,As the Earth Turns,Gladys Hasty Carroll,1933,77,title_author,high,,1,1,1,2026-08-13T21:33:57
top1934:2031,top1934,"GOOD-BYE, MR. CHIPS",James Hilton,1934,0316364207,413617,2147442,"Good-Bye, Mr. Chips",James Hilton,1934,15651,isbn,high,,2,39,29,2026-08-13T21:33:57
top1934:4182,top1934,SO RED THE ROSE,Stark Young,1934,,123752196,145132841,SO RED THE ROSE,Stark Young,1969,0,title_author,medium,year_off(1969vs1934);low_ratings,0,0,0,2026-08-13T21:33:57
top1934:2626,top1934,LAMB IN HIS BOSOM,Caroline Miller,1934,,267478,259320,Lamb in His Bosom,Caroline Miller,1933,1896,title_author,high,,1,3,3,2026-08-13T21:33:57
top1935:2055,top1935,GREEN LIGHT,Lloyd C. Douglas,1935,,759187,745296,Green Light,Lloyd C. Douglas,1934,214,title_author,high,,0,0,0,2026-08-13T21:33:57
top1935:2467,top1935,IT CAN'T HAPPEN HERE,Sinclair Lewis,1935,,40692733,1296784,It Can't Happen Here by Sinclair Lewis: Dystopia's Wake: Unveiling the Shadows of Tomorrow in It Can't Happen Here,Sinclair Lewis,1935,26269,title_author,high,,4,120,86,2026-08-13T21:33:57
top1935:3338,top1935,OF TIME AND THE RIVER,Thomas Wolfe,1935,0684147394,12451,14752,Of Time and the River: A Legend of Man's Hunger in his Youth,Thomas Wolfe,1935,1350,isbn,high,,1,15,14,2026-08-13T21:33:57
top1936:2026,top1936,GONE WITH THE WIND,Margaret Mitchell,1936,9781416548898,34689759,3358283,Gone with the Wind,Margaret Mitchell,1936,1269749,isbn,high,,1,29,26,2026-08-13T21:33:57
top1936:1558,top1936,DRUMS ALONG THE MOHAWK,Walter D. Edmonds,1936,,167069,161335,Drums Along the Mohawk,Walter D. Edmonds,1936,1661,title_author,high,,0,0,0,2026-08-13T21:33:57
top1936:5608,top1936,THE LAST PURITAN,George Santayana,1936,0684131323,403281,2124658,The Last Puritan: A Memoir in the Form of a Novel,George Santayana,1936,114,isbn,high,,1,1,1,2026-08-13T21:33:57
top1937:4844,top1937,THE CITADEL,A. J. Cronin,1937,9780316161831,634747,621034,The Citadel,A.J. Cronin,1937,11223,isbn,high,,1,6,3,2026-08-13T21:33:57
top1937:3291,top1937,NORTHWEST PASSAGE,Kenneth Roberts,1937,,103171,2484967,Northwest Passage,Kenneth Roberts,1937,3240,title_author,high,,1,2,2,2026-08-13T21:33:57
top1937:6097,top1937,THE RAINS CAME,Louis Bromfield,1937,9997405099,396988,386462,The Rains Came,Louis Bromfield,1937,925,isbn,high,,1,1,1,2026-08-13T21:33:57
top1938:6760,top1938,THE YEARLING,Marjorie Kinnan Rawlings,1938,,170973550,583534,The Yearling - Marjorie Kinnan Rawlings - The Franklin Library - Thomas Allen Illustrations,Marjorie Kinnan Rawlings,1938,31067,title_author,high,,2,35,32,2026-08-13T21:33:57
top1938:389,top1938,ALL THIS AND HEAVEN TOO,Rachel Field,1938,,1397878,2710160,"All This, and Heaven Too",Rachel Field,1929,506,title_author,medium,year_off(1929vs1938),1,9,9,2026-08-13T21:33:57
top1938:3727,top1938,REBECCA,Daphne Du Maurier,1938,0380778556,636993,267287709,Rebecca,Daphne du Maurier,1938,8893,isbn,high,,1,1,1,2026-08-13T21:33:57
top1939:5317,top1939,THE GRAPES OF WRATH,John Steinbeck,1939,0670347914,18114322,2931549,The Grapes of Wrath,John Steinbeck,1939,1022712,isbn,high,,4,120,92,2026-08-13T21:33:57
top1939:2600,top1939,KITTY FOYLE,Christopher Morley,1939,,2235096,2240933,Kitty Foyle,Christopher Morley,1939,223,title_author,high,,1,3,3,2026-08-13T21:33:57
top1939:5861,top1939,THE NAZARENE,Sholem Asch,1939,,165907465,1183864,THE NAZARENE. Signed by Sholem Asch.,Sholem Asch,1939,238,title_author,high,,1,3,3,2026-08-13T21:33:57
top1940:2286,top1940,HOW GREEN WAS MY VALLEY,Richard Llewellyn,1940,,40496,2329482,How Green Was My Valley,Richard Llewellyn,1939,19347,title_author,high,,1,29,29,2026-08-13T21:33:57
