sample_id,stratum,title,author,year,isbn,gr_book_id,gr_work_id,gr_title,gr_author,gr_year,gr_ratings,resolve_method,resolve_confidence,resolve_notes,pages_fetched,quotes_raw,quotes_dedup,fetched_at
top1996:5903,top1996,THE NOTEBOOK,Nicholas Sparks,1996,0446520802,33648131,1498135,The Notebook,Nicholas Sparks,1996,1869082,isbn,high,,3,89,70,2026-08-11T12:36:51
top1996:1735,top1996,FALLING UP,Shel Silverstein,1996,0060248025,30120,2501867,Falling Up,Shel Silverstein,1996,157951,isbn,high,,1,5,5,2026-08-11T12:37:03
top1996:4957,top1996,THE DEEP END OF THE OCEAN,Jacquelyn Mitchard,1996,0670865796,5161,1207024,The Deep End of the Ocean,Jacquelyn Mitchard,1996,122180,isbn,high,,1,3,3,2026-08-11T12:39:21
top1996:3608,top1996,PRIMARY COLORS,Anonymous,1996,,261444,753125,Primary Colors,Anonymous,1996,6249,title_author,high,,1,4,4,2026-08-11T12:39:21
top1996:1689,top1996,EXECUTIVE ORDERS,Tom Clancy,1996,0399142185,19675,5054711,Executive Orders,Tom Clancy,1996,54453,isbn,high,,2,49,47,2026-08-11T12:42:45
top1997:2952,top1997,MEMOIRS OF A GEISHA,Arthur Golden,1997,0375400117,929,1558965,Memoirs of a Geisha,Arthur Golden,1997,2140136,isbn,high,,4,120,97,2026-08-11T12:57:33
top1997:1098,top1997,COLD MOUNTAIN,Charles Frazier,1997,0871136791,10920,1006369,Cold Mountain,Charles Frazier,1997,252239,isbn,high,,1,29,23,2026-08-11T12:58:20
top1997:5276,top1997,THE GOD OF SMALL THINGS,Arundhati Roy,1997,0679457313,9777,810135,The God of Small Things,Arundhati Roy,1997,339268,isbn,high,,3,88,75,2026-08-11T13:00:40
top1997:5976,top1997,THE PARTNER,John Grisham,1997,0385472951,931362,220641547,The Partner/All God's Children/Medusa's Child/Only Son,John Grisham,1997,1033,isbn,high,,0,0,0,2026-08-11T13:01:29
top1997:3542,top1997,PLUM ISLAND,Nelson DeMille,1997,044651506X,33810,2309,Plum Island,Nelson DeMille,1997,60845,isbn,high,,2,57,50,2026-08-11T13:03:03
