quote_id,sample_id,gr_work_id,page,idx,source_url,quote_text,bucket,tense,note
q00001,top1997:6930,3181762,1,0,https://www.goodreads.com/work/quotes/3181762,"Give an economist a result you want, and he’ll find the numbers to justify it.",,,
q00002,top1997:6930,3181762,1,1,https://www.goodreads.com/work/quotes/3181762,"Right. It’s not true, not one bit of it, but people will tell you it is, fervently believe that it is, simply because they’ve read about it or heard it, especially if they’ve heard it from more than one person.",,,
q00003,top1997:6930,3181762,1,2,https://www.goodreads.com/work/quotes/3181762,she hungrily plunged into the oatmeal,,,
q00004,top1997:6930,3181762,1,3,https://www.goodreads.com/work/quotes/3181762,"there’s anything I’ve learned being a lawyer, it’s how to use a lot of words and never really say anything.",,,
q00005,top1997:6930,3181762,1,6,https://www.goodreads.com/work/quotes/3181762,It’s hard to argue with the success you two have had … Right. The great measuring stick of money,,,
q00006,top1997:6930,3181762,1,8,https://www.goodreads.com/work/quotes/3181762,But human beings committed atrocities every minute of every day; the only living things who killed with malice.,,,
q00007,top1997:6930,3181762,1,9,https://www.goodreads.com/work/quotes/3181762,"to a small room. Set up as a home office with computer, filing cabinets, wood desk and two small bookcases, the space was cramped but tidy. One small window looked out onto the darkness. Jason closed the door to his office, took a key from his desk drawer and unlocked the top drawer of the filing cabinet. He stopped and listened for any sound. This had become habitual even in the confines of his own house. That revelation was suddenly profoundly disturbing to him. His wife had gone back to sleep. Amy was sleeping soundly two doors down. He reached in the drawer and carefully pulled out a large old-fashioned leather briefcase with double straps, brass buckles and a worn, glossy finish. Jason opened the briefcase and pulled out a blank floppy disk. The instructions he had been given were precise. Put everything he had on one floppy disk, make one hard copy of the documents and then destroy everything else.",,,
q00008,top1997:6930,3181762,1,11,https://www.goodreads.com/work/quotes/3181762,"face as the old man tensed again while the plane bumped along. “George, it’s all right. Just a little turbulence.” He took a deep breath and finally eyed her squarely. “I’m on a couple of boards of companies headquartered in New York. Have to go up twice a year.” Sidney glanced back at her documents, suddenly remembering something. She frowned. There was a mistake on the fourth page. That would need to be corrected when she got into",,,
q00009,top1997:6930,3181762,1,12,https://www.goodreads.com/work/quotes/3181762,"sofa. She looked around, her eyes taking in a wall of French doors that was visible on the ocean side. The room was huge, with ceilings that soared at least twenty feet high. An interior second-story balcony ran across one side of the room. Another wall held a collection of finely bound books. Comfortable furnishings were placed throughout.",,,
q00010,top1997:6930,3181762,1,15,https://www.goodreads.com/work/quotes/3181762,"When the Fed raises or lowers interest rates, for instance, then that affects the entire economy. Contracts or expands it.",,,
