quote_id,sample_id,gr_work_id,page,idx,source_url,quote_text,bucket,tense,note
q00001,top1997:2256,1434181,1,0,https://www.goodreads.com/work/quotes/1434181,"...you know what quotes like that are called in the real world? they're called bullshit. they're called perjury, hearsay, impeaching a witness, slander, dis-fucking-respect.",,,
q00002,top1997:1110,1167241,1,0,https://www.goodreads.com/work/quotes/1167241,"Buffalo Hump knew his son was brave, but that was not enough. If a warrior lacked wisdom, courage alone would not keep him alive for long.",,,
q00003,top1997:1110,1167241,1,1,https://www.goodreads.com/work/quotes/1167241,"See this page of paper? It’s blank,” Scull said. “That, sir, is the most frightening battlefield in the world: the blank page. I mean to fill this paper with decent sentences, sir—this page and hundreds like it. Let me tell you, Colonel, it’s harder than fighting Lee. Why, it’s harder than fighting Napoleon. It requires unremitting attention,",,,
q00004,top1997:1110,1167241,1,2,https://www.goodreads.com/work/quotes/1167241,"The thing that Buffalo Hump was most grateful for, as he rode into the emptiness, was the knowledge that in the years of his youth and manhood he had drawn the lifeblood of so many enemies. He had been a great killer; it was his way and the way of his people; no one in his tribe had killed so often and so well. The killings were good to remember, as he rode his old horse deeper into the llano, away from all the places where people came.",,,
q00005,top1997:1110,1167241,1,3,https://www.goodreads.com/work/quotes/1167241,"I suppose she's just dying of living--that's the one infection that strikes us all down, sooner or later.",,,
q00006,top1997:1110,1167241,1,4,https://www.goodreads.com/work/quotes/1167241,"Blue Duck could never avoid a moment of fear, when his father's eyes became the eyes of a snake. He choked off his insult -- he knew that if he spoke, he might, in an instant, find himself fighting Buffalo Hump. He had seen it before, with other warriors. Someone would say one word too many, would fail to see the snake in his father's eyes, and the next moment Buffalo Hump would be pulling his long bloody knife from between the other warrior's ribs. Blue Duck waited. He knew that it was not a day to fight his father.",,,
q00007,top1997:1110,1167241,1,5,https://www.goodreads.com/work/quotes/1167241,"The buffalo will return,"" Kicking Wolf said. ""They have only gone to the north for a while. The buffalo have always returned."" ""You are a fool,"" Buffalo Hump said. ""The buffalo won't return, because they are dead. The whites have killed them. When you go north you will only find their bones."" ""The whites have killed many, but not all,"" Kicking Wolf insisted. ""They have only gone to the Missouri River to live. When beaten the whites back we have they will return."" But, as he was speaking, Kicking Wolf suddenly lost heart. He realized that Buffalo Hump was right, and that the words he had just spoken were the words of a fool. The Comanches were not beating the whites, and they were not going to beat them. Only their own band and three or four others were still free Comanches. The bands that were free were the bands that could survive on the least, those who would eat small animals and dig roots from the earth. Already the bluecoat soldiers had come back to Texas and begun to fill up the old forts, places they had abandoned while they fought one another. Even if all the free tribes banded together there would not be enough warriors to defeat the bluecoat soldiers. With the buffalo gone so far north, the white soldiers had only to drive them farther and farther into the llano, until they starved or gave up. ""The whites are not foolish,"" Buffalo Hump said. ""They know that it is easier to kill a buffalo than it is to kill one of us. They know that if they kill all the buffalo we will starve – then they won't have to fight us. Those who don't want to starve will have to go where the whites want to put them.""The two men sat in silence for a while. Some young men were racing their horses a little farther down the canyon. Kicking Wolf usually took a keen interest in such contests. He wanted to know which horses were fastest. But today he didn't care. He felt too sad. ""The medicine men are deceiving the young warriors when they tell them the buffalo will return,"" Buffalo Hump said. ""If any buffalo come back they will only be ghost buffalo. Their ghosts might return because they remember these lands. But that will not help us. We cannot eat their ghosts.",,,
q00008,top1997:1110,1167241,1,6,https://www.goodreads.com/work/quotes/1167241,"When Famous Shoes finished his song he noticed that the young white man was asleep. During the day he had not trusted enough, and had worn himself out with pointless scurryings. Perhaps even then the song he had just sung was working in the young man’s dreams; perhaps as he grew older he would learn to trust mysteries and not fear them. Many white men could not trust things unless they could be explained; and yet the most beautiful things, such as the trackless flight of birds, could never be explained.",,,
q00009,top1997:1110,1167241,1,7,https://www.goodreads.com/work/quotes/1167241,Is Lonesome Dove a place?” Call asked. “I confess I’m not familiar with it.,,,
q00010,top1997:1110,1167241,1,8,https://www.goodreads.com/work/quotes/1167241,"A knife, some tobacco, my firearms, matches - a man ought to be able to walk from Cape Cod to California with no more than that. And if he can't he deserves to die where he drops, I say"" - Captain Scull",,,
q00011,top1997:1110,1167241,1,9,https://www.goodreads.com/work/quotes/1167241,"There’s no remedy for bad luck, is there?” he said, addressing the question to no one in particular. “If Watson hadn’t raised his arm just when he did, the worst he would have gotten out of this episode would have been a broken arm. But he lifted his gun and the bullet had a clear path to his vitals. I’ll miss the man. He was someone to talk wives with.” “What, sir?” Augustus asked. The remark startled him. “Wives, Mr. McCrae,” Inish Scull said. “You’re a bachelor. I doubt you can appreciate the fascination of the subject—but James Watson appreciated it. He was on his third wife when he had the misfortune to catch his dying. He and I could talk wives for hours.” “Well, but what happened to his wives?” Long Bill inquired. “I’m a married man. I’d like to know.” “One died, one survives him, and the one in the middle ran off with an acrobat,” the Captain said. “That’s about average for wives, I expect. You’ll find that out soon enough, Mr. McCrae, if you take it into your head to marry.",,,
q00012,top1997:1110,1167241,1,10,https://www.goodreads.com/work/quotes/1167241,"Twice he had been hit by arrows and once shot in the flank by Ahumado, a felonious foe more hated by Captain Scull than either Kicking Wolf or Buffalo Hump. Ahumado, known as the Black Vaquero, was a master of ambush; he had shot down at the Captain from a tiny pocket of a cave, in a sheer cliff in Mexico.",,,
