quote_id,sample_id,gr_work_id,page,idx,source_url,quote_text,bucket,tense,note
q00001,top1996:5903,1498135,1,0,https://www.goodreads.com/work/quotes/1498135,"I am nothing special, of this I am sure. I am a common man with common thoughts and I've led a common life. There are no monuments dedicated to me and my name will soon be forgotten, but I've loved another with all my heart and soul, and to me, this has always been enough..",,,
q00002,top1996:5903,1498135,1,1,https://www.goodreads.com/work/quotes/1498135,"So it's not gonna be easy. It's going to be really hard; we're gonna have to work at this everyday, but I want to do that because I want you. I want all of you, forever, everyday. You and me... everyday.",,,
q00003,top1996:5903,1498135,1,2,https://www.goodreads.com/work/quotes/1498135,"You can't live your life for other people. You've got to do what's right for you, even if it hurts some people you love.",,,
q00004,top1996:5903,1498135,1,3,https://www.goodreads.com/work/quotes/1498135,"You are my best friend as well as my lover, and I do not know which side of you I enjoy the most. I treasure each side, just as I have treasured our life together.",,,
q00005,top1996:5903,1498135,1,4,https://www.goodreads.com/work/quotes/1498135,"You are, and always have been, my dream.",,,
q00006,top1996:5903,1498135,1,5,https://www.goodreads.com/work/quotes/1498135,"I love you. I am who I am because of you. You are every reason, every hope, and every dream I've ever had, and no matter what happens to us in the future, everyday we are together is the greatest day of my life. I will always be yours.",,,
q00007,top1996:5903,1498135,1,6,https://www.goodreads.com/work/quotes/1498135,"We fell in love, despite our differences, and once we did, something rare and beautiful was created. For me, love like that has only happened once, and that's why every minute we spent together has been seared in my memory. I'll never forget a single moment of it.",,,
q00008,top1996:5903,1498135,1,7,https://www.goodreads.com/work/quotes/1498135,"They didn’t agree on much. In fact, they didn’t agree on anything. They fought all the time and challenged each other ever day. But despite their differences, they had one important thing in common. They were crazy about each other.",,,
q00009,top1996:5903,1498135,1,8,https://www.goodreads.com/work/quotes/1498135,"My daddy said, that the first time you fall in love, it changes you forever and no matter how hard you try, that feeling just never goes away.",,,
q00010,top1996:5903,1498135,1,9,https://www.goodreads.com/work/quotes/1498135,"You are the answer to every prayer I've offered. You are a song, a dream, a whisper, and I don't know how I could have lived without you for as long as I have.",,,
q00011,top1996:5903,1498135,1,10,https://www.goodreads.com/work/quotes/1498135,Every great love starts with a great story...,,,
q00012,top1996:5903,1498135,1,11,https://www.goodreads.com/work/quotes/1498135,"In time, the hurt began to fade and it was easier to just let it go. At least I thought it was. But in every boy I met in the next few years, I found myself looking for you, and when the feelings got too strong, I'd write you another letter. But I never sent them for fear of what I might find. By then, you'd gone on with your life and I didn't want to think about you loving someone else. I wanted to remember us like we were that summer. I didn't ever want to lose that.",,,
q00013,top1996:5903,1498135,1,12,https://www.goodreads.com/work/quotes/1498135,"The reason it hurts so much to separate is because our souls are connected. Maybe they always have been and will be. Maybe we've lived a thousand lives before this one and in each of them we've found each other. And maybe each time, we've been forced apart for the same reasons. That means that this goodbye is both a goodbye for the past ten thousand years and a prelude to what will come.",,,
q00014,top1996:5903,1498135,1,13,https://www.goodreads.com/work/quotes/1498135,"We sit silently and watch the world around us. This has taken a lifetime to learn. It seems only the old are able to sit next to one another and not say anything and still feel content. The young, brash and impatient, must always break the silence. It is a waste, for silence is pure. Silence is holy. It draws people together because only those who are comfortable with each other can sit without speaking. This is the great paradox.",,,
q00015,top1996:5903,1498135,1,14,https://www.goodreads.com/work/quotes/1498135,In times of grief and sorrow I will hold you and rock you and take your grief and make it my own. When you cry I cry and when you hurt I hurt. And together we will try to hold back the floods to tears and despair and make it through the potholed street of life,,,
q00016,top1996:5903,1498135,1,15,https://www.goodreads.com/work/quotes/1498135,"She was my dream. She made me who I am, and holding her in my arms was more natural to me than my own heartbeat. I think about her all the time. Even now, when I'm sitting here, I think about her. There could never have been another.",,,
q00017,top1996:5903,1498135,1,16,https://www.goodreads.com/work/quotes/1498135,"She wanted something else, something different, something more. Passion and romance, perhaps, or maybe quiet conversations in candlelit rooms, or perhaps something as simple as not being second.",,,
q00018,top1996:5903,1498135,1,17,https://www.goodreads.com/work/quotes/1498135,If you're a bird... I'm a bird...,,,
q00019,top1996:5903,1498135,1,18,https://www.goodreads.com/work/quotes/1498135,"Noah: ""You wanna dance with me?""Allie: ""Sure. Now?""Noah: ""Mmm Hmm""Allie: ""You're not supposed to dance in the street.""Noah: ""You are supposed to dance in the street.""Allie: ""Yeah, but we don't have any music.""Noah: ""Well, we'll make some... Bum bum bum bum bum bum...""Allie: ""You're a terrible singer.""Noah: ""I know.""Allie: ""And I like this song.",,,
q00020,top1996:5903,1498135,1,19,https://www.goodreads.com/work/quotes/1498135,The scariest thing about distance is that you don’t know whether they’ll miss you or forget you.,,,
q00021,top1996:5903,1498135,1,21,https://www.goodreads.com/work/quotes/1498135,"My Dearest Allie. I couldn't sleep last night because I know that it's over between us. I'm not bitter anymore, because I know that what we had was real. And if in some distant place in the future we see each other in our new lives, I'll smile at you with joy and remember how we spent the summer beneath the trees, learning from each other and growing in love. The best love is the kind that awakens the soul and makes us reach for more, that plants a fire in our hearts and brings peace to our minds, and that's what you've given me. That's what I hope to give to you forever. I love you. I'll be seeing you. Noah",,,
q00022,top1996:5903,1498135,1,22,https://www.goodreads.com/work/quotes/1498135,Dusk is just an illusion because the sun is either above the horizon or below it. And that means that day and night are linked in a way that few things are there cannot be one without the other yet they cannot exist at the same time. How would it feel I remember wondering to be always together yet forever apart?,,,
q00023,top1996:5903,1498135,1,23,https://www.goodreads.com/work/quotes/1498135,"A living poem"" had always been the words that came to mind when he tried to describe her to others.",,,
q00024,top1996:5903,1498135,1,24,https://www.goodreads.com/work/quotes/1498135,"Poetry, she thought, wasn't written to be analyzed; it was meant to inspire without reason, to touch without understanding.",,,
q00025,top1996:5903,1498135,1,25,https://www.goodreads.com/work/quotes/1498135,"An ordinary beginning, something that would have been forgotten had it been anyone but her. But as he shook her hand and met those striking emerald eyes, he knew before he'd taken his next breath that she was the one he could spend the rest of his life looking for but never find again. She seemed that good, that perfect, while a summer wind blew through the trees.",,,
q00026,top1996:5903,1498135,1,26,https://www.goodreads.com/work/quotes/1498135,"She would tell him what she wanted in her life--her hopes and dreams for the future--and he would listen intently and then promise to make it all come true. And the way he said it made her believe him, and she knew how much he meant to her.",,,
q00027,top1996:5903,1498135,1,27,https://www.goodreads.com/work/quotes/1498135,"You and I were different. We came from different worlds, and yet you were the one how taught me the value of love. You showed me what it was like to care for another, and I am a better man because of it. I don't want you to ever forget that.",,,
q00028,top1996:5903,1498135,1,28,https://www.goodreads.com/work/quotes/1498135,"What are we after all our dreams, after all our memories?",,,
q00029,top1996:5903,1498135,2,0,https://www.goodreads.com/work/quotes/1498135?page=2,"It's the possibility that keeps me going, not the guarantee.",,,
q00030,top1996:5903,1498135,2,1,https://www.goodreads.com/work/quotes/1498135?page=2,"And when I came in with tears in my eyes, you always knew whether I needed you to hold me or just let me be. I don't know how you knew, but you did, and you made it easier for me.",,,
q00031,top1996:5903,1498135,2,2,https://www.goodreads.com/work/quotes/1498135?page=2,"I'll be anything you want, just tell me what you want and I'll be that.",,,
q00032,top1996:5903,1498135,2,3,https://www.goodreads.com/work/quotes/1498135?page=2,Sometimes we need to be apart to understand just how much we truly love each other .,,,
q00033,top1996:5903,1498135,2,4,https://www.goodreads.com/work/quotes/1498135?page=2,"I know, but no matter what I choose I have to live with it. Forever. I have to be able to go forward and not look back anymore. Can you understand that?",,,
q00034,top1996:5903,1498135,2,5,https://www.goodreads.com/work/quotes/1498135?page=2,a person can get used to anything if given enough time,,,
q00035,top1996:5903,1498135,2,6,https://www.goodreads.com/work/quotes/1498135?page=2,"I lost you once, I think I can do it again.",,,
q00036,top1996:5903,1498135,2,7,https://www.goodreads.com/work/quotes/1498135?page=2,"Would you stop thinking about what everyone wants. Stop thinkingabout what I want, what he wants, what your parents want. What do you want?",,,
q00037,top1996:5903,1498135,2,9,https://www.goodreads.com/work/quotes/1498135?page=2,"Maybe we've lived a thousand lives before this one and in each of them we've found each other... I know I've spent each life before this one searching for you. Not someone like you but you, for your soul and mine must always come together.",,,
q00038,top1996:5903,1498135,2,11,https://www.goodreads.com/work/quotes/1498135?page=2,"Our lives can't be measured by our final years, of this I am sure.",,,
q00039,top1996:5903,1498135,2,12,https://www.goodreads.com/work/quotes/1498135?page=2,"It is life, I think, to watch the water. A man can learn so many things.",,,
q00040,top1996:5903,1498135,2,13,https://www.goodreads.com/work/quotes/1498135?page=2,I've learned that we're all entitled to have our secrets.,,,
q00041,top1996:5903,1498135,2,14,https://www.goodreads.com/work/quotes/1498135?page=2,Every girl is beautiful. Sometimes it just takes the right guy to see it.,,,
