quote_id,sample_id,gr_work_id,page,idx,source_url,quote_text,bucket,tense,note
q00001,top1996:6484,2591755,1,0,https://www.goodreads.com/work/quotes/2591755,"We can become inspired to shape a higher, more ideal future, and when we do, miracles happen.",,,
q00002,top1996:6484,2591755,1,1,https://www.goodreads.com/work/quotes/2591755,Inspiration is what keeps us well.,,,
q00003,top1996:6484,2591755,1,2,https://www.goodreads.com/work/quotes/2591755,This is [her] soul group.’What do you mean?’It’s a group of souls with whom she resonates closely.,,,
q00004,top1996:6484,2591755,1,3,https://www.goodreads.com/work/quotes/2591755,"In reality, there are no enemies; we're all souls in growth, waking up",,,
q00005,top1996:6484,2591755,1,4,https://www.goodreads.com/work/quotes/2591755,"Apparently, before we are born, each of us experiences a vision of what our life can be, complete with reflections on our parents and our tendencies to engage in particular control dramas, even how we might work through these dramas with these parents and go on to be prepared for what we want to accomplish.",,,
q00006,top1996:6484,2591755,1,5,https://www.goodreads.com/work/quotes/2591755,"The reality of the Life Review is becoming part of our every day understanding. We know that after death, we have to look at our lives again; and we’re going to agonize over every missed opportunity, over every case in which we failed to act. This knowledge is contributing to our determination to pursue every intuitive image that comes to mind, and keep it firmly in awareness. We’re living life in a more deliberate way. We don’t want to miss a single important event. We don’t want the pain of looking back later and realizing that we blew it, that we failed to make the right decisions.",,,
q00007,top1996:6484,2591755,1,6,https://www.goodreads.com/work/quotes/2591755,"If we stay aware and acknowledge the great mystery that is this life, we will see that we have been perfectly placed, in exactly the right position… to make all the difference in the world.",,,
q00008,top1996:6484,2591755,1,7,https://www.goodreads.com/work/quotes/2591755,"the health of the body is determined to a great degree by our mental processes: what we think of life and especially of ourselves, at both the conscious and the unconscious levels.",,,
q00009,top1996:6484,2591755,1,9,https://www.goodreads.com/work/quotes/2591755,"Because, again, very often your attitude about why an accident or illness has happened has an effect on your recuperation.",,,
q00010,top1996:6484,2591755,1,10,https://www.goodreads.com/work/quotes/2591755,Healing in its essence is about breaking through the fears associated with life—fears,,,
q00011,top1996:6484,2591755,1,11,https://www.goodreads.com/work/quotes/2591755,"creatures smart enough and unlucky enough to have figured out we’re alive, and we’re going to die without ever knowing any purpose. We can pretend all we want and we can wish all we want, but that basic existential fact remains—we can’t know.",,,
q00012,top1996:6484,2591755,1,12,https://www.goodreads.com/work/quotes/2591755,"If history tells us anything, it is that human culture and knowledge are constantly evolving.",,,
q00013,top1996:6484,2591755,1,13,https://www.goodreads.com/work/quotes/2591755,"I could see the two sides hardening, their feelings intensifying, as both began to think the other not just wrong, but hideous, venal... in league with the devil himself.",,,
q00014,top1996:6484,2591755,1,14,https://www.goodreads.com/work/quotes/2591755,"I could see clearly that this growing belligerence was an aberration, coming not from intention, but from the Fear.",,,
q00015,top1996:6484,2591755,1,15,https://www.goodreads.com/work/quotes/2591755,"We either fear that human culture is falling apart, or we can hold the Vision that we are awakening. Either way, our expectation is a prayer that goes out as a force that tends to bring about the end we envision. Each of us must consciously choose between these two futures.",,,
q00016,top1996:6484,2591755,1,17,https://www.goodreads.com/work/quotes/2591755,"We’ve remembered most of what happened,” I said. “But so far we haven’t been able to recall how we planned to do it differently this time. Can you remember?” Charlene shook her head. “Only parts of it. I know we have to identify our unconscious feelings toward one another before we can go on.” She looked into my eyes and paused. “This is all part of the Tenth Insight… only it hasn’t been written down anywhere yet. It’s coming in intuitively.” I nodded. “We know.” “Part of the Tenth is an extension of the Eighth. Only a group that’s operating fully in the Eighth Insight can accomplish this kind of higher clearing.” “I’m not following you,” Curtis said. “The Eighth is about knowing how to uplift others,” she continued, “knowing how to send energy by focusing on another’s beauty and higher-self wisdom. This process can raise the energy level and creativity of the group exponentially. Unfortunately, many groups have trouble uplifting each other in this manner, even though the individuals involved are able to do it at other times. This is especially true if the group is work-oriented, a group of employees, for instance, or people coming together to create a unique project of some kind, because so often these people have been together before, and old, past-life emotions come up and get in the way. “We are thrown together with someone we have to work with, and we automatically dislike them, without really knowing why. Or perhaps we experience it the other way around: the person doesn’t like us, again for reasons we don’t understand. The emotions that come up might be jealousy, irritation, envy, resentment, bitterness, blame—any of these. What I intuited very clearly was that no group could reach its highest potential unless the participants seek to understand and work through these emotions.” Maya leaned forward. “That’s exactly what we’ve been doing: working through the emotions that have come up, the resentments from when we were together before.",,,
q00017,top1996:6484,2591755,1,18,https://www.goodreads.com/work/quotes/2591755,"As I continued to watch, I understood what I was seeing: a polarization of viewpoint was quickly forming around the planet, as those who were undecided now reacted against a cultural viewpoint they saw leading to runaway chaos and uncertainty, perhaps even to the total disintegration of their way of life. In the United States especially, a growing number of people were becoming convinced they were now facing what amounted to a life-and-death struggle against the permissiveness and liberalism of the past twenty-five years—a culture war, as they called it—with nothing short of the survival of Western civilization at stake. I could see that many of them even considered the cause already near lost, and thus advocated extreme action. In the face of this backlash, I could see the advocates of Human Potential moving into fear and defensiveness themselves, sensing that many hard-earned victories for individual rights and social compassion were now in danger of being swept away by a tide of conservatism. Many considered this reaction against liberation an attack by the embattled forces of greed and exploitation, who were pushing forth in one last attempt to dominate the weaker members of society. Here I could clearly see what was intensifying the polarization: each side was thinking the other to be a conspiracy of evil.",,,
q00018,top1996:6484,2591755,1,19,https://www.goodreads.com/work/quotes/2591755,"In a world where the people are numbed and distracted, the only thing that sells is the unbelievable.",,,
q00019,top1996:6484,2591755,1,20,https://www.goodreads.com/work/quotes/2591755,"These same experiences are occurring to people all over the planet. After we grasp the first nine Insights, each of us is left at the same place—trying to live this reality day-to-day, in the face of what seems to be a growing pessimism and divisiveness all around us. But at the same time, we are continuing to gain a greater perspective and clarity about our spiritual situation, about who we really are. We know we are awakening to a much larger plan for planet Earth. “The Tenth is about maintaining our optimism and staying awake. We’re learning to better identify and believe in our own intuitions, knowing that these mental images are fleeting recollections of our original intention, of how we wanted our lives to evolve. We wanted to follow a certain path in life, so that we could finally remember the truth that our life experiences are preparing us to tell, and bring this knowledge into the world. “We are now seeing our lives from the higher perspective of the Afterlife. We know that our individual adventures are occurring within the context of the long history of human awakening. With this memory, our lives are grounded, put into context; we can see the long process through which we have been spiritualizing the physical dimension, and what we have left to do.",,,
