sample_id,stratum,title,author,year,isbn,gr_book_id,gr_work_id,gr_title,gr_author,gr_year,gr_ratings,resolve_method,resolve_confidence,resolve_notes,pages_fetched,quotes_raw,quotes_dedup,fetched_at
top1931:7031,top1931,TWO PEOPLE,A. A. Milne,1931,,5960371,6133119,Two People,A.A. Milne,1931,348,title_author,high,,0,0,0,2026-08-14T23:55:45
top1931:859,top1931,BROOME STAGES,Clemance Dane,1931,,,,,,,0,failed,review,no_candidate,0,0,0,2026-08-14T23:55:45
top1931:413,top1931,AMERICAN BEAUTY,Edna Ferber,1931,,2055202,1263065,American Beauty,Edna Ferber,1931,135,title_author,high,,1,3,3,2026-08-14T23:55:45
top1932:847,top1932,BRIGHT SKIN,Julia Peterkin,1932,,1489396,1480633,Bright Skin,Julia Peterkin,1998,9,title_author,medium,year_off(1998vs1932);low_ratings,0,0,0,2026-08-14T23:55:45
top1932:4639,top1932,THE BISHOP'S JAEGERS,Thorne Smith,1932,,42926411,1630739,The Bishop's Jaegers,Thorne Smith,1932,140,title_author,high,,1,2,2,2026-08-14T23:55:45
top1932:2421,top1932,INHERITANCE,Phyllis Bentley,1932,,6436778,6626360,Inheritance,Phyllis Bentley,1932,47,title_author,high,,0,0,0,2026-08-14T23:55:45
top1933:3383,top1933,ONE MORE SPRING,Robert Nathan,1933,,1215441,1203884,One More Spring,Robert Nathan,1933,44,title_author,high,,0,0,0,2026-08-14T23:55:45
top1933:5118,top1933,THE FARM,Louis Bromfield,1933,,1943847,1946483,The Farm,Louis Bromfield,1933,69,title_author,high,,0,0,0,2026-08-14T23:55:45
top1933:3701,top1933,RAIN IN THE DOORWAY,Thorne Smith,1933,,43173605,894610,Rain In The Doorway,Thorne Smith,1933,126,title_author,high,,0,0,0,2026-08-14T23:55:45
top1934:2791,top1934,LOST HORIZON,James Hilton,1934,0895773619,39092290,1180015,Lost Horizon: A Novel,James Hilton,1933,25936,isbn,high,,3,89,67,2026-08-14T23:55:45
top1934:5191,top1934,THE FORTY DAYS OF MUSA DAGH,Franz Werfel,1934,,438323,1079358,The Forty Days of Musa Dagh,Franz Werfel,1933,2149,title_author,high,,1,24,7,2026-08-14T23:55:45
top1934:7359,top1934,WORK OF ART,Sinclair Lewis,1934,,761334,747428,Work of Art,Sinclair Lewis,1934,47,title_author,high,,1,1,1,2026-08-14T23:55:45
top1936:7382,top1936,YANG AND YIN,Alice Tisdale Hobart,1936,,12693664,17823584,Yang And Yin: A Novel of an American Doctor in China,Alice Tisdale Hobart,1936,4,title_author,medium,low_ratings,0,0,0,2026-08-14T23:55:45
top1936:4234,top1936,SPARKENBROKE,Charles Morgan,1936,,2143080,2148570,Sparkenbroke,Charles Morgan,1936,44,title_author,high,,0,0,0,2026-08-14T23:55:45
top1936:7259,top1936,WHITE BANNERS,Lloyd C. Douglas,1936,,25860863,764696,White Banners,Lloyd C. Douglas,1936,1969,title_author,high,,0,0,0,2026-08-14T23:55:45
top1937:6769,top1937,THEATRE,Somerset Maugham,1937,,31326,1908840,Theatre,W. Somerset Maugham,1937,10067,title_author,high,,1,21,18,2026-08-14T23:55:45
top1937:5956,top1937,THE OUTWARD ROOM,Millen Brand,1937,,8320645,6887022,The Outward Room,Millen Brand,1937,470,title_author,high,,0,0,0,2026-08-14T23:55:45
top1937:3337,top1937,OF MICE AND MEN,John Steinbeck,1937,0670347914,18114322,2931549,The Grapes of Wrath,John Steinbeck,1939,1022712,isbn,high,,4,120,92,2026-08-14T23:55:45
top1938:3150,top1938,"MY SON, MY SON!",Howard Spring,1938,,1016639,1002763,"My Son, My Son",Howard Spring,1938,407,title_author,high,,0,0,0,2026-08-14T23:55:45
top1938:5825,top1938,THE MORTAL STORM,Phyllis Bottome,1938,,1906079,1907891,The Mortal Storm,Phyllis Bottome,1938,100,title_author,high,,0,0,0,2026-08-14T23:55:45
top1938:6832,top1938,THREE HARBOURS,F. Van Wyck Mason,1938,,7953338,1857851,Three Harbours,F. Van Wyck Mason,1938,31,title_author,high,,0,0,0,2026-08-14T23:55:45
top1939:1649,top1939,ESCAPE,Ethel Vance,1939,,4743823,4808445,Escape,Ethel Vance,1939,19,title_author,medium,low_ratings,0,0,0,2026-08-14T23:55:45
top1939:3039,top1939,MOMENT IN PEKING,Lin Yutang,1939,,1320195,1309540,Moment in Peking,Lin Yutang,1939,632,title_author,high,,1,3,2,2026-08-14T23:55:45
top1939:7285,top1939,WICKFORD POINT,John P. Marquand,1939,,309852,1055852,Wickford Point,John P. Marquand,1939,134,title_author,high,,0,0,0,2026-08-14T23:55:45
top1941:6803,top1941,THIS ABOVE ALL,Eric Knight,1941,,2070171,2075414,This Above All,Eric Knight,1940,248,title_author,high,,0,0,0,2026-08-14T23:55:45
top1941:7313,top1941,WINDSWEPT,Mary Ellen Chase,1941,,206140,199505,Windswept,Mary Ellen Chase,1941,65,title_author,high,,0,0,0,2026-08-14T23:55:45
