sample_id,cohort,year,title,author,source_books_file,gr_book_id,gr_work_id,gr_title,work_page_title,book_title_status,work_title_status,duplicate_work_id,verdict,reason
top1931:5304,pilot,1931,THE GOOD EARTH,Pearl S. Buck,books_top3_1931_1995.csv,1078,2346070,The Good Earth,The Good Earth,pass,pass,,pass,
top1931:2878,pilot,1931,MAID IN WAITING,John Galsworthy,books_top3_1931_1995.csv,1729347,1726812,Maid in Waiting,Maid in Waiting,pass,pass,,pass,
top1931:7209,pilot,1931,WESTWARD PASSAGE,Margaret Ayer Barnes,books_top3_1931_1995.csv,46228253,71206171,Westward Passage,Westward Passage,pass,pass,,pass,
top1932:5193,pilot,1932,THE FOUNTAIN,Charles Morgan,books_top3_1931_1995.csv,36127,36036,The Fountain,The Fountain,pass,pass,,pass,
top1932:2916,pilot,1932,MARY'S NECK,Booth Tarkington,books_top3_1931_1995.csv,13550632,19117544,Mary's Neck,Mary's Neck,pass,pass,,pass,
top1932:1865,pilot,1932,FLOWERING WILDERNESS,John Galsworthy,books_top3_1931_1995.csv,1380929,1726810,Flowering Wilderness,Flowering Wilderness,pass,pass,,pass,
top1933:481,pilot,1933,ANTHONY ADVERSE,Hervey Allen,books_top3_1931_1995.csv,1755883,1753744,Anthony Adverse,Anthony Adverse,pass,pass,,pass,
top1933:472,pilot,1933,ANN VICKERS,Sinclair Lewis,books_top3_1931_1995.csv,703003,689295,Ann Vickers,Ann Vickers,pass,pass,,pass,
top1933:518,pilot,1933,AS THE EARTH TURNS,Gladys Hasty Carroll,books_top3_1931_1995.csv,1059921,1046505,As the Earth Turns,As the Earth Turns,pass,pass,,pass,
top1934:2031,pilot,1934,"GOOD-BYE, MR. CHIPS",James Hilton,books_top3_1931_1995.csv,413617,2147442,"Good-Bye, Mr. Chips","Good-Bye, Mr. Chips",pass,pass,,pass,
top1934:4182,pilot,1934,SO RED THE ROSE,Stark Young,books_top3_1931_1995.csv,123752196,145132841,SO RED THE ROSE,SO RED THE ROSE,pass,pass,,pass,
top1934:2626,pilot,1934,LAMB IN HIS BOSOM,Caroline Miller,books_top3_1931_1995.csv,267478,259320,Lamb in His Bosom,Lamb in His Bosom,pass,pass,,pass,
top1935:2055,pilot,1935,GREEN LIGHT,Lloyd C. Douglas,books_top3_1931_1995.csv,759187,745296,Green Light,Green Light,pass,pass,,pass,
top1935:2467,pilot,1935,IT CAN'T HAPPEN HERE,Sinclair Lewis,books_top3_1931_1995.csv,40692733,1296784,It Can't Happen Here by Sinclair Lewis: Dystopia's Wake: Unveiling the Shadows of Tomorrow in It Can't Happen Here,It Can't Happen Here,pass,pass,,pass,
top1935:3338,pilot,1935,OF TIME AND THE RIVER,Thomas Wolfe,books_top3_1931_1995.csv,12451,14752,Of Time and the River: A Legend of Man's Hunger in his Youth,Of Time and the River,pass,pass,,pass,
top1936:2026,pilot,1936,GONE WITH THE WIND,Margaret Mitchell,books_top3_1931_1995.csv,34689759,3358283,Gone with the Wind,Gone With the Wind,pass,pass,,pass,
top1936:1558,pilot,1936,DRUMS ALONG THE MOHAWK,Walter D. Edmonds,books_top3_1931_1995.csv,167069,161335,Drums Along the Mohawk,Drums Along the Mohawk,pass,pass,,pass,
top1936:5608,pilot,1936,THE LAST PURITAN,George Santayana,books_top3_1931_1995.csv,403281,2124658,The Last Puritan: A Memoir in the Form of a Novel,The Last Puritan,pass,pass,,pass,
top1937:4844,pilot,1937,THE CITADEL,A. J. Cronin,books_top3_1931_1995.csv,634747,621034,The Citadel,The Citadel,pass,pass,,pass,
top1937:3291,pilot,1937,NORTHWEST PASSAGE,Kenneth Roberts,books_top3_1931_1995.csv,103171,2484967,Northwest Passage,Northwest Passage,pass,pass,,pass,
top1937:6097,pilot,1937,THE RAINS CAME,Louis Bromfield,books_top3_1931_1995.csv,396988,386462,The Rains Came,The Rains Came,pass,pass,,pass,
top1938:6760,pilot,1938,THE YEARLING,Marjorie Kinnan Rawlings,books_top3_1931_1995.csv,170973550,583534,The Yearling - Marjorie Kinnan Rawlings - The Franklin Library - Thomas Allen Illustrations,The Yearling,pass,pass,,pass,
top1938:389,pilot,1938,ALL THIS AND HEAVEN TOO,Rachel Field,books_top3_1931_1995.csv,1397878,2710160,"All This, and Heaven Too","All This, and Heaven Too",pass,pass,,pass,
top1938:3727,pilot,1938,REBECCA,Daphne Du Maurier,books_top3_1931_1995.csv,636993,267287709,Rebecca,Rebecca,pass,pass,,pass,
top1939:5317,pilot,1939,THE GRAPES OF WRATH,John Steinbeck,books_top3_1931_1995.csv,18114322,2931549,The Grapes of Wrath,The Grapes of Wrath,pass,pass,OF MICE AND MEN | THE GRAPES OF WRATH,pass,work ID also assigned to: OF MICE AND MEN | THE GRAPES OF WRATH
top1939:2600,pilot,1939,KITTY FOYLE,Christopher Morley,books_top3_1931_1995.csv,2235096,2240933,Kitty Foyle,Kitty Foyle,pass,pass,,pass,
top1939:5861,pilot,1939,THE NAZARENE,Sholem Asch,books_top3_1931_1995.csv,165907465,1183864,THE NAZARENE. Signed by Sholem Asch.,The Nazarene,pass,pass,,pass,
top1940:2286,pilot,1940,HOW GREEN WAS MY VALLEY,Richard Llewellyn,books_top3_1931_1995.csv,40496,2329482,How Green Was My Valley,How Green Was My Valley,pass,pass,,pass,
top1940:3120,pilot,1940,MRS. MINIVER,Jan Struther,books_top3_1931_1995.csv,60643589,1108185,Mrs. Miniver by Jan Struther: A Heartfelt Portrait of Everyday Life and Resilience,Mrs. Miniver,pass,pass,,pass,
top1940:1886,pilot,1940,FOR WHOM THE BELL TOLLS,Ernest Hemingway,books_top3_1931_1995.csv,46170,2252079,For Whom the Bell Tolls,For Whom the Bell Tolls,pass,pass,,pass,
top1941:5530,pilot,1941,THE KEYS OF THE KINGDOM,A. J. Cronin,books_top3_1931_1995.csv,184803,2429749,The Keys of the Kingdom,The Keys of the Kingdom,pass,pass,,pass,
top1941:6439,pilot,1941,THE SUN IS MY UNDOING,Marguerite Steen,books_top3_1931_1995.csv,232741752,433186,"The sun is my undoing, by Marguerite Steen",The Sun Is My Undoing,pass,pass,,pass,
top1941:3715,pilot,1941,RANDOM HARVEST,James Hilton,books_top3_1931_1995.csv,153279627,6860,"Random Harvest by James Hilton: A Heartwarming Tale of Love, Memory, and Redemption",Random Harvest,pass,pass,,pass,
top1942:6157,pilot,1942,THE ROBE,Lloyd C. Douglas,books_top3_1931_1995.csv,60395731,467637,The Robe by Lloyd C. Douglas: A Tale of Redemption and Spiritual Awakening,The Robe,pass,pass,,pass,
top1942:6594,pilot,1942,THE VALLEY OF DECISION,Marcia Davenport,books_top3_1931_1995.csv,136456,131509,The Valley Of Decision,The Valley Of Decision,pass,pass,,pass,
top1942:6355,pilot,1942,THE SONG OF BERNADETTE,Franz Werfel,books_top3_1931_1995.csv,234722022,249846164,the Song of Bernadette,the Song of Bernadette,pass,pass,,pass,
top1943:263,pilot,1943,A TREE GROWS IN BROOKLYN,Betty Smith,books_top3_1931_1995.csv,148061217,833257,A Tree Grows In Brooklyn by Betty Smith,A Tree Grows in Brooklyn,pass,pass,,pass,
