quote_id,sample_id,gr_work_id,page,idx,source_url,quote_text,bucket,tense,note
q00001,top1978:7166,376293,1,0,https://www.goodreads.com/work/quotes/376293,"In the glare, the great and terrible light of this happening, God seems to signal that the story of the rest of us need not end, and that the new light can prove a troubled dawn.For the rest of us, perhaps. Not for the dead, not for the more than fifty million real dead in the world's worst catastrophe: victors and vanquished, combatants and civilians, people of so many nations, men, women, and children, all cut down. For them there can be no new earthly dawn. Yet thought their bones like in the darkness of the grave, they will not have died in vain, if their remembrance can lead us from the long, long time of war to the time for peace.",,,
q00002,top1978:7166,376293,1,1,https://www.goodreads.com/work/quotes/376293,"Sir, my inferior understanding prevents my grasping the unquestionable soundness of the mission.",,,
q00003,top1978:7166,376293,1,2,https://www.goodreads.com/work/quotes/376293,Boys fight the wars. We’d have the brotherhood of man tomorrow if the politicians had to get out and fight.,,,
q00004,top1978:7166,376293,1,3,https://www.goodreads.com/work/quotes/376293,"Your country baffles me: a luxurious unharmed lotus land in which great hordes of handsome dynamic people either wallow in deep gloom, or play like overexcited children, or fall to work like all the devils in hell, while the press steadily drones detestation of the government and despair of the system. I don’t understand how America works, any more than Frances Trollope or Dickens did, but it’s an ongoing miracle of sorts.",,,
q00005,top1978:7166,376293,1,4,https://www.goodreads.com/work/quotes/376293,"The lesson was writ plain by Thucydides centuries before Christ was born. Democracy satisfies best the human thirst for freedom; yet, being undisciplined, turbulent, and luxury-seeking, it falls time and again to austere single-minded despotism.",,,
q00006,top1978:7166,376293,1,5,https://www.goodreads.com/work/quotes/376293,"The will not to believe. It is simple human nature. When the mind cannot grasp or face up to a horrible fact it turns away, as though refusing credence will conjure away the reality.",,,
q00007,top1978:7166,376293,1,6,https://www.goodreads.com/work/quotes/376293,"All the corpses must be brought back from the work site for the evening roll call, since the count of living and dead has to match the number of men who left in the morning, to establish that nobody has escaped Auschwitz except by dying.",,,
q00008,top1978:7166,376293,1,7,https://www.goodreads.com/work/quotes/376293,"Extremism, he says, is the universal tuberculosis of modern society: a world infection of resentment and hatred generated by rapid change and the breakdown of old values. In the stabler nations the tubercles are sealed off in scar tissue, and these are the harmless lunatic movements. In times of social disorder, depression, war, or revolution, the germs can break forth and infect the nation. This has happened in Germany. It could happen anywhere, even in the United States.",,,
q00009,top1978:7166,376293,1,8,https://www.goodreads.com/work/quotes/376293,A democracy in a backward or unstable country simply gets smashed by the best-organized power gang.,,,
q00010,top1978:7166,376293,1,9,https://www.goodreads.com/work/quotes/376293,"Either war is finished, or we are.",,,
q00011,top1978:7166,376293,1,10,https://www.goodreads.com/work/quotes/376293,"How far they came to perish here, these soldiers and these machines! What bizarre train of events brought youngsters from the Rhineland and Prussia, from the Scottish Highlands and London, from Australia and New Zealand, to butt at each other to the death with flame-spitting machinery in faraway Africa, in a setting as dry and lonesome as the moon?But that is the hallmark of this war. No other war has ever been like it. This war rings the world.... Men fight as far from home as they can be transported, with courage and endurance that makes one proud of the human race, in horrible contrivances that make one ashamed of the human race.",,,
q00012,top1978:7166,376293,1,11,https://www.goodreads.com/work/quotes/376293,"Albert Speer, Hitler’s astute production chief, is reported to have chided an American Air Force general, after the war, for not laying on more raids like Dresden; it was the sovereign way to end the war, he said, but the Allies failed to follow through.",,,
