sample_id,stratum,title,author,year,isbn
top1961:1919,top1961,FRANNY AND ZOOEY,J.D. Salinger,1961,
top1978:7166,top1978,WAR AND REMEMBRANCE,Herman Wouk,1978,
top1995:6096,top1995,THE RAINMAKER,John Grisham,1995,038542471X
top1936:7259,top1936,WHITE BANNERS,Lloyd C. Douglas,1936,
top1937:3337,top1937,OF MICE AND MEN,John Steinbeck,1937,0670347914
top1959:2619,top1959,LADY CHATTERLY'S LOVER,D.H. Lawrence,1959,0670408123
top1979:4944,top1979,THE DEAD ZONE,Stephen King,1979,0670315419
top2019:1237,top2019,DAISY JONES & THE SIX,Taylor Jenkins Reid,2019,
top1997:5976,top1997,THE PARTNER,John Grisham,1997,0385472951
top2001:710,top2001,BLACK HOUSE,Stephen King and Peter Straub,2001,
top2008:3947,top2008,SCARPETTA,Patricia Cornwell,2008,0399152199
top2009:2340,top2009,"I, ALEX CROSS",James Patterson,2009,0316159794
top2013:163,top2013,A MEMORY OF LIGHT,Robert Jordan and Brandon Sanderson,2013,
top2013:3892,top2013,S.,Doug Dorst,2013,9780316201643
top2004:2502,top2004,JONATHAN STRANGE & MR. NORRELL,Susanna Clarke,2004,
