sample_id,stratum,source,post45_title_id,title,author,year,first_week,isbn,oclc,best_rank,weeks_on_list
top2016:116,top2016,post45_topn,116,A GENTLEMAN IN MOSCOW,Amor Towles,2016,2016-09-25,9780670026197,944380324.0,6,59
top2016:6581,top2016,post45_topn,6581,THE UNDERGROUND RAILROAD,Colson Whitehead,2016,2016-08-21,,933420484.0,1,37
top2016:4157,top2016,post45_topn,4157,SMALL GREAT THINGS,Jodi Picoult,2016,2016-10-30,9780345544957,952139156.0,1,23
top2016:6678,top2016,post45_topn,6678,THE WHISTLER,John Grisham,2016,2016-11-13,,940933213.0,1,22
top2016:7022,top2016,post45_topn,7022,TWO BY TWO,Nicholas Sparks,2016,2016-10-23,,948339462.0,1,21
top2016:6728,top2016,post45_topn,6728,THE WOMAN IN CABIN 10,Ruth Ware,2016,2016-08-07,,945072389.0,4,19
top2016:1132,top2016,post45_topn,1132,COMMONWEALTH,Ann Patchett,2016,2016-10-02,9780062491794,932576291.0,1,18
top2016:5865,top2016,post45_topn,5865,THE NEST,Cynthia D'Aprix Sweeney,2016,2016-04-10,9780062414212,944179970.0,2,17
top2016:637,top2016,post45_topn,637,BEFORE THE FALL,Noah Hawley,2016,2016-06-19,9781455561780,949888737.0,2,14
top2016:3225,top2016,post45_topn,3225,NIGHT SCHOOL,Lee Child,2016,2016-11-27,9780804178808,950004263.0,1,11
top2016:5261,top2016,post45_topn,5261,THE GIRLS,Emma Cline,2016,2016-07-03,9780812998603,907585910.0,2,11
top2016:6757,top2016,post45_topn,6757,THE WRONG SIDE OF GOODBYE,Michael Connelly,2016,2016-11-20,,940361429.0,2,11
top2016:1203,top2016,post45_topn,1203,CROSS THE LINE,James Patterson,2016,2016-12-11,9780316407090,941443361.0,1,10
top2016:3145,top2016,post45_topn,3145,MY NAME IS LUCY BARTON,Elizabeth Strout,2016,2016-01-31,9781400067695,909538731.0,1,10
top2016:5597,top2016,post45_topn,5597,THE LAST MILE,David Baldacci,2016,2016-05-08,9781455586455,921166356.0,1,10
top2016:3263,top2016,post45_topn,3263,NO MAN'S LAND,David Baldacci,2016,2016-12-04,9781455586516,948309412.0,2,10
