sample_id,stratum,source,post45_title_id,title,author,year,first_week,isbn,oclc,best_rank,weeks_on_list
top1932:6279,top1932,post45_topn,6279,THE SHELTERED LIFE,Ellen Glasgow,1932,1932-09-05,,24164488.0,1,7
top1932:4216,top1932,post45_topn,4216,SONS,Pearl S. Buck,1932,1932-10-03,9781727421057,568321.0,1,6
top1933:3382,top1933,post45_topn,3382,ONE MORE RIVER,John Galsworthy,1933,1933-10-16,,365547.0,2,8
top1933:5574,top1933,post45_topn,5574,THE LAST ADAM,James G. Cozzens,1933,1933-01-09,,,1,7
top1946:1596,top1946,post45_topn,1596,EAST RIVER,Sholem Asch,1946,1946-11-10,,325381.0,1,28
top1946:5547,top1946,post45_topn,5547,THE KING'S GENERAL,Daphne du Maurier,1946,1946-01-20,9781402217081,1282606.0,1,28
top1949:2671,top1949,post45_topn,2671,LET LOVE COME LAST,Taylor Caldwell,1949,1949-08-21,,11378047.0,2,23
top1949:5756,top1949,post45_topn,5756,THE MAN WITH THE GOLDEN ARM,Nelson Algren,1949,1949-10-02,,565975.0,7,23
top1950:5676,top1950,post45_topn,5676,THE LITTLE WORLD OF DON CAMILLO,Giovanni Guareschi,1950,1950-09-10,038523242X,3143616.0,6,27
top1950:2239,top1950,post45_topn,2239,HOMEWARD BORNE,Ruth Chatterton,1950,1950-05-28,,1445776.0,5,23
top1953:2779,top1953,post45_topn,2779,LORD VANITY,Samuel Shellabarger,1953,1953-11-08,,287611.0,1,30
top1953:5565,top1953,post45_topn,5565,THE LADY OF ARLINGTON,Harnett T. Kane,1953,1953-10-18,,1299769.0,4,28
top1954:4999,top1954,post45_topn,4999,THE DOLLMAKER,Harriette Arnow,1954,1954-05-16,,1011977.0,4,31
top1954:555,top1954,post45_topn,555,AWAY ALL BOATS,Kenneth Dodson,1954,1954-03-21,,282798.0,3,30
