sample_id,stratum,source,post45_title_id,title,author,year,first_week,isbn,oclc,best_rank,weeks_on_list
top1932:5855,top1932,post45_topn,5855,THE NARROW CORNER,W. Someset Maugham,1932,1932-11-21,,,2,8
top1932:2875,top1932,post45_topn,2875,MAGNOLIA STREET,Louis Golding,1932,1932-03-28,,530457.0,1,7
top1933:7341,top1933,post45_topn,7341,WITHIN THIS PRESENT,Margaret Ayer Barnes,1933,1933-11-27,,299659.0,2,10
top1933:2731,top1933,post45_topn,2731,"LITTLE MAN, WHAT NOW?",Hans Fallada,1933,1933-06-12,,1263342.0,1,9
top1937:453,top1937,post45_topn,453,AND SO - VICTORIA,Vaughan Wilkins,1937,1937-08-02,,621779.0,2,20
top1937:6761,top1937,post45_topn,6761,THE YEARS,Virginia Woolf,1937,1937-04-19,,369110.0,1,19
top1942:6064,top1942,post45_topn,6064,THE PRODIGAL WOMEN,Nancy Hale,1942,1942-10-12,,284668.0,1,20
top1942:1525,top1942,post45_topn,1525,DRAGON SEED,Pearl S. Buck,1942,1942-02-02,1559210338,285548.0,1,19
top1945:5195,top1945,post45_topn,5195,THE FOUNTAINHEAD,Ayn Rand,1945,1945-07-15,0452286751,59829035.0,5,30
top1945:6687,top1945,post45_topn,6687,THE WHITE TOWER,James Ramsey Ullman,1945,1945-09-16,,297160.0,2,26
top1946:3093,top1946,post45_topn,3093,MR. ADAM,Pat Frank,1946,1946-10-13,,169287.0,6,36
top1946:5438,top1946,post45_topn,5438,THE HUCKSTERS,Frederic Wakeman,1946,1946-06-16,,291038.0,1,32
top1947:1978,top1947,post45_topn,1978,GENTLEMAN'S AGREEMENT,Laura Z. Hobson,1947,1947-03-16,9780877973256,9808446.0,1,36
top1947:5816,top1947,post45_topn,5816,THE MONEYMAN,Thomas B. Costain,1947,1947-08-03,,282461.0,1,31
top1949:1776,top1949,post45_topn,1776,FATHER OF THE BRIDE,Edward Streeter,1949,1949-06-05,9781617934308,290368.0,2,30
top1949:2912,top1949,post45_topn,2912,MARY,Sholem Asch,1949,1949-10-23,,313121.0,2,30
top1950:2516,top1950,post45_topn,2516,JOY STREET,Frances Parkinson Keyes,1950,1950-12-10,,2498548.0,1,34
top1950:6633,top1950,post45_topn,6633,THE WALL,John Hersey,1950,1950-03-12,,284928.0,1,34
top1953:687,top1953,post45_topn,687,BEYOND THIS PLACE,A.J. Cronin,1953,1953-08-02,,366022.0,1,34
top1953:5125,top1953,post45_topn,5125,THE FEMALE,Paul Wellman,1953,1953-10-18,,476034.0,6,31
top1954:2811,top1954,post45_topn,2811,LOVE IS ETERNAL,Irving Stone,1954,1954-09-05,,170325.0,1,39
top1954:2913,top1954,post45_topn,2913,MARY ANNE,Daphne du Maurier,1954,1954-06-20,,964460.0,1,34
top1957:6200,top1957,post45_topn,6200,THE SCAPEGOAT,Daphne du Maurier,1957,1957-03-03,,366147.0,1,31
top1957:5575,top1957,post45_topn,5575,THE LAST ANGRY MAN,Gerald Green,1957,1957-02-24,,284757.0,4,31
top1984:2718,top1984,post45_topn,2718,LINCOLN,Gore Vidal,1984,1984-06-24,0394528956,10229876.0,2,33
top1984:5202,top1984,post45_topn,5202,THE FOURTH PROTOCOL,Frederick Forsyth,1984,1984-08-19,0670326372,10825108.0,1,29
