sample_id,stratum,source,post45_title_id,title,author,year,first_week,isbn,oclc,best_rank,weeks_on_list
top1933:2731,top1933,post45_topn,2731,"LITTLE MAN, WHAT NOW?",Hans Fallada,1933,1933-06-12,,1263342.0,1,9
top1937:6761,top1937,post45_topn,6761,THE YEARS,Virginia Woolf,1937,1937-04-19,,369110.0,1,19
top1942:1525,top1942,post45_topn,1525,DRAGON SEED,Pearl S. Buck,1942,1942-02-02,1559210338,285548.0,1,19
top1945:5195,top1945,post45_topn,5195,THE FOUNTAINHEAD,Ayn Rand,1945,1945-07-15,0452286751,59829035.0,5,30
top1947:1978,top1947,post45_topn,1978,GENTLEMAN'S AGREEMENT,Laura Z. Hobson,1947,1947-03-16,9780877973256,9808446.0,1,36
top1950:2516,top1950,post45_topn,2516,JOY STREET,Frances Parkinson Keyes,1950,1950-12-10,,2498548.0,1,34
top1953:687,top1953,post45_topn,687,BEYOND THIS PLACE,A.J. Cronin,1953,1953-08-02,,366022.0,1,34
top1954:2811,top1954,post45_topn,2811,LOVE IS ETERNAL,Irving Stone,1954,1954-09-05,,170325.0,1,39
top1954:2913,top1954,post45_topn,2913,MARY ANNE,Daphne du Maurier,1954,1954-06-20,,964460.0,1,34
top1957:6200,top1957,post45_topn,6200,THE SCAPEGOAT,Daphne du Maurier,1957,1957-03-03,,366147.0,1,31
top1957:5575,top1957,post45_topn,5575,THE LAST ANGRY MAN,Gerald Green,1957,1957-02-24,,284757.0,4,31
top1984:2718,top1984,post45_topn,2718,LINCOLN,Gore Vidal,1984,1984-06-24,0394528956,10229876.0,2,33
top1984:5202,top1984,post45_topn,5202,THE FOURTH PROTOCOL,Frederick Forsyth,1984,1984-08-19,0670326372,10825108.0,1,29
