sample_id,stratum,source,post45_title_id,title,author,year,first_week,isbn,oclc,best_rank,weeks_on_list
top1932:167,top1932,post45_topn,167,A MODERN HERO,Louis Bromfield,1932,1932-05-09,,1209055.0,1,4
top1932:1757,top1932,post45_topn,1757,FARAWAY,J. B. Priestley,1932,1932-08-08,,1193686.0,1,4
top1932:3095,top1932,post45_topn,3095,MR. AND MRS. PENNINGTON,Francis Brett Young,1932,1932-01-25,,2079684.0,1,4
top1932:5362,top1932,post45_topn,5362,THE HARBOURMASTER,William McFee,1932,1932-01-11,,30741830.0,1,4
top1932:6399,top1932,post45_topn,6399,THE STORE,T. S. Stribling,1932,1932-07-18,,1343991.0,1,4
top1933:6671,top1933,post45_topn,6671,THE WEREWOLF OF PARIS,Guy Endore,1933,1933-04-10,,805398583.0,1,4
top1933:371,top1933,post45_topn,371,ALL MEN ARE ENEMIES,Richard Aldington,1933,1933-08-07,,669319.0,2,4
top1933:4222,top1933,post45_topn,4222,SOUTH MOON UNDER,Marjorie K. Rawlings,1933,1933-03-27,,,2,4
top1933:327,top1933,post45_topn,327,AFTER SUCH PLEASURES,Dorothy Parker,1933,1933-11-13,,1183363.0,3,4
top1933:3344,top1933,post45_topn,3344,OIL FOR THE LAMPS OF CHINA,Alice Tisdale Hobart,1933,1933-12-18,,1932069.0,2,3
top1953:2810,top1953,post45_topn,2810,LOVE IS A BRIDGE,Charles Bracelen Flood,1953,1953-10-25,,313649.0,9,23
top1953:6923,top1953,post45_topn,6923,TOO LATE THE PHALAROPE,Alan Paton,1953,1953-09-06,,167052.0,2,22
top1953:6577,top1953,post45_topn,6577,THE UNCONQUERED,Ben Ames Williams,1953,1953-09-13,,1048756.0,5,20
top1953:4924,top1953,post45_topn,4924,THE DARK ANGEL,Mika Waltari,1953,1953-06-21,,1488283.0,3,17
top1953:2583,top1953,post45_topn,2583,KINGFISHERS CATCH FIRE,Rumer Godden,1953,1953-06-14,0333014464,285962.0,5,17
