sample_id,stratum,source,post45_title_id,title,author,year,first_week,isbn,oclc,best_rank,weeks_on_list
top1996:5903,top1996,post45_topn,5903,THE NOTEBOOK,Nicholas Sparks,1996,1996-10-27,0446520802,34321554.0,3,56
top1996:1689,top1996,post45_topn,1689,EXECUTIVE ORDERS,Tom Clancy,1996,1996-09-01,0399142185,34878804.0,1,24
top1997:2952,top1997,post45_topn,2952,MEMOIRS OF A GEISHA,Arthur Golden,1997,1997-11-02,0375400117,37689141.0,5,62
top1997:5276,top1997,post45_topn,5276,THE GOD OF SMALL THINGS,Arundhati Roy,1997,1997-08-17,0679457313,35744382.0,5,31
top1997:3542,top1997,post45_topn,3542,PLUM ISLAND,Nelson DeMille,1997,1997-06-08,044651506X,36277962.0,1,20
top1998:6028,top1998,post45_topn,6028,THE POISONWOOD BIBLE,Barbara Kingsolver,1998,1998-11-01,0060175400,38916924.0,2,29
top1998:2975,top1998,post45_topn,2975,MESSAGE IN A BOTTLE,Nicholas Sparks,1998,1998-04-26,0446523569,37878680.0,4,29
top1999:271,top1999,post45_topn,271,A WALK TO REMEMBER,Nicholas Sparks,1999,1999-10-24,0446525537,40632254.0,4,22
top1999:2116,top1999,post45_topn,2116,HARRY POTTER AND THE CHAMBER OF SECRETS,J. K. Rowling,1999,1999-06-20,0439064864,40043650.0,1,57
top1999:2117,top1999,post45_topn,2117,HARRY POTTER AND THE PRISONER OF AZKABAN,J. K. Rowling,1999,1999-09-26,9780439136358,41266045.0,1,43
top2000:3638,top2000,post45_topn,3638,PRODIGAL SUMMER,Barbara Kingsolver,2000,2000-11-05,0060199652,44885231.0,3,22
top2000:4603,top2000,post45_topn,4603,THE BEAR AND THE DRAGON,Tom Clancy,2000,2000-09-10,039914563X,44502350.0,1,21
top2001:4889,top2001,post45_topn,4889,THE CORRECTIONS,Jonathan Franzen,2001,2001-09-23,0374129983,46858728.0,1,29
top2001:51,top2001,post45_topn,51,A BEND IN THE ROAD,Nicholas Sparks,2001,2001-10-07,0446527785,46976461.0,2,20
top2001:182,top2001,post45_topn,182,A PAINTED HOUSE,John Grisham,2001,2001-02-25,038550120X,49559833.0,1,22
top2002:5722,top2002,post45_topn,5722,THE LOVELY BONES,Alice Sebold,2002,2002-07-14,0316666343,48495099.0,1,65
top2002:3738,top2002,post45_topn,3738,RED RABBIT,Tom Clancy,2002,2002-08-25,0399148701,49925127.0,1,17
top2003:4918,top2003,post45_topn,4918,THE DA VINCI CODE,Dan Brown,2003,2003-04-06,9780385504201,50920659.0,1,165
top2003:4969,top2003,post45_topn,4969,THE DEVIL WEARS PRADA,Lauren Weisberger,2003,2003-05-04,038550926X,51445918.0,4,24
top2003:5159,top2003,post45_topn,5159,THE FIVE PEOPLE YOU MEET IN HEAVEN,Mitch Albom,2003,2003-10-12,0786868716,51969214.0,1,100
top2004:6024,top2004,post45_topn,6024,THE PLOT AGAINST AMERICA,Philip Roth,2004,2004-10-10,0618509283,54929449.0,2,16
top2004:462,top2004,post45_topn,462,ANGELS & DEMONS,Dan Brown,2004,2004-01-18,,,4,40
top2005:5789,top2005,post45_topn,5789,THE MERMAID CHAIR,Sue Monk Kidd,2005,2005-04-24,0670033944,57068819.0,1,24
top2005:6982,top2005,post45_topn,6982,TRUE BELIEVER,Nicholas Sparks,2005,2005-05-01,,57434266.0,1,17
