sample_id,stratum,source,post45_title_id,title,author,year,first_week,isbn,oclc,best_rank,weeks_on_list
top1997:6930,top1997,post45_topn,6930,TOTAL CONTROL,David Baldacci,1997,1997-02-02,,35128189.0,2,12
top1997:1659,top1997,post45_topn,1659,EVENING CLASS,Maeve Binchy,1997,1997-03-02,0385318073,35145972.0,5,12
top2000:1173,top2000,post45_topn,1173,CRADLE AND ALL,James Patterson,2000,2000-06-11,0316690619,41620319.0,2,10
top2000:2969,top2000,post45_topn,2969,MERRICK,Anne Rice,2000,2000-11-05,0679454489,43115157.0,2,10
top2001:4403,top2001,post45_topn,4403,SUZANNE'S DIARY FOR NICHOLAS,James Patterson,2001,2001-08-05,9780316969444,45243224.0,1,12
top2001:87,top2001,post45_topn,87,A DAY LATE AND A DOLLAR SHORT,Terry McMillan,2001,2001-02-04,,44979656.0,1,12
top2003:4932,top2003,post45_topn,4932,THE DARK TOWER: Volumes 1-5,Stephen King,2003,2003-11-23,,,2,9
top2003:2497,top2003,post45_topn,2497,JOHNNY ANGEL,Danielle Steel,2003,2003-07-20,0385335490,47099068.0,1,8
top2002:2318,top2002,post45_topn,2318,I DON'T KNOW HOW SHE DOES IT,Allison Pearson,2002,2002-10-27,0375414053,49584212.0,8,11
top2002:480,top2002,post45_topn,480,ANSWERED PRAYERS,Danielle Steel,2002,2002-11-17,0385335431,50853588.0,1,10
top2004:2502,top2004,post45_topn,2502,JONATHAN STRANGE & MR. NORRELL,Susanna Clarke,2004,2004-09-19,,,3,11
top2005:2703,top2005,post45_topn,2703,LIGHT FROM HEAVEN,Jan Karon,2005,2005-11-27,0670034533,61282074.0,2,8
top2005:3596,top2005,post45_topn,3596,PREP,Curtis Sittenfeld,2005,2005-02-27,1400062314,55099405.0,7,8
