sample_id,stratum,source,post45_title_id,title,author,year,first_week,isbn,oclc,best_rank,weeks_on_list
top1996:5903,top1996,post45_topn,5903,THE NOTEBOOK,Nicholas Sparks,1996,1996-10-27,0446520802,34321554.0,3,56
top1996:1735,top1996,post45_topn,1735,FALLING UP,Shel Silverstein,1996,1996-06-09,0060248025,34736959.0,3,30
top1996:4957,top1996,post45_topn,4957,THE DEEP END OF THE OCEAN,Jacquelyn Mitchard,1996,1996-09-22,0670865796,33443698.0,1,29
top1996:3608,top1996,post45_topn,3608,PRIMARY COLORS,Anonymous,1996,1996-02-11,,1036772188.0,1,25
top1996:1689,top1996,post45_topn,1689,EXECUTIVE ORDERS,Tom Clancy,1996,1996-09-01,0399142185,34878804.0,1,24
top1997:2952,top1997,post45_topn,2952,MEMOIRS OF A GEISHA,Arthur Golden,1997,1997-11-02,0375400117,37689141.0,5,62
top1997:1098,top1997,post45_topn,1098,COLD MOUNTAIN,Charles Frazier,1997,1997-07-13,0871136791,36352242.0,1,61
top1997:5276,top1997,post45_topn,5276,THE GOD OF SMALL THINGS,Arundhati Roy,1997,1997-08-17,0679457313,35744382.0,5,31
top1997:5976,top1997,post45_topn,5976,THE PARTNER,John Grisham,1997,1997-03-16,0385472951,38277014.0,1,30
top1997:3542,top1997,post45_topn,3542,PLUM ISLAND,Nelson DeMille,1997,1997-06-08,044651506X,36277962.0,1,20
top1998:2118,top1998,post45_topn,2118,HARRY POTTER AND THE SORCERER'S STONE,J. K. Rowling,1998,1998-12-27,0590353403,37975719.0,1,82
top1998:6028,top1998,post45_topn,6028,THE POISONWOOD BIBLE,Barbara Kingsolver,1998,1998-11-01,0060175400,38916924.0,2,29
top1998:2975,top1998,post45_topn,2975,MESSAGE IN A BOTTLE,Nicholas Sparks,1998,1998-04-26,0446523569,37878680.0,4,29
top1998:6419,top1998,post45_topn,6419,THE STREET LAWYER,John Grisham,1998,1998-02-22,,57003872.0,1,27
top1998:3707,top1998,post45_topn,3707,RAINBOW SIX,Tom Clancy,1998,1998-08-23,0399143904,39069409.0,1,25
top1999:2116,top1999,post45_topn,2116,HARRY POTTER AND THE CHAMBER OF SECRETS,J. K. Rowling,1999,1999-06-20,0439064864,40043650.0,1,57
top1999:2117,top1999,post45_topn,2117,HARRY POTTER AND THE PRISONER OF AZKABAN,J. K. Rowling,1999,1999-09-26,9780439136358,41266045.0,1,43
top1999:6488,top1999,post45_topn,6488,THE TESTAMENT,John Grisham,1999,1999-02-21,,40173200.0,1,30
top1999:4450,top1999,post45_topn,4450,TARA ROAD,Maeve Binchy,1999,1999-03-21,0385333951,39545507.0,3,23
top1999:271,top1999,post45_topn,271,A WALK TO REMEMBER,Nicholas Sparks,1999,1999-10-24,0446525537,40632254.0,4,22
top2000:4719,top2000,post45_topn,4719,THE BRETHREN,John Grisham,2000,2000-02-20,0385497482,54083777.0,1,31
top2000:3638,top2000,post45_topn,3638,PRODIGAL SUMMER,Barbara Kingsolver,2000,2000-11-05,0060199652,44885231.0,3,22
top2000:4603,top2000,post45_topn,4603,THE BEAR AND THE DRAGON,Tom Clancy,2000,2000-09-10,039914563X,44502350.0,1,21
top2000:5766,top2000,post45_topn,5766,THE MARK,Tim LaHaye and Jerry B. Jenkins,2000,2000-12-03,,,1,21
top2000:5469,top2000,post45_topn,5469,THE INDWELLING,Tim LaHaye and Jerry B. Jenkins,2000,2000-06-11,,,1,19
top2001:4136,top2001,post45_topn,4136,SKIPPING CHRISTMAS,John Grisham,2001,2001-11-25,0385505833,54083800.0,1,35
top2001:4889,top2001,post45_topn,4889,THE CORRECTIONS,Jonathan Franzen,2001,2001-09-23,0374129983,46858728.0,1,29
top2001:182,top2001,post45_topn,182,A PAINTED HOUSE,John Grisham,2001,2001-02-25,038550120X,49559833.0,1,22
top2001:2511,top2001,post45_topn,2511,JOURNEY THROUGH HEARTSONGS,Mattie J. T. Stepanek,2001,2001-11-18,0786869429,56191915.0,1,22
top2001:51,top2001,post45_topn,51,A BEND IN THE ROAD,Nicholas Sparks,2001,2001-10-07,0446527785,46976461.0,2,20
top2002:5722,top2002,post45_topn,5722,THE LOVELY BONES,Alice Sebold,2002,2002-07-14,0316666343,48495099.0,1,65
top2002:5854,top2002,post45_topn,5854,THE NANNY DIARIES,Emma McLaughlin and Nicola Kraus,2002,2002-03-24,,,1,30
top2002:6436,top2002,post45_topn,6436,THE SUMMONS,John Grisham,2002,2002-02-24,,48258563.0,1,23
top2002:3738,top2002,post45_topn,3738,RED RABBIT,Tom Clancy,2002,2002-08-25,0399148701,49925127.0,1,17
top2002:3606,top2002,post45_topn,3606,PREY,Michael Crichton,2002,2002-12-15,0066214122,50511161.0,1,15
top2003:4918,top2003,post45_topn,4918,THE DA VINCI CODE,Dan Brown,2003,2003-04-06,9780385504201,50920659.0,1,165
top2003:5159,top2003,post45_topn,5159,THE FIVE PEOPLE YOU MEET IN HEAVEN,Mitch Albom,2003,2003-10-12,0786868716,51969214.0,1,100
top2003:4969,top2003,post45_topn,4969,THE DEVIL WEARS PRADA,Lauren Weisberger,2003,2003-05-04,038550926X,51445918.0,4,24
top2003:5543,top2003,post45_topn,5543,THE KING OF TORTS,John Grisham,2003,2003-02-23,0385508042,51033987.0,1,23
top2003:730,top2003,post45_topn,730,BLEACHERS,John Grisham,2003,2003-09-28,,52644759.0,1,18
top2004:462,top2004,post45_topn,462,ANGELS & DEMONS,Dan Brown,2004,2004-01-18,,,4,40
top2004:6172,top2004,post45_topn,6172,THE RULE OF FOUR,Ian Caldwell and Dustin Thomason,2004,2004-05-30,0743529731,55077472.0,2,22
top2004:6024,top2004,post45_topn,6024,THE PLOT AGAINST AMERICA,Philip Roth,2004,2004-10-10,0618509283,54929449.0,2,16
top2004:5593,top2004,post45_topn,5593,THE LAST JUROR,John Grisham,2004,2004-02-22,0385510438,53989269.0,1,14
top2004:2311,top2004,post45_topn,2311,I AM CHARLOTTE SIMMONS,Tom Wolfe,2004,2004-11-28,0374281580,54931646.0,3,14
top2005:5789,top2005,post45_topn,5789,THE MERMAID CHAIR,Sue Monk Kidd,2005,2005-04-24,0670033944,57068819.0,1,24
top2005:5395,top2005,post45_topn,5395,THE HISTORIAN,Elizabeth Kostova,2005,2005-07-03,9780316011778,56599732.0,1,19
top2005:535,top2005,post45_topn,535,AT FIRST SIGHT,Nicholas Sparks,2005,2005-11-06,0446578770,61131778.0,1,18
top2005:6982,top2005,post45_topn,6982,TRUE BELIEVER,Nicholas Sparks,2005,2005-05-01,,57434266.0,1,17
top2005:2917,top2005,post45_topn,2917,"MARY, MARY",James Patterson,2005,2005-12-04,031615976X,58055394.0,1,15
top2006:1882,top2006,post45_topn,1882,FOR ONE MORE DAY,Mitch Albom,2006,2006-10-15,1401303277,70043491.0,1,35
top2006:1196,top2006,post45_topn,1196,CROSS,James Patterson,2006,2006-12-03,0316159794,67375102.0,1,15
top2006:610,top2006,post45_topn,610,BEACH ROAD,James Patterson and Peter de Jonge,2006,2006-05-21,,,1,14
top2006:5615,top2006,post45_topn,5615,THE LAST TEMPLAR,Raymond Khoury,2006,2006-02-05,9780525949411,62866704.0,4,12
top2006:2096,top2006,post45_topn,2096,HANNIBAL RISING,Thomas Harris,2006,2006-12-24,9780385339414,82287375.0,5,12
top2007:257,top2007,post45_topn,257,A THOUSAND SPLENDID SUNS,Khaled Hosseini,2007,2007-06-10,9781594489501,85783363.0,1,49
top2007:7365,top2007,post45_topn,7365,WORLD WITHOUT END,Ken Follett,2007,2007-10-28,,148728782.0,1,26
top2007:3537,top2007,post45_topn,3537,PLAYING FOR PIZZA,John Grisham,2007,2007-10-14,9780385525008,154309113.0,1,17
top2007:4825,top2007,post45_topn,4825,THE CHOICE,Nicholas Sparks,2007,2007-10-14,9780446579926,154698685.0,2,17
top2007:3247,top2007,post45_topn,3247,NINETEEN MINUTES,Jodi Picoult,2007,2007-03-25,9780743496728,71286730.0,1,13
top2008:5415,top2008,post45_topn,5415,THE HOST,Stephenie Meyer,2008,2008-05-25,9780316068048,163708271.0,1,59
top2008:6406,top2008,post45_topn,6406,THE STORY OF EDGAR SAWTELLE,David Wroblewski,2008,2008-06-29,,179805747.0,1,39
top2008:5343,top2008,post45_topn,5343,THE GUERNSEY LITERARY AND POTATO PEEL PIE SOCIETY,Mary Ann Shaffer and Annie Barrows,2008,2008-08-17,9780385340991,191089812.0,3,33
top2008:4560,top2008,post45_topn,4560,THE APPEAL,John Grisham,2008,2008-02-17,9780385515047,180190918.0,1,15
top2008:5727,top2008,post45_topn,5727,THE LUCKY ONE,Nicholas Sparks,2008,2008-10-19,9780446579933,233573959.0,1,15
top2009:5381,top2009,post45_topn,5381,THE HELP,Kathryn Stockett,2009,2009-03-29,9780399155345,233548220.0,1,108
top2009:5709,top2009,post45_topn,5709,THE LOST SYMBOL,Dan Brown,2009,2009-10-04,9780385504225,399843314.0,1,29
top2009:1323,top2009,post45_topn,1323,DEAD AND GONE,Charlaine Harris,2009,2009-05-24,9780441017157,268794857.0,1,23
top2009:5611,top2009,post45_topn,5611,THE LAST SONG,Nicholas Sparks,2009,2009-09-27,9780446547567,405107195.0,1,22
top2009:5257,top2009,post45_topn,5257,THE GIRL WHO PLAYED WITH FIRE,Stieg Larsson,2009,2009-08-16,9780307269980,262433336.0,1,21
top2010:5254,top2010,post45_topn,5254,THE GIRL WHO KICKED THE HORNET’S NEST,Stieg Larsson,2010,2010-06-13,,,1,79
top2010:1923,top2010,post45_topn,1923,FREEDOM,Jonathan Franzen,2010,2010-09-19,9780374158460,548616620.0,1,19
top2010:4878,top2010,post45_topn,4878,THE CONFESSION,John Grisham,2010,2010-11-14,9780385528047,645774879.0,1,18
top2010:3859,top2010,post45_topn,3859,ROOM,Emma Donoghue,2010,2010-10-03,9780316098335,542263633.0,8,18
top2010:3901,top2010,post45_topn,3901,SAFE HAVEN,Nicholas Sparks,2010,2010-10-03,9780446547598,548641979.0,1,15
top2011:81,top2011,post45_topn,81,A DANCE WITH DRAGONS,George R. R. Martin,2011,2011-07-31,,191922936.0,1,86
top2011:5973,top2011,post45_topn,5973,THE PARIS WIFE,Paula McLain,2011,2011-03-13,9780345521309,642842926.0,7,31
top2011:15,top2011,post45_topn,15,11/22/63,Stephen King,2011,2011-11-27,9781451627282,706026997.0,1,21
top2011:4618,top2011,post45_topn,4618,THE BEST OF ME,Nicholas Sparks,2011,2011-10-30,9780446547659,740595318.0,1,17
top2011:5670,top2011,post45_topn,5670,THE LITIGATORS,John Grisham,2011,2011-11-13,9780385535137,732788050.0,1,16
top2012:2023,top2012,post45_topn,2023,GONE GIRL,Gillian Flynn,2012,2012-06-24,9780307588364,753624684.0,1,80
top2012:6093,top2012,post45_topn,6093,THE RACKETEER,John Grisham,2012,2012-11-11,9780385535144,793326683.0,1,18
top2012:4772,top2012,post45_topn,4772,THE CASUAL VACANCY,J. K. Rowling,2012,2012-10-14,9780316228534,799893657.0,1,15
top2012:6524,top2012,post45_topn,6524,THE TIME KEEPER,Mitch Albom,2012,2012-09-23,,788292762.0,1,15
top2012:901,top2012,post45_topn,901,CALICO JOE,John Grisham,2012,2012-04-29,,759916032.0,1,15
