sample_id,stratum,source,post45_title_id,title,author,year,first_week,isbn,oclc,best_rank,weeks_on_list
top1996:6484,top1996,post45_topn,6484,THE TENTH INSIGHT,James Redfield,1996,1996-05-12,,34348857.0,2,24
top1996:6178,top1996,post45_topn,6178,THE RUNAWAY JURY,John Grisham,1996,1996-06-02,0385472943,34208175.0,1,23
top1996:2287,top1996,post45_topn,2287,HOW STELLA GOT HER GROOVE BACK,Terry McMillan,1996,1996-05-19,0670869902,34417970.0,1,21
top1996:3056,top1996,post45_topn,3056,MOONLIGHT BECOMES YOU,Mary Higgins Clark,1996,1996-04-21,0684810387,34321030.0,1,17
top1996:349,top1996,post45_topn,349,AIRFRAME,Michael Crichton,1996,1996-12-22,0679446486,35723547.0,1,17
top1997:2746,top1997,post45_topn,2746,LONDON,Edward Rutherfurd,1997,1997-06-08,0517591812,36528386.0,5,18
top1997:7085,top1997,post45_topn,7085,UP ISLAND,Anne Rivers Siddons,1997,1997-06-15,,36423427.0,4,17
top1997:4239,top1997,post45_topn,4239,SPECIAL DELIVERY,Danielle Steel,1997,1997-07-13,0385316917,36350593.0,1,15
top1997:5647,top1997,post45_topn,5647,THE LETTER,Richard Paul Evans,1997,1997-10-26,0684834723,37451885.0,4,15
top1997:3602,top1997,post45_topn,3602,PRETEND YOU DON'T SEE HER,Mary Higgins Clark,1997,1997-04-27,0684810395,36454987.0,1,14
top1998:4378,top1998,post45_topn,4378,SUMMER SISTERS,Judy Blume,1998,1998-06-07,0385324057,38239320.0,2,22
top1998:276,top1998,post45_topn,276,A WIDOW FOR ONE YEAR,John Irving,1998,1998-05-17,0375501371,37955786.0,1,20
top1998:582,top1998,post45_topn,582,BAG OF BONES,Stephen King,1998,1998-10-11,0684853507,39069511.0,1,20
top1998:705,top1998,post45_topn,705,BLACK AND BLUE,Anna Quindlen,1998,1998-02-15,,37044050.0,2,20
top1998:181,top1998,post45_topn,181,A NIGHT WITHOUT ARMOR,Jewel Kilcher,1998,1998-06-14,,,7,20
top1999:2095,top1999,post45_topn,2095,HANNIBAL,Thomas Harris,1999,1999-06-27,038529929X,41315462.0,1,18
top1999:5256,top1999,post45_topn,5256,THE GIRL WHO LOVED TOM GORDON,Stephen King,1999,1999-04-25,0684867621,40948415.0,1,18
top1999:7269,top1999,post45_topn,7269,WHITE OLEANDER,Janet Fitch,1999,1999-05-23,,40460011.0,2,18
top1999:6870,top1999,post45_topn,6870,TIMELINE,Michael Crichton,1999,1999-12-05,,39348527.0,4,17
top1999:2144,top1999,post45_topn,2144,HEARTS IN ATLANTIS,Stephen King,1999,1999-10-03,0684853515,41266031.0,4,16
top2000:4071,top2000,post45_topn,4071,SHOPGIRL,Steve Martin,2000,2000-10-29,0786866586,43864358.0,4,15
top2000:1557,top2000,post45_topn,1557,DROWNING RUTH,Christina Schwarz,2000,2000-10-15,038549971X,43810705.0,1,14
top2000:5605,top2000,post45_topn,5605,THE LAST PRECINCT,Patricia Cornwell,2000,2000-11-05,0399146253,44683434.0,1,14
top2000:6124,top2000,post45_topn,6124,THE RESCUE,Nicholas Sparks,2000,2000-10-08,0446525502,43985509.0,1,14
top2000:5666,top2000,post45_topn,5666,THE LION'S GAME,Nelson DeMille,2000,2000-01-23,0446520659,42719934.0,3,14
top2001:916,top2001,post45_topn,916,CANE RIVER,Lalita Tademy,2001,2001-07-08,,44683424.0,2,17
top2001:4678,top2001,post45_topn,4678,THE BONESETTER'S DAUGHTER,Amy Tan,2001,2001-03-11,0399146431,44883576.0,2,16
top2001:1543,top2001,post45_topn,1543,DREAMCATCHER,Stephen King,2001,2001-04-08,0743211383,45558901.0,1,15
top2001:710,top2001,post45_topn,710,BLACK HOUSE,Stephen King and Peter Straub,2001,2001-09-30,,,1,15
top2001:28,top2001,post45_topn,28,1ST TO DIE,James Patterson,2001,2001-03-25,0316666009,44728132.0,1,13
top2002:4599,top2002,post45_topn,4599,THE BEACH HOUSE,James Patterson and Peter de Jonge,2002,2002-06-30,1586212877,49916804.0,1,14
top2002:543,top2002,post45_topn,543,ATONEMENT,Ian McEwan,2002,2002-03-31,0385503954,47665315.0,4,14
top2002:1911,top2002,post45_topn,1911,FOUR BLIND MICE,James Patterson,2002,2002-12-08,0316693006,49719186.0,1,13
top2002:2697,top2002,post45_topn,2697,LIFE OF PI,Yann Martel,2002,2002-12-29,0151008116,47893052.0,10,12
top2002:1681,top2002,post45_topn,1681,EVERYTHING'S EVENTUAL,Stephen King,2002,2002-04-07,0743235150,48876610.0,1,11
top2003:5341,top2003,post45_topn,5341,THE GUARDIAN,Nicholas Sparks,2003,2003-04-27,0446527793,51088144.0,2,14
top2003:6472,top2003,post45_topn,6472,THE TEETH OF THE TIGER,Tom Clancy,2003,2003-08-31,,52424139.0,1,13
top2003:767,top2003,post45_topn,767,BLOW FLY,Patricia Cornwell,2003,2003-11-02,,52891481.0,1,13
top2003:6664,top2003,post45_topn,6664,THE WEDDING,Nicholas Sparks,2003,2003-09-28,,52218692.0,2,13
top2003:1206,top2003,post45_topn,1206,CROSSROADS OF TWILIGHT,Robert Jordan,2003,2003-01-26,0312864590,51304280.0,1,12
top2004:664,top2004,post45_topn,664,BERGDORF BLONDES,Plum Sykes,2004,2004-04-25,,54997444.0,7,14
top2004:4310,top2004,post45_topn,4310,STATE OF FEAR,Michael Crichton,2004,2004-12-26,0066214130,59011544.0,2,13
top2004:5499,top2004,post45_topn,5499,THE JANE AUSTEN BOOK CLUB,Karen Joy Fowler,2004,2004-05-23,0399151613,52574555.0,7,13
top2004:1998,top2004,post45_topn,1998,GLORIOUS APPEARING,Tim LaHaye and Jerry B. Jenkins,2004,2004-04-18,,,1,12
